time,route1,route3,route4,route6,route7,route8,route9,route10,route5,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,,,,,,,,,
523,0.143643337,0.61470248,0.485542688,1.107485163,0.752910757,0.533151483,0.891621044,0.93617134,0.420471281,0.140630098,0.649673449,0.493513353,0.607898185,0.355110955,0.132619991,0.117923029,0.555904782,0.154283188,0.153994118,,,,,,,,,
524,0.132869921,0.596451032,0.447734743,1.062642739,0.771661108,0.590049518,0.885865537,0.911892573,0.437594395,0.17612839,0.644662858,0.449770322,0.591899514,0.311920162,0.065119283,0.129096571,0.606058527,0.10957844,0.159052079,,,,,,,,,
525,0.12880374,0.634076725,0.456212701,1.111190671,0.779928023,0.596927362,0.891442348,0.941093898,0.398606204,0.155054078,0.659254736,0.489963789,0.567980819,0.378026568,0.121692321,0.155589635,0.556204598,0.104431805,0.168340863,,,,,,,,,
526,0.113290154,0.553698173,0.452396234,1.118002156,0.791974108,0.633057943,0.894120965,0.935920012,0.379210038,0.146243953,0.653427356,0.493238758,0.475387948,0.329114513,0.103981036,0.141203125,0.568794764,0.104989431,0.174879703,,,,,,,,,
527,0.102135373,0.536562116,0.401594175,1.094552568,0.813824358,0.584940463,0.850982108,0.952297952,0.397084563,0.14007915,0.600402411,0.526401201,0.508893796,0.320610374,0.125880923,0.108334801,0.520267582,0.135030325,0.195724449,,,,,,,,,
528,0.07928328,0.521492215,0.383274588,1.127622204,0.799349146,0.622083891,0.877799442,0.974898564,0.305198451,0.144556066,0.657114429,0.500645819,0.504328168,0.365015245,0.133092108,0.151518769,0.580494086,0.157387648,0.210934609,,,,,,,,,
529,0.01939956,0.564078634,0.389958754,1.105401855,0.795972449,0.597156329,0.893456256,0.963444701,0.302660747,0.092796552,0.659371501,0.492427195,0.521889784,0.343924766,0.140550435,0.181740127,0.565095735,0.132922409,0.183463474,,,,,,,,,
530,-0.003823897,0.499993895,0.355699163,1.123616229,0.778194818,0.562146786,0.908084251,0.963514667,0.31682357,0.145359528,0.662832127,0.48436293,0.491272295,0.36275726,0.129895328,0.160469349,0.528014841,0.151716393,0.222178965,,,,,,,,,
531,-0.034845988,0.496798398,0.336736727,1.095649023,0.844628713,0.553886672,0.894108134,0.935282316,0.249559186,0.129019908,0.684952293,0.481631312,0.448242865,0.404350808,0.118364127,0.199467096,0.51785135,0.125532438,0.165413863,,,,,,,,,
532,-0.031874414,0.531125101,0.365396138,1.037297355,0.848426271,0.52507563,0.907808846,0.937633365,0.264825078,0.137560003,0.654401471,0.530714498,0.4614569,0.342439968,0.148357805,0.188241957,0.540305586,0.099005224,0.160179445,,,,,,,,,
533,-0.044682194,0.52625931,0.358617398,1.095576535,0.837640674,0.634018719,0.874835705,0.945394339,0.2361401,0.173169371,0.648641381,0.52158735,0.491284403,0.349381767,0.110409553,0.170723609,0.559322692,0.122084044,0.189661109,,,,,,,,,
534,-0.009188076,0.533831896,0.35168785,1.070892752,0.818762232,0.59078274,0.844708446,0.958401125,0.233628497,0.16539687,0.669185566,0.460756331,0.514635623,0.344924365,0.132099045,0.18556595,0.588974086,0.128881106,0.188905503,,,,,,,,,
535,-0.071480212,0.493110807,0.31481528,1.083870874,0.840522179,0.653152846,0.857744691,0.943628913,0.205091362,0.10455566,0.596731171,0.572120564,0.506090865,0.374157535,0.095767195,0.177579853,0.574281646,0.110960936,0.232584656,,,,,,,,,
536,-0.092773093,0.467445775,0.315786093,1.021820159,0.777703355,0.602407083,0.845162742,0.951565879,0.165184829,0.155344261,0.582275075,0.549130432,0.476655482,0.368865272,0.109453428,0.184298644,0.581192455,0.101719703,0.228077326,,,,,,,,,
537,-0.079639559,0.461202769,0.271688201,0.959419495,0.813589418,0.643789031,0.855911211,0.947470541,0.157154596,0.1319553,0.571990781,0.537286629,0.509424517,0.358245811,0.13008571,0.182892675,0.602499149,0.091297476,0.20568822,,,,,,,,,
538,-0.099856781,0.482205427,0.282373053,0.862206089,0.806440112,0.598915759,0.919914623,0.926541136,0.160176295,0.18937783,0.588114437,0.513245506,0.449678338,0.36472766,0.089942672,0.2132404,0.571346076,0.051894155,0.23910542,,,,,,,,,
539,-0.05208015,0.452646131,0.233173111,0.898553092,0.833516009,0.613925631,0.974640079,0.961400235,0.117362168,0.156069067,0.601904369,0.486768388,0.509035937,0.349092675,0.148963479,0.121293201,0.592431561,0.133596433,0.206249391,,,,,,,,,
540,-0.137142412,0.461978642,0.224551871,0.928425519,0.806545865,0.603274957,0.932000646,0.976037254,0.160181515,0.187056783,0.532996749,0.536293685,0.484893275,0.356695822,0.129424843,0.163109505,0.591777787,0.116160109,0.256708155,,,,,,,,,
541,-0.14112493,0.412640658,0.260491856,0.964302511,0.790203527,0.618949226,0.945440246,0.994231223,0.11511307,0.19790222,0.552043627,0.506172949,0.486186725,0.380219647,0.150149936,0.146486132,0.582980619,0.187326686,0.195932834,,,,,,,,,
542,-0.099479297,0.433289349,0.285760318,0.968158195,0.804100897,0.622800523,0.950888429,0.918400581,0.119073421,0.106519735,0.574836708,0.480628485,0.544316661,0.397150011,0.126029603,0.207665433,0.616480585,0.135664963,0.221609415,,,,,,,,,
543,-0.137939052,0.437936764,0.266190475,0.974582875,0.758957398,0.656153373,1.011127542,0.912708124,0.068700697,0.150471419,0.581119809,0.518340341,0.570338712,0.379235582,0.11084847,0.175054216,0.585724228,0.087023514,0.195601577,,,,,,,,,
544,-0.087708535,0.437094982,0.23867279,0.968024866,0.782292771,0.659640769,0.960423428,0.958324461,0.046303305,0.135059571,0.554128026,0.527853306,0.5499364,0.375045689,0.135468057,0.208484347,0.620445946,0.065140779,0.267583472,,,,,,,,,
545,-0.119723607,0.382353091,0.227729764,0.955100321,0.815202573,0.666163943,0.920149378,0.915803525,0.077263292,0.14786413,0.524050585,0.532254659,0.589336111,0.366542283,0.126268388,0.199138202,0.633739355,0.024796825,0.238926759,,,,,,,,,
546,-0.11086921,0.431603347,0.193554288,0.937671416,0.787671943,0.668768686,0.885808603,0.899619846,0.081249599,0.146436896,0.516051301,0.533578899,0.573770629,0.36807738,0.082171168,0.171495997,0.560758892,0.029785576,0.216404637,,,,,,,,,
