time,route1,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,,,,,,,,,,,,,,,,,,,
32,0.532394168,-1.36028647,0.458271255,0.461305996,0.57979667,-1.082066674,1.302166175,0.311906639,-0.65183491,-0.080227794,-0.450898967,-0.887948866,0.301000484,-0.579261288,0.011051011,-0.146816452,0.125346153,0.248594114,0.025432227,,,,,,,,,,,,,,,,,,,
33,0.484853094,-1.431748314,0.517346436,0.43179527,0.517081553,-1.062695702,1.305221928,0.345028747,-0.664379515,-0.08365772,-0.412955761,-0.833766095,0.290963862,-0.544382162,0.030688154,-0.111028252,0.126036526,0.27515708,-0.002150163,,,,,,,,,,,,,,,,,,,
34,0.487287255,-1.503416363,0.487746329,0.46104689,0.536432552,-1.083730529,1.288899638,0.379570974,-0.595394318,-0.052265967,-0.426009308,-0.794088887,0.264888319,-0.5614399,0.046132804,-0.077411241,0.164627219,0.320249549,0.033592143,,,,,,,,,,,,,,,,,,,
35,0.495790336,-1.67397567,0.474824658,0.434279227,0.527204848,-1.054909972,1.276834065,0.361094382,-0.616612269,-0.056549087,-0.397245273,-0.848750094,0.212725727,-0.575065366,0.039281187,-0.081471015,0.1782658,0.320713895,0.031010121,,,,,,,,,,,,,,,,,,,
36,0.488850339,-1.692973225,0.53393536,0.439096065,0.5052131,-1.03003453,1.25923092,0.347088662,-0.61546661,-0.099653738,-0.403355794,-0.87770493,0.188246763,-0.543934674,0.103154167,-0.067127611,0.175086983,0.290223743,0.083901317,,,,,,,,,,,,,,,,,,,
37,0.465582607,-1.830105491,0.524604477,0.397728732,0.4810747,-0.973543088,1.261448901,0.302710802,-0.633771974,-0.093101828,-0.387610066,-0.831593009,0.170524889,-0.563299911,0.081109226,-0.016615639,0.162669175,0.304948038,0.052656605,,,,,,,,,,,,,,,,,,,
38,0.452252212,-1.860122043,0.538470609,0.417533089,0.525417005,-0.945416599,1.264825155,0.197986416,-0.595976744,-0.149238508,-0.399574416,-0.875566633,0.127623094,-0.535822277,0.096939243,-0.018251396,0.179624084,0.331408089,0.082777586,,,,,,,,,,,,,,,,,,,
39,0.464665898,-1.943295291,0.494282493,0.42272697,0.56583693,-1.010881021,1.276312525,0.097812639,-0.611117921,-0.128771901,-0.360554402,-0.913703239,0.07917497,-0.488968059,0.104158736,-0.0343264,0.216355211,0.328114976,0.076218746,,,,,,,,,,,,,,,,,,,
40,0.432773331,-1.935585453,0.484343272,0.430133015,0.572672246,-0.948023671,1.244191293,0.13402557,-0.61788678,-0.152655496,-0.347601867,-0.928694795,0.086573116,-0.548495621,0.079604959,-0.042881891,0.217302692,0.310654627,0.083288517,,,,,,,,,,,,,,,,,,,
41,0.44398446,-1.908917212,0.428662642,0.317902312,0.546869243,-0.948647792,1.237450324,0.112972898,-0.611157811,-0.151199707,-0.406377988,-0.992540256,0.078433979,-0.521816387,0.0894745,-0.041551366,0.210629959,0.279183366,0.12258704,,,,,,,,,,,,,,,,,,,
42,0.422026765,-1.842561002,0.322890412,0.288695613,0.56724525,-0.934288972,1.223327525,0.175540056,-0.627258887,-0.168356077,-0.38966276,-1.001764298,0.078743595,-0.537633706,0.099079499,-0.024639503,0.207013293,0.284399938,0.157697524,,,,,,,,,,,,,,,,,,,
43,4.53E-01,-1.863690448,0.224730789,0.222795548,0.545774389,-0.956242408,1.246347275,0.206489448,-0.578297623,-0.222374401,-0.393263303,-0.942551893,-0.003997289,-0.505071894,0.130318611,-0.029213627,0.216304922,0.28663141,0.107524679,,,,,,,,,,,,,,,,,,,
44,0.462055726,-1.82828702,0.163833557,0.1687382,0.576472183,-0.925472903,1.163772898,0.243202078,-0.546447175,-0.226151931,-0.453446643,-0.921982762,-0.028807122,-0.532483302,0.079482919,-0.020091586,0.239260279,0.273642923,0.125634077,,,,,,,,,,,,,,,,,,,
45,0.481614637,-1.824386988,0.091460989,0.102147204,0.552937652,-0.882432064,1.168791035,0.236451037,-0.592791053,-0.235922863,-0.522904167,-1.01176838,-0.069478935,-0.521831486,0.085736952,-0.006571653,0.253512231,0.266044684,0.166367338,,,,,,,,,,,,,,,,,,,
46,0.486310657,-1.843619619,0.11186319,0.090226708,0.546591207,-0.875893409,1.191970438,0.195197267,-0.490186316,-0.216623745,-0.541681123,-0.996606319,-0.054480619,-0.506379401,0.100516361,-0.037125255,0.28368643,0.267907913,0.161282614,,,,,,,,,,,,,,,,,,,
47,0.469892535,-1.770636832,0.126587187,0.077680174,0.475467883,-0.885421233,1.150123379,0.205658547,-0.499620693,-0.25350782,-0.568489825,-1.017645405,-0.00357646,-0.488477508,0.083627464,0.014422562,0.239510004,0.287495839,0.12240452,,,,,,,,,,,,,,,,,,,
48,0.495983857,-1.700439504,0.181489978,0.136212372,0.420759513,-0.88269231,1.154598151,0.138572519,-0.511879591,-0.273540371,-0.606635448,-1.060196957,-0.055692715,-0.489834289,0.055618884,-0.004554933,0.274936707,0.275582369,0.139115008,,,,,,,,,,,,,,,,,,,
49,0.477744219,-1.653167438,0.168838276,0.142938813,0.388429502,-0.828155075,1.12150142,0.165882838,-0.503237486,-0.282220646,-0.622968026,-1.030405017,-0.047644825,-0.472947071,0.076497367,-0.002469977,0.250951463,0.262735807,0.134757568,,,,,,,,,,,,,,,,,,,
50,0.456932085,-1.598369723,0.181664791,0.113272648,0.362236807,-0.764282488,1.09627474,0.186528635,-0.436804617,-0.348861447,-0.639633371,-1.082306755,-0.020067128,-0.495180971,0.120119138,0.000925613,0.274989678,0.304849412,0.112902877,,,,,,,,,,,,,,,,,,,
51,0.424658413,-1.57293714,0.139981586,0.116222846,0.32907073,-0.738997851,1.09229322,0.198547948,-0.497931172,-0.383082207,-0.656073616,-1.083746262,-0.045839894,-0.458387257,0.085835109,-0.0146271,0.268361775,0.307649275,0.143265211,,,,,,,,,,,,,,,,,,,
52,0.441939642,-1.606998478,0.161045956,0.080019554,0.318254228,-0.697084625,1.108688989,0.222574147,-0.518298934,-0.36432835,-0.661110936,-1.061753638,-0.02701021,-0.513735722,0.108549177,-0.012721414,0.26362512,0.300162212,0.14491465,,,,,,,,,,,,,,,,,,,
53,0.397328039,-1.495781354,0.15694738,0.098224043,0.369788734,-0.685824664,1.091778923,0.258226973,-0.486623322,-0.418481391,-0.615475115,-1.051935226,-0.0332391,-0.474796137,0.091985905,-0.036364466,0.247422133,0.290658523,0.12648334,,,,,,,,,,,,,,,,,,,
54,0.381164798,-1.445676955,0.128906196,0.097327051,0.322711387,-0.6275828,1.105532835,0.303805218,-0.503728341,-0.452818745,-0.641824036,-1.10027425,-0.052286352,-0.483542738,0.121938724,-0.042179774,0.267592913,0.328176073,0.138007506,,,,,,,,,,,,,,,,,,,
55,0.397903165,-1.444040409,0.09852004,0.103232908,0.322133159,-0.643041917,1.114772323,0.339708088,-0.489502634,-0.475607537,-0.685335184,-1.108430932,-0.039341717,-0.481573404,0.102668317,-0.034374084,0.281739335,0.252771018,0.192742342,,,,,,,,,,,,,,,,,,,
56,0.357333628,-1.38114224,0.116241661,0.090791697,0.354930959,-0.582048358,1.094391875,0.382445684,-0.43330164,-0.529002694,-0.66526502,-1.251190457,0.000116896,-0.462452699,0.126624235,0.007808657,0.30862118,0.232839749,0.144514745,,,,,,,,,,,,,,,,,,,
57,0.363513041,-1.310430737,0.063213032,0.08349184,0.383774055,-0.565259948,1.07157332,0.390809885,-0.446923749,-0.556038041,-0.592390965,-1.318512149,-0.010783984,-0.43595063,0.11960243,0.044219375,0.332269196,0.28677525,0.164015333,,,,,,,,,,,,,,,,,,,
58,0.34360871,-1.255273403,0.107692413,0.068028518,0.346086754,-0.547594531,1.144905441,0.383131413,-0.459367443,-0.581452769,-0.631221017,-1.309276227,-0.000650522,-0.427930264,0.142611588,0.021735826,0.358060167,0.274313531,0.158989243,,,,,,,,,,,,,,,,,,,
59,0.324937892,-1.275739602,0.026835765,0.035717346,0.389858659,-0.605242684,1.065417911,0.450453388,-0.456817857,-0.610350062,-0.704325662,-1.315387379,-0.060540493,-0.445490199,0.106809118,0.081196788,0.316309822,0.29579522,0.207060399,,,,,,,,,,,,,,,,,,,
60,0.349455277,-1.234478105,0.008136969,0.057604806,0.439488554,-0.603109406,1.122106105,0.452775165,-0.466416099,-0.558988512,-0.674837855,-1.257455861,-0.104394954,-0.412463834,0.163914858,0.111788339,0.292999948,0.299409399,0.203147487,,,,,,,,,,,,,,,,,,,
61,0.377248632,-1.187973482,-0.074268712,0.073902515,0.405125128,-0.583459534,1.095431141,0.439308628,-0.465922231,-0.581648301,-0.583859821,-1.246280337,-0.113172071,-0.399642569,0.161791241,0.166771923,0.331199038,0.297150319,0.220913102,,,,,,,,,,,,,,,,,,,
62,0.378449744,-1.074281621,-0.045453398,0.074054004,0.464695743,-0.587326951,1.124715147,0.392381113,-0.458003229,-0.568602417,-0.56641073,-1.207926416,-0.168663417,-0.401992427,0.129235391,0.175635403,0.348436234,0.263293154,0.251234882,,,,,,,,,,,,,,,,,,,
63,0.381881235,-0.940609723,-0.069228246,0.136733051,0.480501921,-0.54030635,1.07755125,0.390867874,-0.457011723,-0.551429048,-0.481421868,-1.144620131,-0.092856128,-0.368766243,0.162665043,0.164956447,0.354666536,0.288232846,0.214191222,,,,,,,,,,,,,,,,,,,
64,0.376740318,-0.826400505,-0.114286809,0.128732705,0.523412724,-0.521464612,1.127758209,0.324960785,-0.505649773,-0.587934092,-0.531765364,-1.172999719,-0.110794524,-0.328941234,0.13271458,0.165948538,0.345235447,0.320159935,0.215560348,,,,,,,,,,,,,,,,,,,
65,0.405768213,-0.889448037,-0.124757046,0.118813381,0.569467277,-0.456609458,1.086040219,0.313602606,-0.434639934,-0.552763502,-0.464437004,-1.116313512,-0.021341416,-0.332670509,0.17202061,0.166957347,0.369080214,0.324091532,0.248732518,,,,,,,,,,,,,,,,,,,
66,0.388795182,-0.987021936,-0.184991523,0.121152111,0.607576382,-0.43874387,1.133159199,0.333005256,-0.451428737,-0.542275629,-0.355587607,-1.125294126,-0.01461985,-0.266048788,0.178641127,0.201338981,0.368072185,0.345049361,0.257094655,,,,,,,,,,,,,,,,,,,
67,0.399336332,-0.907432389,-0.191183838,0.183221107,0.642247155,-0.443191623,1.158613379,0.356786127,-0.416568388,-0.575413515,-0.356323992,-1.123772691,-0.002559716,-0.316825945,0.20187082,0.194140579,0.37288635,0.364975266,0.266137428,,,,,,,,,,,,,,,,,,,
