time,route10,route13,route4,route5,route6,route7,route8,route9,route3,route11,route12,route1,route14,route15,route16,route17,route18,route19,route20
1007,-1.095221662,-0.249582268,-1.119529057,-1.246875026,-0.157317121,-0.29003319,-0.038499312,-0.78416967,-0.368259791,-1.327041717,0.625715013,-1.012330219,-0.749138254,-0.528834726,0.257943332,0.458032723,-0.010573292,0.621472942,0.681910319
1008,-1.109380281,-0.275768818,-1.039363695,-1.215206426,-0.207386802,-0.257556675,-0.100355603,-0.763279999,-0.359834093,-1.33000762,0.704443163,-0.968646339,-0.681835621,-0.461748927,0.253975306,0.490146014,0.020472828,0.62955466,0.711773375
1009,-1.018276386,-0.220317239,-1.007494498,-1.075562842,-0.185490066,-0.178985219,-0.00992895,-0.77739997,-0.292138119,-1.321282385,0.771708903,-0.960277203,-0.673398729,-0.429483336,0.239138719,0.486699486,0.006495677,0.627472906,0.521926171
1010,-1.116410855,-0.271412055,-0.928691374,-1.091745573,-0.188839974,-0.181693565,-0.118554366,-0.768966524,-0.259845832,-1.36980089,0.803732895,-0.938554098,-0.711710652,-0.420888989,0.282935595,0.518263683,0.015792783,0.657967629,0.658111317
1011,-1.035303169,-0.227235516,-0.977563051,-1.094675844,-0.15858278,-0.255768807,-0.063028431,-0.818170447,-0.298675225,-1.373772231,0.776082395,-0.918444934,-0.761700086,-0.458468848,0.197461005,0.526898693,-0.047070654,0.665723877,0.667424354
1012,-1.025886741,-0.254128386,-0.911319894,-1.062836628,-0.126534322,-0.293873866,-0.089542469,-0.773184302,-0.265834452,-1.351714782,0.807567669,-0.897429778,-0.682115376,-0.485649064,0.181276979,0.511939884,-0.061685447,0.626619716,0.605250038
1013,-1.041064142,-0.210330684,-0.937398626,-1.054063494,-0.047865318,-0.227397107,-0.093803776,-0.765924616,-0.257804218,-1.366267861,0.827733243,-0.89921054,-0.720438076,-0.489103449,0.201051449,0.544161484,-0.077433222,0.588203586,0.627158917
1014,-0.985718049,-0.236673535,-0.963619798,-0.939931929,0.006481811,-0.206459604,-0.072683104,-0.803621974,-0.226493291,-1.322983881,0.822862248,-0.808412025,-0.712164853,-0.516455509,0.291194663,0.528093182,0.048831486,0.584756528,0.597560281
1015,-0.977920039,-0.181731709,-1.001943838,-0.931267831,0.050665385,-0.245799084,0.017412218,-0.713514945,-0.241464681,-1.36074155,0.901114452,-0.730096648,-0.691479331,-0.449246403,0.276542145,0.487883458,0.008071697,0.510147731,0.593124953
1016,-0.934127208,-0.256266123,-0.959012746,-1.039489199,-0.023841575,-0.213753071,-0.046512326,-0.753217296,-0.209994267,-1.304980344,0.90810377,-0.709248967,-0.682370832,-0.416366966,0.236681796,0.449738884,0.017451866,0.588784601,0.566020619
1017,-1.006636114,-0.200602307,-0.949438962,-1.101097913,0.019665263,-0.159175784,-0.027498118,-0.732202033,-0.086250227,-1.249659487,0.893564052,-0.736372102,-0.65096378,-0.373397099,0.245235452,0.539583398,0.026119069,0.549312601,0.620598752
1018,-1.021947524,-0.22868685,-0.940926873,-1.057191664,-0.088971766,-0.104669785,-0.088576337,-0.781575271,-0.043136013,-1.264299752,0.830811197,-0.705766098,-0.61872341,-0.411806452,0.252889764,0.534891688,0.01106627,0.522140619,0.56910181
