Var1,Var2_1,Var2_2,Var2_3,Var2_4
171,-17.85446671,-19.55488344,-16.8468492,-20.04169338
172,-17.81083416,-19.54883493,-16.80146995,-20.01467298
173,-17.76737179,-19.54299498,-16.75535834,-19.98807045
174,-17.72407697,-19.53729011,-16.7085257,-19.96187933
175,-17.68108465,-19.53171824,-16.66098318,-19.93609326
176,-17.63853362,-19.52627731,-16.61274177,-19.91070597
177,-17.59641705,-19.5209653,-16.56394794,-19.88353448
178,-17.55472823,-19.51578022,-16.5146587,-19.8567832
179,-17.51346055,-19.51072009,-16.4648817,-19.83044563
180,-17.47262362,-19.50569974,-16.41462449,-19.80451537
181,-17.43226434,-19.50070203,-16.36389449,-19.77898612
182,-17.39237532,-19.49572661,-16.31269902,-19.75385168
183,-17.3529493,-19.49077314,-16.26145176,-19.72757189
184,-17.3139791,-19.48584127,-16.21020133,-19.70169852
185,-17.27545769,-19.48093068,-16.1589478,-19.67622528
186,-17.23727646,-19.47600639,-16.10769119,-19.65114598
187,-17.19942741,-19.47102977,-16.05643157,-19.62645454
188,-17.1619054,-19.46600164,-16.00518179,-19.60214495
189,-17.12470538,-19.46092279,-15.95417256,-19.57821131
190,-17.08782236,-19.455794,-15.90340014,-19.5523917
191,-17.05143163,-19.45061604,-15.85286087,-19.52697139
192,-17.01559713,-19.44538504,-15.80255115,-19.5019442
193,-16.98031025,-19.44006348,-15.75246743,-19.47730407
194,-16.94556252,-19.43465279,-15.70264234,-19.45304499
195,-16.9113456,-19.42915434,-15.65320741,-19.42916108
196,-16.87764554,-19.42356948,-15.6041566,-19.40564653
197,-16.84444753,-19.41789955,-15.55548396,-19.38023874
198,-16.8117438,-19.41214586,-15.50718365,-19.35522388
199,-16.77952671,-19.40622825,-15.45924991,-19.33059587
200,-16.74778873,-19.40012139,-15.41169327,-19.30634874
201,-16.71650577,-19.39382821,-15.36453564,-19.28247659
202,-16.68560401,-19.38735158,-15.31777087,-19.25897362
203,-16.65507756,-19.38069436,-15.27139286,-19.23298324
204,-16.62492062,-19.37385932,-15.22539565,-19.20739481
205,-16.59512748,-19.36690466,-15.17977333,-19.1822021
206,-16.56569249,-19.35992181,-15.13467691,-19.157399
207,-16.53660277,-19.35291122,-15.09023937,-19.13297948
208,-16.50785252,-19.34587332,-15.0464505,-19.10893761
209,-16.47943648,-19.33880854,-15.00330029,-19.08526754
210,-16.45134949,-19.33171727,-14.96077885,-19.0592533
211,-16.42358646,-19.32459681,-14.91887645,-19.03364137
212,-16.39607481,-19.3172865,-14.87749606,-19.00842554
213,-16.36877945,-19.30978929,-14.83658921,-18.98359966
214,-16.34169705,-19.30210807,-14.79614859,-18.95915772
215,-16.3148243,-19.29424569,-14.75616698,-18.93509377
216,-16.28815797,-19.28620493,-14.71663728,-18.91140197
217,-16.2615526,-19.27798857,-14.67755252,-18.88708268
218,-16.23481582,-19.26961016,-14.63962323,-18.86313949
219,-16.20794965,-19.26107786,-14.60296606,-18.83956657
220,-16.18095609,-19.25239408,-14.56756134,-18.81635822
221,-16.15383713,-19.24356114,-14.5333897,-18.79350878
222,-16.1266121,-19.23458136,-14.50043207,-18.7710127
223,-16.09936865,-19.225457,-14.46866968,-18.74616989
224,-16.07210706,-19.2161901,-14.43720254,-18.72171127
225,-16.04482761,-19.20678239,-14.40602607,-18.6976309
226,-16.01753058,-19.19723604,-14.37513579,-18.67392294
227,-15.99021623,-19.18755319,-14.34452726,-18.65058162
228,-15.96284221,-19.17773596,-14.31419613,-18.62760127
229,-15.93540525,-19.16778642,-14.28414918,-18.60497632
230,-15.90790632,-19.15770662,-14.25444105,-18.58012396
231,-15.88034637,-19.14754218,-14.22506649,-18.55565595
232,-15.85272636,-19.13729769,-14.19602035,-18.53156633
233,-15.82516471,-19.1269744,-14.16729756,-18.50784927
234,-15.79772303,-19.11657352,-14.1388931,-18.48449898
235,-15.77039948,-19.10609624,-14.11084588,-18.46150981
236,-15.74319224,-19.09554376,-14.08324533,-18.4416398
237,-15.7160995,-19.08488928,-14.05608454,-18.42207707
238,-15.68918283,-19.074113,-14.0293567,-18.40281689
239,-15.66253664,-19.06321683,-14.00305513,-18.38385456
240,-15.63615676,-19.05220259,-13.97717323,-18.36518549
241,-15.61003905,-19.04107214,-13.95151573,-18.34680513
242,-15.58417947,-19.02982726,-13.9258694,-18.32870903
243,-15.55857844,-19.01847397,-13.90023406,-18.30855931
244,-15.53325987,-19.00703055,-13.87460955,-18.28872121
245,-15.50821939,-18.99549842,-13.8489957,-18.2691899
246,-15.48345269,-18.98387892,-13.82339235,-18.24996065
247,-15.45895555,-18.97217343,-13.79862871,-18.23102877
248,-15.43472379,-18.96038326,-13.77517561,-18.21238968
249,-15.41040924,-18.94850973,-13.75301277,-18.19403885
250,-15.3859658,-18.93651353,-13.73212026,-18.17899158
251,-15.36139545,-18.92438889,-13.71247841,-18.16417703
252,-15.33670017,-18.91213779,-13.69406789,-18.14959158
253,-15.31188188,-18.89976218,-13.67686111,-18.13523169
254,-15.28704955,-18.887264,-13.66083718,-18.12109389
255,-15.26226872,-18.87464512,-13.6459778,-18.10717472
256,-15.23753859,-18.86189522,-13.63226498,-18.09258924
257,-15.21285837,-18.84900294,-13.61968096,-18.07822934
258,-15.18822731,-18.8359705,-13.60820831,-18.0640915
259,-15.16374053,-18.82280007,-13.59731231,-18.05017231
260,-15.13956397,-18.80949377,-13.5869553,-18.03646838
261,-15.11569284,-18.79605371,-13.57712895,-18.02297639
262,-15.09212241,-18.78247294,-13.56782504,-18.00969304
263,-15.06884803,-18.76868404,-13.55903551,-17.99654803
264,-15.0458966,-18.75469024,-13.55077727,-17.9836063
265,-15.02353068,-18.74049471,-13.54325358,-17.97086472
266,-15.00174122,-18.72610055,-13.53645309,-17.95832019
267,-14.98051929,-18.71151084,-13.53036461,-17.94596966
268,-14.95985612,-18.69672862,-13.52497712,-17.93381013
269,-14.93974308,-18.68169324,-13.5202798,-17.92248559
270,-14.92046563,-18.66638761,-13.51621199,-17.91133618
271,-14.9020638,-18.6508159,-13.51262406,-17.9003592
272,-14.88452406,-18.63498223,-13.50950858,-17.88955198
273,-14.86783308,-18.61889065,-13.50685826,-17.8789119
274,-14.85197772,-18.60254515,-13.50466588,-17.86843636
275,-14.83745358,-18.58593375,-13.50292438,-17.85812283
276,-14.8245942,-18.56903555,-13.5023155,-17.84851727
277,-14.81337385,-18.55185497,-13.50376872,-17.83906027
278,-14.80376717,-18.5343964,-13.50725215,-17.82974952
279,-14.79574921,-18.51666412,-13.51273439,-17.82058276
280,-14.78900564,-18.49866237,-13.52018453,-17.81155777
281,-14.78293262,-18.48039449,-13.52957214,-17.80267235
282,-14.7775198,-18.46183324,-13.53947821,-17.79392434
283,-14.77275695,-18.44298316,-13.54888453,-17.78566317
284,-14.76863404,-18.42384871,-13.55779882,-17.77752976
