Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6
151,-12.04824983,-17.22689829,-14.56306312,-20.43702127,-19.12007365,-11.73184159
152,-11.9295475,-17.11167979,-14.3810092,-20.34993231,-19.02054039,-11.60284456
153,-11.81084518,-16.99252096,-14.19895529,-20.26247287,-18.91973397,-11.47285708
154,-11.69214285,-16.86885211,-14.00802503,-20.17464868,-18.81767406,-11.34189447
155,-11.57286973,-16.74518326,-13.80230086,-20.08646539,-18.71438005,-11.20997181
156,-11.4523123,-16.6215144,-13.59657669,-19.99792854,-18.60987104,-11.07710394
157,-11.33175488,-16.49784555,-13.39085252,-19.90904361,-18.5041658,-10.94330549
158,-11.21119746,-16.3741767,-13.18512835,-19.81981597,-18.39701823,-10.80874169
159,-11.09064004,-16.21731028,-12.97940418,-19.73028292,-18.28842325,-10.67378645
160,-10.97008262,-16.05476533,-12.77368001,-19.64053876,-18.17840326,-10.53844582
161,-10.8495252,-15.89222038,-12.57163577,-19.55058675,-18.06698028,-10.40272575
162,-10.72282873,-15.72967543,-12.37432287,-19.4604301,-17.95417601,-10.26663211
163,-10.59547916,-15.56713048,-12.17700998,-19.37007199,-17.84001182,-10.13017068
164,-10.4681296,-15.41849813,-11.97969709,-19.27951552,-17.72431052,-9.993347151
165,-10.34078004,-15.31354485,-11.78238419,-19.18876377,-17.60699491,-9.855516289
166,-10.21343048,-15.20859158,-11.5850713,-19.09781975,-17.48808993,-9.716493419
167,-10.08608092,-15.10363831,-11.38775841,-19.00670796,-17.36762019,-9.576296975
168,-9.954313131,-14.99868503,-11.18783351,-18.91543809,-17.24560987,-9.434945107
169,-9.818127119,-14.89373176,-10.9852966,-18.82401258,-17.1220828,-9.292455682
170,-9.681941107,-14.78117825,-10.78275969,-18.73243384,-16.996982,-9.148846294
171,-9.545755095,-14.66414604,-10.58022278,-18.64070425,-16.87022016,-9.004138215
172,-9.409569083,-14.54711383,-10.37768587,-18.54882613,-16.74182297,-8.858361278
173,-9.273383072,-14.43008162,-10.17514896,-18.45680179,-16.61181571,-8.711532013
174,-9.135871498,-14.3130494,-9.972612055,-18.36461894,-16.48022329,-8.563666695
175,-8.985899643,-14.19574526,-9.774005545,-18.27223416,-16.34707023,-8.414781347
176,-8.835927789,-14.06257843,-9.578456012,-18.17965057,-16.2123197,-8.264891742
177,-8.685955934,-13.92941161,-9.382906479,-18.08687125,-16.07570905,-8.114013412
