Var1,Var2_1,Var2_2,Var2_3,Var2_4
500,-2.146870248,-0.819884675,16.32136571,0.253656795
501,-2.116437296,-0.816844482,16.33515437,0.279221773
502,-2.085618349,-0.814272183,16.34906374,0.304391388
503,-2.054419376,-0.812160541,16.36309196,0.329171753
504,-2.022846254,-0.810834393,16.37747631,0.353568889
505,-1.99090477,-0.810991989,16.3923852,0.377588723
506,-1.958639116,-0.812610382,16.40781051,0.401237089
507,-1.926174815,-0.815666982,16.42374425,0.424519732
508,-1.893514939,-0.820139546,16.44017856,0.446085762
509,-1.860662512,-0.826006177,16.45710571,0.467318271
510,-1.827620513,-0.833245315,16.4741818,0.48822242
511,-1.794391872,-0.842382254,16.49128443,0.508803285
512,-1.761170387,-0.853413147,16.50841321,0.529065866
513,-1.727959009,-0.866308706,16.52556771,0.549015085
514,-1.694757581,-0.881040093,16.54274755,0.569388423
515,-1.661565951,-0.897578917,16.55995234,0.589446686
516,-1.628383966,-0.915897226,16.57735544,0.609194747
517,-1.595276127,-0.935706502,16.59497426,0.628637403
518,-1.562265647,-0.956804077,16.61280543,0.647779379
519,-1.52935102,-0.979170028,16.63084569,0.666625322
520,-1.496530765,-1.002784738,16.64909179,0.685179813
521,-1.463803421,-1.027628897,16.66755863,0.712720374
522,-1.431069298,-1.053683489,16.68656791,0.73983502
523,-1.398216999,-1.080425056,16.70611127,0.766530337
524,-1.365248351,-1.106146484,16.72618042,0.792812809
525,-1.332165155,-1.130863551,16.74676726,0.818688822
526,-1.298969181,-1.154591788,16.76786376,0.844164662
527,-1.265822862,-1.177346487,16.7892686,0.867706123
528,-1.233328012,-1.199142705,16.81025159,0.890883515
529,-1.201474556,-1.219995265,16.83081926,0.913702468
530,-1.170252575,-1.239576134,16.85097802,0.936168525
531,-1.139652303,-1.257852074,16.87073421,0.958287143
532,-1.109664124,-1.274843266,16.89009404,0.980063696
533,-1.081386813,-1.290569578,16.90912757,1.001503474
534,-1.054849015,-1.305050571,16.92794945,1.030501137
535,-1.030023829,-1.318305506,16.94656293,1.059050351
536,-1.006884769,-1.329104209,16.96497124,1.087158049
537,-0.98540576,-1.336251345,16.98317757,1.114831061
538,-0.964107446,-1.339803387,17.00118502,1.142076109
539,-0.942348293,-1.339815931,17.01935234,1.168899811
540,-0.920135428,-1.336343718,17.03799718,1.195308684
541,-0.897475869,-1.329440638,17.05711214,1.217305926
542,-0.874376522,-1.319188315,17.07668996,1.23896298
543,-0.850922734,-1.305813827,17.09672347,1.260285106
544,-0.827221244,-1.289365459,17.11720562,1.281277485
545,-0.803275882,-1.269890748,17.13793866,1.301945217
546,-0.77909042,-1.247436498,17.15883062,1.322293321
547,-0.75466857,-1.222048785,17.17987904,1.350478565
548,-0.729962813,-1.193772978,17.20108151,1.378227923
549,-0.704742729,-1.163029999,17.22243564,1.405548136
550,-0.679016273,-1.129965946,17.24393908,1.432445841
551,-0.652791276,-1.094616716,17.26560671,1.458927572
552,-0.626075448,-1.057017648,17.28743921,1.484999763
553,-0.598876379,-1.017203536,17.30943402,1.510668745
554,-0.571449748,-0.975208637,17.33158863,1.533514259
555,-0.543820351,-0.931353619,17.35390058,1.556006466
556,-0.515991322,-0.886073388,17.37636743,1.578150831
557,-0.487965749,-0.839389983,17.39529029,1.599952732
558,-0.459746671,-0.791325104,17.41072397,1.621417465
559,-0.4318915,-0.741900117,17.42272243,1.642550246
560,-0.404676217,-0.691136055,17.4313388,1.663356207
561,-0.378090926,-0.639069823,17.43662537,1.683411235
562,-0.352125884,-0.586023197,17.4387402,1.70315611
563,-0.3267715,-0.53201134,17.43830058,1.72259563
564,-0.301572967,-0.477049179,17.435346,1.741734518
565,-0.275874292,-0.42115141,17.42991537,1.760577421
566,-0.24968321,-0.364332503,17.42204698,1.779128919
567,-0.223007336,-0.306606702,17.41177852,1.803103342
568,-0.195854168,-0.247804115,17.39963732,1.826707
569,-0.168237889,-0.187857947,17.38671448,1.849945626
570,-0.140205022,-0.126785884,17.37302207,1.872824866
571,-0.111762008,-0.064605339,17.358572,1.895350278
572,-0.082915192,-0.001333454,17.34337599,1.917527333
573,-0.053670817,0.063012893,17.32744557,1.93936142
574,-0.024035032,0.128269082,17.31122452,1.958107205
575,0.003614753,0.194113428,17.29519779,1.976563086
576,0.029014586,0.260536833,17.27936239,1.994733546
577,0.052199264,0.327530344,17.26371534,2.012622999
578,0.073203043,0.395085143,17.24825375,2.030235791
579,0.092059651,0.463192551,17.23297474,2.047576201
