Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_10,Var2_11
300,-13.35118354,-11.89008494,-11.44902921,-12.31158755,-13.0316425,-13.11257514,-13.96746338,-12.16816761,-12.41804851,-12.31493856
301,-13.34974991,-11.90084931,-11.45594462,-12.31685105,-13.0402003,-13.12155351,-13.97856426,-12.18154817,-12.42970492,-12.32741027
302,-13.34831628,-11.91161367,-11.46286004,-12.32211455,-13.0484013,-13.13053189,-13.98873405,-12.1931784,-12.44136134,-12.3404445
303,-13.34688264,-11.92237804,-11.46977546,-12.32737806,-13.0566023,-13.13951027,-13.99864486,-12.20432178,-12.45301776,-12.35347874
304,-13.34535802,-11.93275399,-11.47630462,-12.33266943,-13.0648033,-13.14827676,-14.00855568,-12.21546517,-12.46467417,-12.36651297
305,-13.34359075,-11.94258975,-11.48277269,-12.33799956,-13.0730043,-13.1564782,-14.01846649,-12.22660855,-12.47604146,-12.37954721
306,-13.34182348,-11.95242551,-11.48924076,-12.34332969,-13.08117247,-13.16467964,-14.0283773,-12.23775193,-12.48738785,-12.39258144
307,-13.34005622,-11.96226126,-11.49570883,-12.34865982,-13.08859369,-13.17288108,-14.03742847,-12.24769838,-12.49873423,-12.40606973
308,-13.33828895,-11.97209702,-11.5021769,-12.35398995,-13.09601491,-13.18108252,-14.04592124,-12.25686733,-12.51008062,-12.41970937
309,-13.33652168,-11.98097181,-11.50864903,-12.35948665,-13.10343614,-13.18911459,-14.05441401,-12.26603628,-12.52142701,-12.43334901
310,-13.33473207,-11.98924601,-11.5151212,-12.36508745,-13.11085736,-13.19657081,-14.06290679,-12.27520523,-12.53271862,-12.44698865
311,-13.3328624,-11.9975202,-11.52159337,-12.37068825,-13.11827858,-13.20402703,-14.07139956,-12.28437417,-12.54389395,-12.46062829
312,-13.33099273,-12.00579439,-11.52806555,-12.37628905,-13.12493019,-13.21148324,-14.07924927,-12.29290671,-12.55506929,-12.47434
313,-13.32912306,-12.01406859,-11.53458096,-12.38188985,-13.13137003,-13.21893946,-14.08624673,-12.3005958,-12.56624462,-12.48834
314,-13.32725339,-12.02077289,-11.5414225,-12.38794064,-13.13780987,-13.22627892,-14.09324418,-12.30828488,-12.57741996,-12.50234
315,-13.32538372,-12.02711491,-11.54826404,-12.39409528,-13.14424971,-13.23309297,-14.10024164,-12.31597397,-12.5885953,-12.51634
316,-13.32354649,-12.03345694,-11.55510559,-12.40024991,-13.15068955,-13.23990703,-14.1072391,-12.32366306,-12.59970505,-12.53034
317,-13.32187502,-12.03979896,-11.56194713,-12.40640454,-13.15658885,-13.24672108,-14.11388635,-12.33111475,-12.61078773,-12.54434
318,-13.32020354,-12.0461216,-11.56893982,-12.41256723,-13.16200166,-13.25353514,-14.1195044,-12.33786879,-12.62187041,-12.55842432
319,-13.31853207,-12.05044817,-11.57640108,-12.41955886,-13.16741447,-13.26028,-14.12512246,-12.34462282,-12.63295309,-12.57255405
320,-13.3168606,-12.05477473,-11.58386234,-12.42655049,-13.17282729,-13.26658667,-14.13074052,-12.35137686,-12.64403578,-12.58668378
321,-13.31518913,-12.0591013,-11.5913236,-12.43354212,-13.1782401,-13.27289333,-14.13635858,-12.35813089,-12.6550977,-12.60081351
322,-13.31356739,-12.06342787,-11.59878486,-12.44053375,-13.18342216,-13.2792,-14.14188655,-12.36484949,-12.665963,-12.61494324
323,-13.31235177,-12.06736705,-11.60651848,-12.4477406,-13.18797532,-13.28550667,-14.14634545,-12.37114759,-12.67682831,-12.62907333
324,-13.31113616,-12.06981974,-11.61471437,-12.45577327,-13.19252847,-13.29177153,-14.15080434,-12.37744569,-12.68769361,-12.64320667
325,-13.30992054,-12.07227243,-11.62291027,-12.46380595,-13.19708162,-13.29761838,-14.15526324,-12.38374378,-12.69855892,-12.65734
326,-13.30870492,-12.07472513,-11.63110617,-12.47183862,-13.20163477,-13.30346523,-14.15972214,-12.39004188,-12.70942422,-12.67147333
327,-13.30748931,-12.07717782,-11.63930206,-12.47987129,-13.206182,-13.30931207,-14.16418104,-12.39633998,-12.72006743,-12.68560667
328,-13.30630486,-12.07900324,-11.64783285,-12.48836474,-13.21017219,-13.31515892,-14.16786312,-12.40263808,-12.73047303,-12.69974
329,-13.30566072,-12.0799027,-11.65670182,-12.4975384,-13.21416238,-13.3209836,-14.17146038,-12.40893618,-12.74087864,-12.71386739
330,-13.30501658,-12.08080216,-11.66557079,-12.50671205,-13.21815257,-13.32634288,-14.17505764,-12.41523427,-12.75128424,-12.72798991
331,-13.30437243,-12.08170162,-11.67443976,-12.51588571,-13.22214276,-13.33170216,-14.17865489,-12.42153237,-12.76168985,-12.74211243
332,-13.30372829,-12.08260108,-11.68330873,-12.52505936,-13.22613295,-13.33706144,-14.18225215,-12.42783047,-12.77209546,-12.75623495
333,-13.30308414,-12.08282987,-11.69241858,-12.53497876,-13.22989698,-13.34242072,-14.18546262,-12.43443127,-12.78187423,-12.77035748
334,-13.30244,-12.08261333,-11.70167333,-12.54539333,-13.23358667,-13.34778,-14.18852667,-12.44114667,-12.79156,-12.78448
335,-13.30230456,-12.0823968,-11.71092809,-12.55580791,-13.23727636,-13.35259225,-14.19159071,-12.44786206,-12.80124577,-12.79860973
336,-13.30216913,-12.08218026,-11.72018284,-12.56622248,-13.24096605,-13.3574045,-14.19465475,-12.45457746,-12.81093153,-12.81273946
337,-13.30203369,-12.08196372,-11.7294376,-12.57663706,-13.24465574,-13.36221676,-14.1977188,-12.46129285,-12.8206173,-12.82686919
338,-13.30189826,-12.08121878,-11.73870777,-12.58810513,-13.24822122,-13.36702901,-14.200664,-12.46845814,-12.8300802,-12.84099892
339,-13.30176282,-12.08034014,-11.74798304,-12.59983974,-13.25165986,-13.37184126,-14.20351167,-12.47599267,-12.83890358,-12.85512865
340,-13.30162739,-12.0794615,-11.75725832,-12.61157435,-13.2550985,-13.37612757,-14.20635934,-12.48352721,-12.84772697,-12.86924541
341,-13.30173243,-12.07858286,-11.76653359,-12.62330897,-13.25853714,-13.38038883,-14.20920701,-12.49106174,-12.85655035,-12.88334631
342,-13.30185135,-12.07770422,-11.77580887,-12.63504358,-13.26197578,-13.38465009,-14.21205467,-12.49859628,-12.86537373,-12.89744721
343,-13.30197027,-12.07661838,-11.7848391,-12.6480836,-13.26532703,-13.38891135,-14.21492108,-12.50653586,-12.87419712,-12.91154811
344,-13.30208919,-12.07553153,-11.7938353,-12.66112993,-13.2683967,-13.39317261,-14.21781898,-12.51515614,-12.8824196,-12.92564901
345,-13.30220811,-12.07444468,-11.80283149,-12.67417626,-13.27146637,-13.39700144,-14.22071688,-12.52377642,-12.89031289,-12.93974991
346,-13.30232703,-12.07335784,-11.81182769,-12.68722258,-13.27453604,-13.40078703,-14.22361477,-12.5323967,-12.89820619,-12.95370162
347,-13.30234,-12.07230863,-11.82082192,-12.70048032,-13.27760571,-13.40457261,-14.22651267,-12.54101698,-12.90609948,-12.96763676
348,-13.30234,-12.0714175,-11.82941592,-12.71462599,-13.28067538,-13.4083582,-14.22945089,-12.54987842,-12.91399277,-12.98157189
349,-13.30234,-12.07052637,-11.83800991,-12.72877165,-13.28326468,-13.41214378,-14.23255357,-12.55972354,-12.92185604,-12.99550703
350,-13.30234,-12.06963524,-11.8466039,-12.74291732,-13.28584366,-13.41561441,-14.23565626,-12.56956867,-12.92885844,-13.00944216
351,-13.30234,-12.0687441,-11.8551979,-12.75706298,-13.28842264,-13.41903532,-14.23875894,-12.57941379,-12.93586084,-13.02324234
352,-13.30234,-12.06801514,-11.86375027,-12.77149568,-13.29100162,-13.42245622,-14.24186162,-12.58925892,-12.94286324,-13.03679189
353,-13.30193387,-12.06754042,-11.87202825,-12.7863784,-13.2935806,-13.42587712,-14.24496991,-12.59912927,-12.94986565,-13.05034144
354,-13.30144829,-12.06706571,-11.88030623,-12.80126112,-13.2957756,-13.42929802,-14.24834306,-12.61019151,-12.95686805,-13.06389099
355,-13.3009627,-12.06659099,-11.8885842,-12.81614384,-13.29782204,-13.43247243,-14.25171622,-12.62125375,-12.96354763,-13.07744054
356,-13.30047712,-12.06611628,-11.89686218,-12.83102657,-13.29986849,-13.43559207,-14.25508937,-12.632316,-12.96978386,-13.09099009
357,-13.29999153,-12.06591756,-11.90511894,-12.84604118,-13.30191493,-13.43871171,-14.25846252,-12.64337824,-12.9760201,-13.10404667
358,-13.29950595,-12.06591339,-11.91331483,-12.86114877,-13.30396138,-13.44183135,-14.26183568,-12.65444048,-12.98225634,-13.11698
359,-13.29850384,-12.06590923,-11.92151073,-12.87625636,-13.30580699,-13.44495099,-14.26541115,-12.66642296,-12.98849257,-13.12991333
360,-13.2973576,-12.06590507,-11.92970663,-12.89136394,-13.3074198,-13.44781027,-14.26902386,-12.67857481,-12.99472881,-13.14284667
361,-13.29621135,-12.0659009,-11.93790252,-12.90647153,-13.30903261,-13.45059297,-14.27263658,-12.69072667,-13.00050955,-13.15578
362,-13.29506511,-12.06624264,-11.94617592,-12.92132132,-13.31064543,-13.45337568,-14.27624929,-12.70287852,-13.00618274,-13.16851784
363,-13.29391886,-12.06667988,-11.95457291,-12.93609994,-13.31225824,-13.45615838,-14.279862,-12.71503037,-13.01185594,-13.18066919
364,-13.29277261,-12.06711712,-11.96296991,-12.95087856,-13.31381796,-13.45894108,-14.2835806,-12.72775039,-13.01752913,-13.19282054
365,-13.29122757,-12.06755435,-11.97136691,-12.96565718,-13.31517211,-13.46139514,-14.28735173,-12.74075229,-13.02320232,-13.20497189
