Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
19,-6.276953063,-6.21816955,-6.309777568,-6.459849189,-6.644396847,-6.52332991,-6.509383784,-6.266283243,-6.521044865
20,-6.27611952,-6.217844525,-6.309929099,-6.459989069,-6.642459449,-6.522220771,-6.510550661,-6.265248649,-6.520696246
21,-6.275336336,-6.217519499,-6.310080631,-6.460071652,-6.640522052,-6.521257127,-6.511717538,-6.264145946,-6.520347628
22,-6.274553153,-6.217194474,-6.310232162,-6.460154234,-6.638584655,-6.520293483,-6.51109973,-6.263043243,-6.519999009
23,-6.27376997,-6.216869449,-6.310383694,-6.460236817,-6.63719009,-6.51932984,-6.509351622,-6.261940541,-6.519753393
24,-6.272986787,-6.216544424,-6.310589339,-6.460319399,-6.63585964,-6.518366196,-6.507603514,-6.260837838,-6.519543093
25,-6.272203604,-6.21596042,-6.31231018,-6.460401982,-6.634529189,-6.517402553,-6.505855405,-6.259735135,-6.519332793
26,-6.271427668,-6.215111271,-6.314031021,-6.460279249,-6.633198739,-6.515322913,-6.504107297,-6.258754595,-6.519122492
27,-6.270934374,-6.214262122,-6.315751862,-6.460099219,-6.631868288,-6.512599429,-6.502359189,-6.258018378,-6.518912192
28,-6.270441081,-6.213412973,-6.317472703,-6.459919189,-6.630537838,-6.509875946,-6.500611081,-6.257282162,-6.518701892
29,-6.269947788,-6.212563824,-6.319193544,-6.459739159,-6.629207387,-6.507152462,-6.50001973,-6.256545946,-6.518491592
30,-6.269454494,-6.211714675,-6.320635135,-6.459559129,-6.627675435,-6.504428979,-6.499688649,-6.25580973,-6.517831652
31,-6.268961201,-6.211408919,-6.321403243,-6.459379099,-6.62611045,-6.501705495,-6.499357568,-6.255073514,-6.51693964
32,-6.268467908,-6.21143955,-6.322171351,-6.459334805,-6.624545465,-6.499847958,-6.499026486,-6.254576757,-6.516047628
33,-6.267805696,-6.21147018,-6.322939459,-6.459341411,-6.62298048,-6.49872015,-6.498695405,-6.255277297,-6.515155616
34,-6.267096186,-6.211500811,-6.323707568,-6.459348018,-6.621415495,-6.497592342,-6.498364324,-6.255977838,-6.514263604
35,-6.266386677,-6.211531441,-6.324475676,-6.459354625,-6.619850511,-6.496464535,-6.498026997,-6.256678378,-6.513371592
36,-6.265677167,-6.211562072,-6.326104805,-6.459361231,-6.618285526,-6.495336727,-6.49738985,-6.257378919,-6.51247958
37,-6.264967658,-6.211324054,-6.328433514,-6.459367838,-6.617703153,-6.494208919,-6.496752703,-6.258079459,-6.511789459
38,-6.264258148,-6.210992222,-6.330762222,-6.458804444,-6.617330741,-6.493613704,-6.496115556,-6.25878,-6.511248889
39,-6.263935165,-6.21066039,-6.333090931,-6.457963754,-6.616958328,-6.493666236,-6.495478408,-6.25830973,-6.510708318
40,-6.263944775,-6.210328559,-6.33541964,-6.457123063,-6.616585916,-6.493718769,-6.494841261,-6.257839459,-6.510167748
41,-6.263954384,-6.209996727,-6.337748348,-6.456282372,-6.616213504,-6.493771301,-6.494204114,-6.257369189,-6.509627177
42,-6.263963994,-6.209664895,-6.338158949,-6.455441682,-6.615841091,-6.493823834,-6.493685225,-6.256898919,-6.509086607
43,-6.263973604,-6.209244775,-6.338120631,-6.454600991,-6.615468679,-6.493876366,-6.493574865,-6.256428649,-6.508546036
44,-6.263983213,-6.208810841,-6.338082312,-6.454275916,-6.614490861,-6.493796016,-6.493464505,-6.255958378,-6.508931682
45,-6.264019169,-6.208376907,-6.338043994,-6.454269309,-6.613350881,-6.493479179,-6.493354144,-6.256054324,-6.510283814
46,-6.264118468,-6.207942973,-6.338005676,-6.454262703,-6.612210901,-6.493162342,-6.493243784,-6.256263514,-6.511635946
47,-6.264217768,-6.207509039,-6.338112342,-6.454256096,-6.611070921,-6.492845506,-6.493133423,-6.256472703,-6.512988078
48,-6.264317067,-6.207075105,-6.340176306,-6.454249489,-6.609930941,-6.492528669,-6.493023063,-6.256681892,-6.51434021
49,-6.264416366,-6.205766697,-6.34224027,-6.454242883,-6.608790961,-6.492211832,-6.493016757,-6.256891081,-6.515692342
50,-6.264515666,-6.204447878,-6.344304234,-6.454138529,-6.607650981,-6.491917457,-6.493149189,-6.25710027,-6.517044474
51,-6.264731722,-6.203129059,-6.346368198,-6.453958498,-6.606577407,-6.491684344,-6.493281622,-6.257265135,-6.517335345
52,-6.267166156,-6.20181024,-6.348432162,-6.453778468,-6.605525556,-6.491451231,-6.493414054,-6.257407838,-6.516062252
53,-6.269600591,-6.200491421,-6.350467027,-6.453598438,-6.604473704,-6.491218118,-6.493546486,-6.257550541,-6.514789159
54,-6.272035025,-6.199370781,-6.352442162,-6.453418408,-6.603421852,-6.490985005,-6.493678919,-6.257693243,-6.513516066
55,-6.274469459,-6.199825135,-6.354417297,-6.453238378,-6.60237,-6.490751892,-6.493811351,-6.257835946,-6.512242973
