Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
34,0.99822523,0.53962072,1.57523964,3.18973153,1.26896156,2.17325946,1.38842162,0.99003213,1.38243634
35,0.95230781,0.53188498,1.57394084,3.16329309,1.26231191,2.16222793,1.37901622,0.99203614,1.37927077
36,0.90639039,0.52414925,1.57145746,3.13685465,1.24662573,2.1511964,1.36333574,0.99404014,1.37610521
37,0.86047297,0.51255405,1.5667991,3.11041622,1.2285036,2.14016486,1.34255676,0.99513423,1.37293964
38,0.81455556,0.49281111,1.56214074,3.08397778,1.21038148,2.12913333,1.32177778,0.99430741,1.36977407
39,0.77341411,0.47306817,1.55748238,3.05753934,1.19225936,2.1181018,1.3009988,0.99348058,1.37063804
40,0.74331712,0.45332523,1.55282402,3.03053934,1.17413724,2.10448198,1.28021982,0.99265375,1.37303904
41,0.71322012,0.43358228,1.54816567,3.00239419,1.15601512,2.08558408,1.25944084,0.99182693,1.37544004
42,0.68312312,0.41383934,1.53160541,2.97424905,1.13789299,2.06668619,1.24413814,0.9910001,1.37784104
43,0.65302613,0.39579279,1.50635676,2.9461039,1.1180994,2.04778829,1.23011712,0.99017327,1.38024204
44,0.62292913,0.38057357,1.48110811,2.91795876,1.09820891,2.02889039,1.2160961,0.98773283,1.38264304
45,0.59239219,0.36535435,1.45585946,2.88981361,1.07831842,2.00999249,1.20207508,0.97821732,1.38504404
46,0.53897838,0.35013514,1.43061081,2.86166847,1.05842793,1.99109459,1.18805405,0.9687018,1.38713874
47,0.48556456,0.33491592,1.40536216,2.82740701,1.03853744,1.98219399,1.17420721,0.95918629,1.3883996
48,0.43215075,0.3196967,1.38488599,2.79234194,1.01864695,1.97460691,1.16271171,0.94967077,1.38966046
49,0.37873694,0.29924505,1.36557718,2.75727688,0.99863183,1.96701982,1.15121622,0.94015526,1.39092132
50,0.32532312,0.27181682,1.34626837,2.72221181,0.97752833,1.95943273,1.13972072,0.93063974,1.39218218
51,0.27190931,0.24438859,1.32695956,2.68714675,0.95642482,1.95184565,1.12822523,0.92119429,1.39344304
52,0.22321532,0.21696036,1.30765075,2.65208168,0.93532132,1.94425856,1.11672973,0.91308018,1.3947039
53,0.17621562,0.18953213,1.28842202,2.61794234,0.91421782,1.93456817,1.10434985,0.90496607,1.39596476
54,0.12921592,0.1621039,1.27188398,2.58498739,0.89311431,1.92218679,1.09015465,0.89685195,1.38764585
55,0.08221622,0.13687297,1.25534595,2.55203243,0.87201081,1.90980541,1.07595946,0.88873784,1.37712973
56,0.03521652,0.1140021,1.23880791,2.51907748,0.84935916,1.89742402,1.06176426,0.88062372,1.36661361
57,-0.01178318,0.09113123,1.22226987,2.48612252,0.82230751,1.88504264,1.04756907,0.87250961,1.3560975
58,-0.0667973,0.06826036,1.20573183,2.45316757,0.79525586,1.87266126,1.03337387,0.8643955,1.34558138
59,-0.1314955,0.04538949,1.18268408,2.42021261,0.7682042,1.86027988,1.01692222,0.8495034,1.33506527
60,-0.19619369,0.02251862,1.14055105,2.39385546,0.74115255,1.85048829,0.99887778,0.83397588,1.32454915
