Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
115,-20.53583964,-22.1649045,-22.91329406,-23.61932757,-24.31030883,-23.70918018,-23.12707676,-24.13358054,-25.95872757
116,-20.48967508,-22.11716156,-22.87931423,-23.5904501,-24.27368733,-23.67098247,-23.06974234,-24.10717406,-25.9524101
117,-20.44351052,-22.06941862,-22.84355279,-23.56529693,-24.23706582,-23.63165357,-23.01304613,-24.08076756,-25.94609261
118,-20.39734594,-22.02167567,-22.80779135,-23.54028432,-24.20044432,-23.58914162,-22.95707135,-24.05436108,-25.93977514
119,-20.35118138,-21.96784024,-22.77202991,-23.51527172,-24.16382283,-23.54662967,-22.90109657,-24.05790594,-25.93345766
120,-20.30016924,-21.90715076,-22.73626847,-23.4902591,-24.12720132,-23.50411772,-22.8451218,-24.06744108,-25.92714018
121,-20.24085874,-21.84646126,-22.70050703,-23.46524649,-24.09469478,-23.46160576,-22.78914702,-24.07697621,-25.9208227
122,-20.18154822,-21.78577178,-22.65740325,-23.44023387,-24.06832456,-23.41909382,-22.73317226,-24.08651135,-25.9184591
123,-20.12223772,-21.72508228,-22.60460757,-23.41749153,-24.04195436,-23.37349094,-22.67719748,-24.09604649,-25.919289
124,-20.0629272,-21.6643928,-22.55181189,-23.39497622,-24.01558414,-23.31287495,-22.61848757,-24.10558162,-25.92011892
125,-20.0036167,-21.60412793,-22.49901622,-23.3724609,-23.98921394,-23.25225898,-22.55845154,-24.10603568,-25.92094883
126,-19.94654042,-21.54415316,-22.44622054,-23.34994558,-23.96284372,-23.19164301,-22.4984155,-24.10194918,-25.92177874
127,-19.90510378,-21.48417838,-22.39342486,-23.32743027,-23.93647352,-23.13102702,-22.43837946,-24.0978627,-25.92260865
128,-19.86366714,-21.4242036,-22.34358414,-23.30491496,-23.90996589,-23.07041105,-22.37834343,-24.09377621,-25.92343856
129,-19.82223051,-21.36422883,-22.29507315,-23.27948649,-23.88322042,-23.01110367,-22.31830739,-24.08968973,-25.9186555
130,-19.78079387,-21.30425405,-22.24656216,-23.25356217,-23.85647495,-22.96699604,-22.25827136,-24.08560324,-25.90749406
