time,degreeX,degreeY,degreeZ
23.6,-0.280862222,-3.780069127,8.359214123
23.7,-0.293627759,-3.78560092,8.367687519
23.8,-0.305309602,-3.790927439,8.375789038
23.9,-0.315900354,-3.796045907,8.38351189
24,-0.325393054,-3.800953496,8.390849176
24.1,-0.333781237,-3.805647331,8.397793881
24.2,-0.341058987,-3.810124481,8.404338876
24.3,-0.347220992,-3.81438195,8.410476913
24.4,-0.352262598,-3.81841668,8.416200621
24.5,-0.356179863,-3.822225541,8.421502506
24.6,-0.358969594,-3.82580533,8.426374947
24.7,-0.360629402,-3.829152772,8.430810195
24.8,-0.361157731,-3.832264515,8.434800372
24.9,-0.360553892,-3.835137129,8.438337469
25,-0.358818092,-3.837767111,8.441413347
25.1,-0.355951451,-3.840150885,8.444019738
25.2,-0.351956016,-3.842284799,8.446148244
25.3,-0.346834764,-3.844165133,8.447790343
25.4,-0.340591603,-3.845788102,8.448937393
25.5,-0.33323136,-3.847149854,8.449580633
25.6,-0.324759767,-3.848246478,8.449711192
25.7,-0.315183433,-3.849074006,8.449320099
25.8,-0.304509815,-3.849628417,8.448398288
25.9,-0.292747182,-3.849905641,8.44693661
26,-0.279904568,-3.849901558,8.444925847
26.1,-0.265991729,-3.849612009,8.442356721
26.2,-0.251019081,-3.849032791,8.439219916
26.3,-0.234997651,-3.848159668,8.435506086
26.4,-0.217939011,-3.846988366,8.43120588
26.5,-0.199855216,-3.84551458,8.426309955
26.6,-0.18075874,-3.843733977,8.420809002
26.7,-0.160662413,-3.841642198,8.41469376
26.8,-0.139579351,-3.839234859,8.407955043
26.9,-0.117522895,-3.836507556,8.40058376
27,-0.094506551,-3.833455869,8.392570939
27.1,-0.070543924,-3.830075364,8.383907748
27.2,-0.045648666,-3.826361598,8.374585518
27.3,-0.019834423,-3.822310123,8.364595769
27.4,0.006885218,-3.817916491,8.353930229
27.5,0.034496769,-3.81317626,8.342580854
27.6,0.062986884,-3.808085001,8.330539853
27.7,0.092342392,-3.802638304,8.317799706
27.8,0.122550326,-3.796831784,8.304353181
27.9,0.153597949,-3.790661091,8.290193351
28,0.185472774,-3.784121917,8.27531361
28.1,0.218162574,-3.777210005,8.259707688
28.2,0.251655397,-3.769921158,8.243369658
28.3,0.285939566,-3.762251247,8.226293952
28.4,0.321003686,-3.754196223,8.208475363
28.5,0.356836637,-3.745752123,8.189909055
28.6,0.393427568,-3.736915082,8.170590563
28.7,0.430765891,-3.727681341,8.150515799
28.8,0.468841269,-3.718047254,8.129681048
28.9,0.507643601,-3.708009301,8.108082969
29,0.547163009,-3.69756409,8.085718591
29.1,0.587389823,-3.686708372,8.062585304
29.2,0.628314563,-3.67543904,8.038680858
29.3,0.669927924,-3.663753142,8.014003353
29.4,0.712220758,-3.651647885,7.988551227
29.5,0.755184058,-3.639120639,7.962323252
29.6,0.798808945,-3.626168942,7.935318518
29.7,0.843086648,-3.612790507,7.907536425
29.8,0.888008496,-3.598983224,7.87897667
29.9,0.933565899,-3.584745162,7.849639238
30,0.979750344,-3.570074573,7.819524387
30.1,1.026553377,-3.554969896,7.788632639
30.2,1.073966598,-3.539429756,7.756964767
30.3,1.121981653,-3.523452971,7.724521788
30.4,1.170590225,-3.507038544,7.691304949
30.5,1.219784032,-3.490185677,7.657315719
30.6,1.269554817,-3.47289376,7.622555783
30.7,1.319894346,-3.455162381,7.58702703
30.8,1.370794409,-3.436991323,7.550731549
30.9,1.42224681,-3.418380564,7.513671621
31,1.474243369,-3.399330281,7.475849716
31.1,1.526775922,-3.379840846,7.437268489
31.2,1.579836314,-3.359912833,7.397930771
31.3,1.633416404,-3.339547014,7.357839575
31.4,1.687508059,-3.318744357,7.316998085
31.5,1.742103156,-3.297506036,7.275409662
31.6,1.79719358,-3.275833418,7.233077837
31.7,1.852771223,-3.253728076,7.190006317
31.8,1.908827985,-3.231191778,7.146198978
31.9,1.965355771,-3.208226495,7.10165987
32,2.022346491,-3.184834394,7.056393215
32.1,2.07979206,-3.16101784,7.010403412
32.2,2.137684398,-3.136779396,6.96369503
32.3,2.196015428,-3.112121817,6.916272813
32.4,2.254777075,-3.087048054,6.868141682
32.5,2.313961272,-3.061561246,6.819306732
32.6,2.373559953,-3.035664722,6.76977323
32.7,2.433565058,-3.009361995,6.719546621
32.8,2.493968534,-2.982656763,6.668632519
32.9,2.554762335,-2.955552899,6.617036711
33,2.615938426,-2.928054455,6.564765154
33.1,2.677488784,-2.900165653,6.51182397
33.2,2.739405403,-2.871890882,6.458219447
33.3,2.801680294,-2.843234695,6.403958031
33.4,2.864305493,-2.814201804,6.349046327
33.5,2.927273064,-2.784797074,6.293491088
33.6,2.990575104,-2.755025522,6.237299216
33.7,3.054203747,-2.724892308,6.180477754
33.8,3.118151173,-2.694402735,6.123033876
33.9,3.182409611,-2.66356224,6.064974889
34,3.246971349,-2.632376392,6.006308217
34.1,3.311828736,-2.600850885,5.9470414
34.2,3.376974193,-2.568991537,5.887182084
34.3,3.442400219,-2.536804282,5.826738011
34.4,3.508099396,-2.504295165,5.765717017
34.5,3.574064399,-2.47147034,5.704127014
34.6,3.640288002,-2.438336063,5.641975994
34.7,3.706763083,-2.404898687,5.579272007
34.8,3.773482633,-2.371164659,5.516023165
34.9,3.840439762,-2.337140513,5.452237624
35,3.907627705,-2.302832865,5.387923581
35.1,3.975039829,-2.268248408,5.323089266
35.2,4.042669636,-2.233393908,5.25774293
35.3,4.110510769,-2.198276194,5.191892843
35.4,4.17855702,-2.162902157,5.125547283
35.5,4.24680233,-2.127278741,5.058714531
35.6,4.315240795,-2.091412936,4.991402864
35.7,4.383866668,-2.055311771,4.923620552
35.8,4.452674366,-2.018982309,4.855375848
35.9,4.521658466,-1.982431639,4.786676989
36,4.590813711,-1.945666865,4.717532191
36.1,4.660135013,-1.908695102,4.647949642
36.2,4.729617447,-1.871523463,4.577937507
36.3,4.79925626,-1.834159055,4.50750392
36.4,4.869046864,-1.796608965,4.436656987
36.5,4.938984841,-1.758880255,4.365404787
36.6,5.009065935,-1.720979946,4.293755369
36.7,5.079286058,-1.682915015,4.221716758
36.8,5.149641284,-1.644692378,4.149296954
36.9,5.220127844,-1.606318884,4.076503937
37,5.290742131,-1.567801298,4.003345672
37.1,5.361480688,-1.529146298,3.929830111
37.2,5.432340209,-1.490360456,3.855965199
37.3,5.503317536,-1.451450228,3.781758877
37.4,5.574409651,-1.412421944,3.707219095
37.5,5.645613675,-1.373281798,3.63235381
37.6,5.716926858,-1.334035827,3.557170996
37.7,5.78834658,-1.29468991,3.48167865
37.8,5.859870341,-1.255249747,3.405884802
37.9,5.931495758,-1.215720851,3.329797515
38,6.003220557,-1.176108537,3.253424897
38.1,6.075042567,-1.136417907,3.176775105
38.2,6.146959717,-1.096653838,3.099856349
38.3,6.218970026,-1.056820975,3.022676904
38.4,6.2910716,-1.016923713,2.945245107
38.5,6.363262623,-0.976966192,2.867569367
38.6,6.435541353,-0.936952284,2.789658165
38.7,6.507906115,-0.896885583,2.711520061
38.8,6.580355295,-0.856769392,2.633163692
38.9,6.652887334,-0.816606722,2.554597778
39,6.725500722,-0.776400275,2.475831116
39.1,6.798193995,-0.736152441,2.396872588
39.2,6.870965726,-0.695865291,2.317731151
39.3,6.943814522,-0.655540568,2.238415841
39.4,7.016739021,-0.615179685,2.158935767
39.5,7.089737883,-0.574783717,2.079300104
39.6,7.162809789,-0.534353402,1.999518095
39.7,7.235953439,-0.493889133,1.919599036
39.8,7.309167542,-0.453390962,1.839552275
39.9,7.38245082,-0.412858597,1.759387201
40,7.455802,-0.372291403,1.679113234
40.1,7.529219815,-0.331688406,1.59873982
40.2,7.602703,-0.291048292,1.518276413
40.3,7.676250288,-0.250369416,1.43773247
40.4,7.749860414,-0.209649806,1.357117437
40.5,7.823532109,-0.16888717,1.276440733
40.6,7.897264099,-0.128078902,1.195711743
40.7,7.971055108,-0.087222095,1.1149398
40.8,8.044903854,-0.046313549,1.03413417
40.9,8.11880905,-0.005349783,0.953304043
41,8.192769404,0.03567295,0.87245851
41.1,8.266783618,0.076758656,0.791606558
41.2,8.34085039,0.117911576,0.710757045
41.3,8.414968413,0.159136178,0.629918691
41.4,8.489136378,0.200437137,0.549100061
41.5,8.563352969,0.241819318,0.468309548
41.6,8.637616871,0.28328776,0.387555359
41.7,8.711926763,0.324847653,0.3068455
41.8,8.786281325,0.366504325,0.226187757
41.9,8.860679237,0.408263217,0.145589684
42,8.935119176,0.450129868,0.06505859
42.1,9.009599822,0.49210989,-0.015398485
42.2,9.084119855,0.53420895,-0.095774774
42.3,9.158677957,0.576432751,-0.176063805
42.4,9.233272812,0.618787009,-0.256259415
42.5,9.307903105,0.661277434,-0.33635576
42.6,9.382567527,0.703909712,-0.416347332
42.7,9.457264767,0.746689479,-0.496228972
42.8,9.531993521,0.78962231,-0.575995885
42.9,9.606752485,0.832713692,-0.655643648
43,9.68154036,0.875969012,-0.735168228
43.1,9.756355846,0.919393534,-0.814565987
43.2,9.831197649,0.962992386,-0.893833701
43.3,9.906064472,1.00677054,-0.972968562
43.4,9.980955022,1.0507328,-1.051968196
43.5,10.05586801,1.094883781,-1.130830664
43.6,10.13080213,1.139227903,-1.209554478
43.7,10.20575609,1.18376937,-1.288138599
43.8,10.28072861,1.228512163,-1.366582451
43.9,10.35571836,1.273460025,-1.444885923
44,10.43072406,1.318616455,-1.523049369
44.1,10.50574439,1.363984692,-1.601073617
44.2,10.58077803,1.409567712,-1.678959966
44.3,10.65582365,1.455368219,-1.756710182
44.4,10.73087994,1.501388638,-1.834326505
44.5,10.80594555,1.547631107,-1.911811637
44.6,10.88101911,1.594097477,-1.989168737
44.7,10.95609928,1.640789305,-2.066401421
44.8,11.03118467,1.68770785,-2.143513743
44.9,11.10627389,1.734854076,-2.22051019
45,11.18136554,1.782228645,-2.297395667
45.1,11.25645819,1.829831921,-2.374175482
45.2,11.33155041,1.877663967,-2.45085533
45.3,11.40664073,1.92572455,-2.527441271
45.4,11.48172768,1.974013138,-2.603939713
45.5,11.55680975,2.022528907,-2.680357385
45.6,11.63188545,2.071270744,-2.756701317
45.7,11.70695321,2.120237246,-2.832978808
45.8,11.78201148,2.169426732,-2.909197401
45.9,11.85705866,2.218837239,-2.985364855
46,11.93209316,2.268466537,-3.061489107
46.1,12.00711332,2.318312127,-3.137578247
46.2,12.08211748,2.36837125,-3.213640479
46.3,12.15710394,2.418640896,-3.289684086
46.4,12.232071,2.469117807,-3.365717399
46.5,12.3070169,2.519798487,-3.441748756
46.6,12.38193986,2.570679209,-3.517786464
46.7,12.45683807,2.62175602,-3.593838768
