Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_10,Var2_11
19,2.6343,0.0411,1.6757,3.0332,3.2462,5.0922,3.9762,0.5312,4.0507,3.6205
20,2.7728,0.1613,1.6428,3.0393,3.1898,5.3307,4.0368,0.5563,4.1419,3.7328
21,2.7728,0.1613,1.6428,3.0393,3.1898,5.3307,4.0368,0.5563,4.1419,3.7328
22,2.7728,0.1613,1.6428,3.0393,3.1898,5.3307,4.0368,0.5563,4.1419,3.7328
23,2.9125,0.2831,1.6157,3.0527,3.1413,5.5611,4.0995,0.5883,4.2353,3.8448
24,2.9125,0.2831,1.6157,3.0527,3.1413,5.5611,4.0995,0.5883,4.2353,3.8448
25,2.9125,0.2831,1.6157,3.0527,3.1413,5.5611,4.0995,0.5883,4.2353,3.8448
26,2.9125,0.2831,1.6157,3.0527,3.1413,5.5611,4.0995,0.5883,4.2353,3.8448
27,3.0535,0.2831,1.5943,3.0736,3.101,5.7833,4.1645,0.6271,4.3308,3.9566
28,3.0535,0.2831,1.5943,3.0736,3.101,5.7833,4.1645,0.6271,4.3308,3.9566
29,3.0535,0.2831,1.5943,3.0736,3.101,5.7833,4.1645,0.6271,4.3308,3.9566
30,3.1957,0.4066,1.5787,3.1018,3.0687,5.9975,4.2315,0.6728,4.4286,4.0682
31,3.1957,0.4066,1.5787,3.1018,3.0687,5.9975,4.2315,0.6728,4.4286,4.0682
32,3.1957,0.4066,1.5787,3.1018,3.0687,5.9975,4.2315,0.6728,4.4286,4.0682
33,3.3392,0.5316,1.5689,3.1374,3.0445,6.2035,4.3005,0.7251,4.5287,4.1795
34,3.3392,0.5316,1.5689,3.1374,3.0445,6.2035,4.3005,0.7251,4.5287,4.1795
35,3.3392,0.5316,1.5689,3.1374,3.0445,6.2035,4.3005,0.7251,4.5287,4.1795
36,3.3392,0.5316,1.5689,3.1374,3.0445,6.2035,4.3005,0.7251,4.5287,4.1795
37,3.484,0.6583,1.5649,3.1803,3.0283,6.4014,4.3716,0.7842,4.6313,4.2906
38,3.484,0.6583,1.5649,3.1803,3.0283,6.4014,4.3716,0.7842,4.6313,4.2906
39,3.484,0.6583,1.5649,3.1803,3.0283,6.4014,4.3716,0.7842,4.6313,4.2906
40,3.6301,0.7866,1.5667,3.2305,3.0201,6.5911,4.4446,0.8497,4.7361,4.4013
41,3.6301,0.7866,1.5667,3.2305,3.0201,6.5911,4.4446,0.8497,4.7361,4.4013
