time,Fx,Tx,Fy,Ty,Fz,Tz
201,40.9918,-1.8691,1.2704,-1.2453,-92.8817,0.8858
202,40.984,-2.1436,1.3939,-1.0567,-102.5168,0.89
203,41.3549,-2.0013,1.848,-1.1034,-98.8587,0.8923
204,41.4151,-1.7539,2.1136,-1.2523,-91.9142,0.8798
205,41.2828,-2.136,2.0108,-1.0444,-102.5474,0.8701
206,41.6708,-2.099,2.6662,-1.0317,-103.2108,0.8784
207,41.8667,-1.8802,2.752,-1.1642,-96.4562,0.8633
208,41.5183,-2.3898,2.6286,-0.9006,-110.5709,0.8625
209,41.9097,-2.2424,2.3948,-1.0165,-103.9991,0.8617
210,41.9614,-2.307,1.9945,-1.0211,-104.3856,0.8702
211,41.9549,-2.2766,3.2202,-0.9643,-106.7103,0.8477
212,42.3506,-2.0993,3.0696,-1.0476,-101.7914,0.8527
213,42.4977,-2.1289,2.7245,-1.0806,-100.7432,0.847
214,42.5233,-2.3623,2.5984,-0.9564,-107.0814,0.8507
215,42.7159,-2.001,2.6594,-1.1451,-98.0841,0.8409
216,43.0001,-1.8651,3.5054,-1.1637,-95.8828,0.8348
217,42.9646,-1.7648,4.0801,-1.1623,-94.6895,0.8374
218,42.9586,-2.1366,5.7108,-0.8516,-108.7057,0.8306
219,43.1901,-2.1226,5.7488,-0.8418,-107.2691,0.8418
220,43.3621,-1.9531,5.5631,-0.9547,-102.1419,0.8355
221,43.5645,-2.0995,6.4849,-0.7961,-108.3409,0.8475
222,43.6119,-1.836,7.7866,-0.8706,-103.3022,0.8436
223,43.6048,-2.1186,8.177,-0.7019,-111.3038,0.839
224,43.9848,-1.5525,8.0471,-0.9975,-95.5369,0.8397
225,43.9573,-2.0266,7.4881,-0.7453,-108.3988,0.8446
226,44.118,-2.0199,7.4054,-0.7739,-107.5775,0.8472
227,44.3085,-1.9719,7.0698,-0.8503,-103.6622,0.8496
228,44.1219,-1.9165,6.6979,-0.9241,-101.1795,0.8323
229,44.3137,-1.7193,6.0752,-1.0603,-94.1828,0.84
230,43.7237,-2.1382,5.6333,-0.8992,-105.0001,0.8161
231,43.751,-1.821,5.6171,-1.1135,-95.3697,0.7751
232,43.5835,-2.1322,5.1303,-0.9459,-104.5543,0.7738
233,43.6782,-1.9706,4.7265,-1.0625,-98.5872,0.7618
234,43.3608,-2.1629,4.9292,-1.0207,-102.6898,0.7508
235,43.0622,-2.4916,2.8836,-0.9514,-108.0859,0.7409
236,42.8618,-2.3451,2.4054,-1.1271,-102.3268,0.7229
237,42.6033,-2.715,1.0936,-0.9931,-110.4264,0.702
238,43.0637,-2.3571,3.483,-1.0532,-104.8533,0.7343
239,43.0246,-2.2419,4.936,-1.0272,-104.3204,0.717
240,43.2227,-1.9709,5.9684,-1.0804,-99.0601,0.7218
241,42.9216,-2.1199,5.5548,-1.0216,-103.3376,0.7225
242,42.9543,-2.0343,6.3499,-1.0199,-101.5341,0.7137
243,43.2687,-1.7072,7.6141,-1.1461,-93.8378,0.7319
244,43.0959,-1.869,7.9753,-1.0212,-99.5906,0.7327
245,43.3956,-1.7117,8.8192,-1.0599,-96.9907,0.7518
246,43.4305,-1.6326,9.2618,-1.0713,-96.4117,0.7628
247,43.3887,-1.9712,9.5448,-0.8455,-106.6641,0.7784
248,43.3142,-1.6955,9.3789,-1.0111,-99.4926,0.7632
249,43.3732,-1.6047,9.0479,-1.0954,-95.1699,0.7655
250,43.0746,-1.9183,7.6078,-1.001,-101.2208,0.7696
251,43.1637,-1.8083,6.419,-1.1712,-93.7724,0.766
252,42.9891,-2.1787,5.0578,-1.0608,-100.6464,0.7757
253,42.9424,-2.2786,4.4311,-1.0289,-102.2438,0.779
254,43.0184,-2.0033,4.5262,-1.1935,-93.8511,0.7637
255,42.3656,-2.6695,3.8981,-0.8661,-111.206,0.7663
256,42.3846,-2.2552,3.5011,-1.1755,-95.4033,0.75
257,42.2548,-2.675,2.3448,-1.0198,-103.3086,0.7656
258,42.0626,-2.6721,0.6658,-1.1467,-98.0717,0.74
259,42.0412,-2.4387,0.5332,-1.2879,-92.1341,0.7363
260,41.7778,-2.7857,1.2152,-1.0985,-100.5586,0.7513
261,41.5368,-3.1053,0.9464,-0.9502,-107.4918,0.7553
262,41.4392,-2.8645,1.2058,-1.0788,-101.5748,0.7515
263,41.2988,-3.1113,1.3318,-0.9137,-109.3631,0.7639
264,41.5358,-2.5381,1.7346,-1.239,-94.0451,0.7642
265,41.2009,-3.0339,1.7039,-1.008,-107.1437,0.7687
266,41.1429,-2.9987,1.6648,-1.0196,-105.9087,0.7658
267,41.3552,-2.4305,3.1885,-1.2584,-93.1146,0.7719
268,41.1345,-2.6921,3.2742,-1.1017,-100.4843,0.773
269,40.7863,-2.9191,3.1939,-0.9813,-105.9974,0.7711
270,40.9508,-2.9124,2.4038,-1.0095,-105.1416,0.7965
271,40.9231,-2.552,2.5973,-1.2224,-94.9203,0.7949
272,40.866,-2.5161,2.4688,-1.2346,-94.9209,0.8034
273,40.5757,-3.0689,2.0293,-0.9625,-108.8097,0.8167
274,40.6459,-2.6737,1.835,-1.203,-96.5134,0.815
275,40.2349,-3.0353,1.1278,-1.0487,-106.3004,0.8165
276,40.1096,-2.9702,1.8341,-1.0528,-106.7612,0.8191
277,40.347,-2.8147,2.0284,-1.14,-101.6578,0.838
278,39.7993,-3.0446,1.9221,-1.134,-103.2738,0.8408
279,40.0351,-2.5826,2.5198,-1.3388,-94.115,0.8307
280,39.7479,-2.9413,3.4532,-1.0772,-106.8689,0.8464
281,39.8695,-2.5654,4.258,-1.2657,-97.9175,0.8419
282,39.5904,-2.3822,4.4275,-1.3705,-92.5953,0.8158
283,39.339,-2.9229,2.4309,-1.2219,-103.9495,0.8458
284,38.4967,-3.1096,3.7368,-1.1999,-105.8419,0.8116
285,39.4384,-2.3961,5.2943,-1.3868,-93.0707,0.8547
286,38.8116,-2.7076,5.3267,-1.1937,-101.6586,0.8533
287,39.2904,-2.3593,5.8851,-1.323,-93.1072,0.8942
288,38.5894,-2.6931,6.0633,-1.1847,-101.5002,0.8755
289,38.6994,-2.7634,5.4274,-1.1191,-103.5121,0.8959
290,38.4871,-2.4822,5.1828,-1.3292,-94.0742,0.8748
291,38.4758,-2.5255,4.3927,-1.3464,-94.4421,0.8834
292,37.7691,-2.9931,3.1903,-1.0917,-108.0737,0.8465
293,37.7526,-2.8869,3.5085,-1.1514,-105.0274,0.8656
294,37.3787,-2.9553,2.1694,-1.2707,-100.8355,0.8539
295,37.2465,-2.958,1.662,-1.3523,-97.3101,0.8366
296,36.7178,-3.3019,1.0559,-1.298,-100.7329,0.8427
297,36.0806,-3.3674,0.6224,-1.2788,-101.0914,0.798
298,36.3398,-2.825,2.5227,-1.4451,-92.6381,0.8215
299,36.2774,-2.9464,2.5061,-1.3925,-94.0551,0.8134
300,35.5409,-3.4774,2.7752,-1.1255,-109.0117,0.8124
301,35.5826,-2.8709,2.1836,-1.511,-89.9361,0.807
302,35.4288,-3.2881,2.6817,-1.2742,-101.424,0.8113
303,34.7872,-3.546,2.2696,-1.245,-104.864,0.7948
304,34.8961,-3.4074,1.1658,-1.4391,-96.8189,0.8219
305,34.1661,-3.9628,1.793,-1.24,-107.0638,0.8173
306,34.4227,-3.2945,2.9811,-1.4949,-93.4345,0.8094
307,33.9829,-3.5192,3.901,-1.3184,-102.499,0.8048
308,34.1408,-3.4084,3.1805,-1.4548,-95.4911,0.8237
309,34.0352,-3.3608,2.9361,-1.5563,-91.5853,0.8314
310,33.6284,-3.686,3.7154,-1.3723,-101.0427,0.8268
311,33.0753,-3.9453,1.076,-1.3761,-103.3288,0.811
312,33.0378,-3.6808,2.3278,-1.4098,-99.7213,0.8047
313,32.9035,-3.653,2.3362,-1.4342,-98.4886,0.796
314,32.7218,-3.7244,1.1929,-1.4195,-100.4709,0.791
315,32.2735,-3.9116,0.7004,-1.4381,-101.4555,0.7938
316,32.4816,-3.3729,1.4381,-1.7018,-87.9989,0.8001
317,32.3487,-3.7097,2.1117,-1.4198,-101.1443,0.7991
318,32.2978,-3.7936,2.2632,-1.3471,-104.8477,0.8193
319,31.6426,-3.8499,-0.6414,-1.5152,-98.0964,0.7995
320,31.5874,-3.777,0.457,-1.4907,-99.398,0.7937
321,31.7743,-3.6304,2.1169,-1.408,-102.3832,0.7993
322,31.7209,-3.5655,2.6018,-1.3951,-102.4142,0.7965
323,31.6303,-3.3183,2.5117,-1.5354,-95.2434,0.7955
324,31.609,-3.5023,2.6052,-1.4383,-99.5492,0.8214
325,31.3685,-3.598,1.1663,-1.5255,-97.6177,0.8298
326,30.8189,-3.7757,0.096,-1.4263,-102.6589,0.7972
327,31.3334,-3.3782,3.56,-1.343,-101.8657,0.8246
328,31.6889,-2.9292,5.442,-1.4383,-92.559,0.8316
329,31.473,-3.0797,4.7209,-1.4106,-93.9425,0.8461
330,31.0799,-3.7193,3.3603,-1.1641,-107.7731,0.8596
331,31.1893,-3.2684,1.7733,-1.4527,-92.94,0.8694
332,31.7742,-3.4442,1.5095,-1.3429,-97.8523,0.9153
333,31.92,-3.1826,1.3783,-1.4995,-90.4811,0.9198
334,31.9074,-3.3157,1.5681,-1.3661,-96.0167,0.9095
335,31.6962,-3.7269,0.7205,-1.1833,-106.6112,0.9112
336,31.1647,-3.6009,-0.9084,-1.2651,-103.0237,0.8719
337,31.5976,-3.3677,-0.5184,-1.4131,-95.4742,0.8763
338,32.0467,-3.0459,1.1743,-1.4867,-90.4745,0.8976
339,31.7058,-3.4004,1.8134,-1.3015,-98.689,0.9099
340,31.6986,-3.5406,1.7415,-1.1975,-104.6319,0.9163
341,31.8977,-3.2843,3.3021,-1.2837,-98.9975,0.9291
342,31.8892,-3.581,2.9894,-1.1239,-107.7874,0.9389
343,31.9437,-3.3335,3.1638,-1.2478,-100.8311,0.921
344,31.9539,-3.3118,2.9043,-1.2522,-101.2314,0.9211
345,32.0578,-3.1287,2.7656,-1.3727,-95.0766,0.909
346,32.0971,-3.1766,3.1403,-1.3039,-98.591,0.9263
347,31.9936,-3.2711,2.2229,-1.3419,-97.9136,0.9179
348,32.2995,-2.9658,3.0549,-1.4731,-90.5973,0.9166
349,32.2379,-3.2429,2.6171,-1.365,-96.095,0.9344
350,31.8531,-3.7049,1.3355,-1.1791,-106.855,0.9082
351,32.4206,-2.9185,2.0625,-1.5656,-85.824,0.9275
352,32.1968,-3.611,1.9485,-1.19,-106.2955,0.9388
353,32.2551,-3.4903,2.3178,-1.2336,-103.4479,0.9271
354,32.4231,-3.0447,2.3499,-1.49E+00,-91.1721,0.9224
355,32.0709,-3.5179,-1.3647,-1.4268,-96.6599,0.899
356,32.1193,-3.7748,1.3216,-1.1476,-109.7349,0.9253
357,32.3177,-3.2283,2.6671,-1.3657,-96.7144,0.9204
358,32.4881,-3.6097,2.7265,-1.1483,-107.1624,0.9472
359,32.1777,-3.3407,3.1278,-1.2939,-101.0468,0.9264
360,32.1456,-3.3898,3.2081,-1.2499,-103.3026,0.9154
361,31.6811,-3.5377,3.6666,-1.1504,-109.0618,0.9048
362,32.0197,-2.9007,3.9393,-1.4694,-91.474,0.9051
363,31.645,-3.3036,4.2316,-1.2422,-103.767,0.8786
364,31.6717,-2.8443,4.2673,-1.5112,-90.6701,0.8738
365,31.4001,-3.0556,4.3116,-1.3666,-98.0487,0.8889
366,31.737,-2.8428,4.3855,-1.4619,-92.5289,0.891
367,31.4064,-2.8924,4.5573,-1.4347,-94.5839,0.8771
368,31.2006,-3.4088,4.5101,-1.1412,-108.2894,0.8905
369,31.0736,-3.2326,4.6767,-1.2582,-102.9749,0.8811
370,30.8647,-3.2201,4.2935,-1.3069,-100.4848,0.8725
371,30.771,-3.1216,3.9601,-1.371,-97.1888,0.8749
372,30.3149,-3.1371,3.9663,-1.3878,-96.3575,0.8579
373,30.3025,-3.4033,4.5232,-1.1707,-107.4574,0.865
374,30.1802,-3.213,4.5996,-1.2786,-101.3133,0.8585
375,30.003,-3.2553,4.6822,-1.2468,-102.9526,0.8475
376,29.9107,-3.0085,4.9449,-1.3868,-95.1803,0.8351
377,29.7999,-3.2283,4.379,-1.2864,-100.2675,0.8613
378,29.6428,-3.0864,4.798,-1.3426,-97.424,0.8439
379,29.3593,-3.312,5.0198,-1.1819,-105.0078,0.8366
380,29.2775,-3.0434,5.1088,-1.3262,-97.6425,0.8298
381,29.2545,-3.3388,5.2255,-1.109,-108.0942,0.8342
382,29.368,-2.8585,5.3953,-1.3895,-93.773,0.8293
383,29.0797,-3.3964,5.3881,-1.1004,-107.8947,0.8539
384,29.0022,-3.2769,4.8846,-1.1931,-103.7734,0.8618
385,29.0969,-2.8095,5.2253,-1.4254,-91.9214,0.8432
386,28.8434,-2.9855,5.3665,-1.3011,-98.2789,0.8469
387,28.955,-2.6389,5.4685,-1.4894,-88.664,0.8398
388,28.7953,-2.9062,6.1933,-1.2787,-97.5115,0.8664
389,28.4918,-3.1518,6.0543,-1.0656,-107.7432,0.8625
390,29.1433,-2.7157,5.8376,-1.1472,-102.2277,0.8621
391,29.0874,-2.635,7.0161,-1.1017,-103.9473,0.8705
392,29.1439,-2.6404,6.7871,-1.0328,-106.8056,0.8655
393,29.0393,-2.3846,7.0359,-1.103,-101.2904,0.8621
394,29.0354,-2.5183,6.7067,-1.0029,-106.3899,0.8518
395,29.2185,-2.3272,6.5183,-1.1193,-101.0643,0.8623
396,28.884,-2.4058,5.8954,-1.1084,-102.8747,0.8739
397,28.7635,-2.305,5.8211,-1.0756,-103.2737,0.8349
398,28.5788,-2.1975,5.8762,-1.071,-102.8688,0.8209
399,28.8467,-1.9928,5.6404,-1.1942,-95.8984,0.8453
400,29.6513,-1.7358,5.0165,-1.2735,-91.7853,0.8451
401,28.8663,-2.0986,5.7536,-1.1424,-99.1862,0.8541
402,29.3182,-1.6954,5.2469,-1.3787,-87.7062,0.8751
403,28.6551,-2.2115,5.7376,-1.0874,-103.2856,0.8546
404,28.3804,-2.4455,5.7011,-0.9715,-109.2152,0.8554
