time,route2,route6,route8,route1,route4,route3,route7,route5,,,route9,route10
497,-0.044399691,-1.130118759,0.820639997,0.680206139,-0.663279539,0.13040094,0.105539029,0.879537338,,,,
498,-0.049354787,-1.139383353,0.823697772,0.679843521,-0.669978174,0.133648087,0.104607356,0.882296605,,,,
499,-0.054294439,-1.148676775,0.826808996,0.679526925,-0.676686168,0.136922281,0.103699284,0.885111407,,,,
500,-0.059071363,-1.155089161,0.827885834,0.67754712,-0.681686832,0.139870205,0.102555093,0.885747996,,,,
501,-0.064508697,-1.167354516,0.8294995,0.679025057,-0.690135155,0.139851293,0.101948962,0.890901581,,,,
502,-0.070161656,-1.176740469,0.825384815,0.678836483,-0.696878149,0.135802844,0.101104431,0.893873934,,,,
503,-0.075703407,-1.184560369,0.820204684,0.677772924,-0.702686482,0.131594366,0.100143823,0.895687371,,,,
504,-0.08136353,-1.194463194,0.816493513,0.6779258,-0.709724055,0.127634743,0.099376221,0.899103226,,,,
505,-0.087070856,-1.2050918,0.813279064,0.678887143,-0.717051068,0.123757437,0.099071579,0.9033086,,,,
506,-0.092677614,-1.208640342,0.809169947,0.683572469,-0.721980494,0.119749925,0.103180957,0.906822464,,,,
507,-0.098333398,-1.210911692,0.805553382,0.688686751,-0.727334593,0.115822598,0.107371256,0.910897326,,,,
508,-0.103989377,-1.213205862,0.801964293,0.69384237,-0.732704802,0.111904041,0.111585859,0.915017343,,,,
509,-0.107896994,-1.215521419,0.798400736,0.699038299,-0.738090727,0.107993412,0.115824583,0.919181035,,,,
510,-0.109605669,-1.217856833,0.800052063,0.704273509,-0.743491857,0.117833462,0.120087296,0.923386935,,,,
511,-0.111113034,-1.218075339,0.802186028,0.70830541,-0.747597131,0.129218924,0.124156246,0.92601041,,,,
512,-0.113003487,-1.222580582,0.807167638,0.714857711,-0.754337138,0.141096898,0.12868425,0.931919547,,,,
513,-0.114404503,-1.221886702,0.808739553,0.718394642,-0.757870204,0.152404246,0.132684035,0.932209328,,,,
514,-0.116038944,-1.223812616,0.812063928,0.724462869,-0.753475925,0.164043931,0.135168494,0.930895021,,,,
515,-0.117665805,-1.223362284,0.815418497,0.733670987,-0.718650414,0.175715435,0.131900461,0.92960601,,,,
516,-0.119284971,-1.214854146,0.818802121,0.742915798,-0.683771028,0.187419083,0.128641343,0.928340725,,,,
517,-0.120693273,-1.206337003,0.822213678,0.752196565,-0.648835018,0.199155152,0.125390825,0.927097657,,,,
518,-0.121771506,-1.19780848,0.825652061,0.761512546,-0.613839801,0.207281879,0.122148645,0.925875341,,,,
519,-0.123305508,-1.193767262,0.837498423,0.773780462,-0.580973534,0.206646898,0.119364656,0.928171966,,,,
520,-0.123900225,-1.180707925,0.843203716,0.780247014,-0.543662433,0.204465246,0.115688527,0.923487286,,,,
521,-0.124950076,-1.172131293,0.85209914,0.78966388,-0.508476105,0.203074167,0.112470326,0.923178736,,,,
522,-0.125989778,-1.163534086,0.861025987,0.799112705,-0.473222226,0.201694356,0.109259932,0.926436929,,,,
523,-0.127018944,-1.154914099,0.869983265,0.805235131,-0.445336644,0.200325677,0.107863562,0.929716442,,,,
524,-0.128037143,-1.146269173,0.878969955,0.80630445,-0.428640961,0.198968024,0.109209675,0.933016087,,,,
525,-0.130944452,-1.140151374,0.887985006,0.807388968,-0.411904595,0.197621337,0.110571202,0.936334679,,,,
526,-0.137693614,-1.135031188,0.897027331,0.808487706,-0.395126574,0.196285565,0.111948251,0.939671038,,,,
527,-0.144439908,-1.129885711,0.904856386,0.809599678,-0.378306009,0.194705333,0.113340928,0.943023977,,,,
528,-0.151182765,-1.124712886,0.908056735,0.810723924,-0.361442083,0.193006143,0.114749365,0.946392306,,,,
529,-0.157921536,-1.119510657,0.911271222,0.811859472,-0.344534082,0.191317278,0.116173687,0.949373342,,,,
530,-0.164655524,-1.114276963,0.914498691,0.813005365,-0.327581351,0.189638815,0.117614048,0.947277163,,,,
531,-0.171383941,-1.10900972,0.917737972,0.814160625,-0.310583337,0.187970843,0.119070591,0.945183894,,,,
532,-0.178105943,-1.103706829,0.92098785,0.811877796,-0.324168275,0.186313497,0.118505573,0.943092428,,,,
533,-0.186762978,-1.098366134,0.924247093,0.806859547,-0.362082338,0.184666941,0.116335245,0.941001645,,,,
534,-0.200560174,-1.094015962,0.927514421,0.801838234,-0.4000338,0.183031377,0.114176063,0.938910421,,,,
535,-0.214358483,-1.093750303,0.930788501,0.796813088,-0.438019881,0.181235383,0.112028411,0.936817632,,,,
536,-0.228156299,-1.093447494,0.93168315,0.791783372,-0.476037411,0.176301449,0.109892728,0.934722118,,,,
537,-0.241951825,-1.093104728,0.929630262,0.786748339,-0.51408283,0.171374603,0.107769504,0.932622695,,,,
538,-0.255743058,-1.092718985,0.927572385,0.781707271,-0.552152116,0.166455429,0.105659307,0.927611088,,,,
539,-0.269527752,-1.092287029,0.925508264,0.776659439,-0.590240746,0.161544624,0.103562783,0.922440026,,,,
540,-0.283303399,-1.091805333,0.923436591,0.771604122,-0.628343661,0.156642982,0.101480673,0.917257425,,,,
541,-0.295981395,-1.091270079,0.921356022,0.76948776,-0.630275121,0.151751421,0.099336255,0.912062187,,,,
542,-0.304740048,-1.090677071,0.919265138,0.768530923,-0.617864995,0.146871015,0.097177308,0.906853207,,,,
543,-0.313474721,-1.090021727,0.917162465,0.767568907,-0.605395899,0.142002986,0.095035579,0.901629359,,,,
544,-0.322099283,-1.088259877,0.914811485,0.766403707,-0.592713472,0.136086659,0.092888492,0.896159297,,,,
545,-0.330600056,-1.085787536,0.917064338,0.765027529,-0.579819516,0.128844427,0.090738272,0.890437344,,,,
546,-0.339062052,-1.083255595,0.921560689,0.7636566,-0.566882477,0.121627156,0.088613414,0.877383707,,,,
547,-0.347481467,-1.080659008,0.926055741,0.76229074,-0.553899818,0.114437154,0.086515849,0.862824107,,,,
548,-0.355854015,-1.077992251,0.930548361,0.760929936,-0.540868767,0.107277082,0.084447822,0.848269585,,,,
549,-0.364654034,-1.075249299,0.935037486,0.759574372,-0.527786293,0.100149999,0.0824119,0.833721475,,,,
550,-0.375887634,-1.072423597,0.939522201,0.755663748,-0.530250451,0.093059416,0.073392781,0.819181545,,,,
551,-0.387056614,-1.069508016,0.944001782,0.751398952,-0.534852979,0.086009341,0.063423902,0.804652034,,,,
552,-0.39815394,-1.066494862,0.948475759,0.747143753,-0.539380411,0.079004363,0.053503074,0.790135775,,,,
553,-0.409171835,-1.064667841,0.952944031,0.742900212,-0.543825434,0.070212192,0.043636049,0.775636252,,,,
554,-0.420101749,-1.068966724,0.945404064,0.738671025,-0.548180034,0.061095221,0.033829339,0.762156436,,,,
555,-0.430934306,-1.073133662,0.936843697,0.734459602,-0.552435512,0.052043489,0.024090243,0.749114822,,,,
556,-0.44165931,-1.07715717,0.928296529,0.73027024,-0.556582436,0.043064923,0.014426949,0.7361039,,,,
557,-0.452253302,-1.081025178,0.919768003,0.72610823,-0.56061068,0.034168389,0.00484856,0.723130745,,,,
558,-0.462610921,-1.084725112,0.911264875,0.72219572,-0.564751777,0.025363743,-0.004283666,0.710203734,,,,
559,-0.472825585,-1.088244015,0.90279542,0.724196556,-0.575350986,0.016661872,-0.003748811,0.697332711,,,,
560,-0.482883905,-1.091568719,0.89436965,0.726237749,-0.585785023,0.008074768,-0.003113071,0.68452915,,,,
561,-0.492771815,-1.094686009,0.885999551,0.728329024,-0.596039622,0.000757604,-0.002365494,0.671806328,,,,
562,-0.502474714,-1.097582872,0.877776329,0.730482087,-0.606100074,-0.002266983,-0.001494031,0.658700314,,,,
563,-0.511977589,-1.095430473,0.870049723,0.732710909,-0.615951437,-0.005145984,-0.000485451,0.645369688,,,,
564,-0.5212652,-1.090534974,0.862427831,0.73503202,-0.625578723,-0.00786407,0.000674703,0.632174038,,,,
565,-0.530427446,-1.085402859,0.854932856,0.737464774,-0.634967147,-0.0104047,0.002002169,0.619135553,,,,
566,-0.541409145,-1.080026163,0.847590147,0.740031643,-0.644102405,-0.012750142,0.003514005,0.60627889,,,,
567,-0.552124723,-1.074398391,0.84042839,0.742072589,-0.651734248,-0.014881491,0.004719376,0.593631186,,,,
568,-0.562560117,-1.068514718,0.833479751,0.741471797,-0.653982197,-0.016778707,0.004045353,0.581222057,,,,
569,-0.57270245,-1.062372192,0.826779915,0.741103925,-0.655958235,-0.018420668,0.003622577,0.56908354,,,,
570,-0.582540295,-1.05596984,0.820368092,0.741006211,-0.657652945,-0.018303611,0.003473562,0.561030199,,,,
571,-0.592063973,-1.049308718,0.816083453,0.741219544,-0.659058225,-0.016918087,0.003621934,0.557678266,,,,
572,-0.600825971,-1.043042513,0.814325176,0.741245789,-0.659684498,-0.015203809,0.004089327,0.554277699,,,,
573,-0.60897533,-1.04452487,0.812618246,0.741342551,-0.659713351,-0.013143841,0.004900903,0.551033246,,,,
574,-0.606439778,-1.045622192,0.811291224,0.741810549,-0.659365643,-0.01071981,0.006082655,0.548177176,,,,
575,-0.603454269,-1.046350785,0.810400571,0.742703633,-0.658642442,-0.007907215,0.007659646,0.545755537,,,,
576,-0.600103145,-1.046730911,0.810005317,0.741794607,-0.651828727,-0.004681303,0.006612184,0.543815768,,,,
577,-0.596388578,-1.046786218,0.810166202,0.737277112,-0.634260724,-0.001017219,0.000479163,0.542406022,,,,
578,-0.592313829,-1.046542908,0.81094468,0.733384536,-0.616397961,0.003109826,-0.005149004,0.539846764,,,,
579,-0.587882831,-1.046028825,0.812401755,0.730171426,-0.598237342,-0.00474364,-0.010253986,0.534593266,,,,
580,-0.58309967,-1.045272383,0.81545905,0.727689834,-0.579773413,-0.01215548,-0.014819801,0.530025649,,,,
581,-0.57796813,-1.044301465,0.819810843,0.725988132,-0.560997958,-0.019005973,-0.018832985,0.526181662,,,,
582,-0.586514906,-1.046479588,0.825006741,0.725109871,-0.54189979,-0.025287211,-0.022282809,0.523094543,,,,
583,-0.595671691,-1.050461172,0.831094673,0.725092631,-0.522464741,-0.030994601,-0.025161422,0.520792152,,,,
584,-0.604490341,-1.054299647,0.83811578,0.725967019,-0.502675878,-0.036126974,-0.027464066,0.519296237,,,,
585,-0.612990869,-1.058018818,0.846103269,0.727009349,-0.481660917,-0.040686675,-0.02655018,0.51862176,,,,
586,-0.621193105,-1.061638669,0.855081367,0.728270434,-0.459440963,-0.044679671,-0.022551619,0.517298379,,,,
587,-0.629116484,-1.065175242,0.865064461,0.730460597,-0.436800642,-0.043657043,-0.017968383,0.511538115,,,,
588,-0.636528818,-1.068219165,0.875710927,0.733283661,-0.413553084,-0.034752391,-0.012797749,0.506373991,,,,
589,-0.644202339,-1.072043782,0.880084262,0.737591148,-0.390165671,-0.025294399,-0.007061516,0.502379771,,,,
590,-0.64584228,-1.07539029,0.883843135,0.742488679,-0.366129323,-0.015247844,-0.000755862,0.498922443,,,,
591,-0.645079594,-1.076442355,0.886577109,0.746613193,-0.340853553,-0.004627513,0.006084642,0.495088803,,,,
592,-0.646879644,-1.082800967,0.893995272,0.75477003,-0.31654193,0.006519946,0.013477917,0.49404704,,,,
593,-0.647065457,-1.08678636,0.900279201,0.762055939,-0.290975431,0.018202249,0.021357477,0.49252665,,,,
594,-0.64704962,-1.0907327,0.907281592,0.768346182,-0.287635947,0.03038124,0.028273866,0.491895333,,,,
595,-0.646850466,-1.094644297,0.914928446,0.774417087,-0.295112711,0.04302305,0.034907791,0.49504039,,,,
596,-0.644376101,-1.094936657,0.9201228,0.77845556,-0.301433525,0.051861685,0.041771702,0.496989433,,,,
597,-0.645989508,-1.102389194,0.931980854,0.788040104,-0.309607714,0.060143554,0.049228412,0.502561765,,,,
598,-0.645789403,-1.102933372,0.939669727,0.793051903,-0.315768431,0.068326928,0.056645518,0.505280486,,,,
599,-0.649913367,-1.110094994,0.953312333,0.803093873,-0.323791331,0.077142089,0.064615208,0.511246773,,,,
600,-0.652080017,-1.11396651,0.964365014,0.810946087,-0.330882407,0.085917714,0.072571444,0.515839814,,,,
601,-0.654259595,-1.111429632,0.975556083,0.818901982,-0.338035295,0.094800809,0.080626469,0.520500069,,,,
602,-0.656486446,-1.104560811,0.986797355,0.82687825,-0.345295944,0.10373302,0.088722294,0.525153952,,,,
603,-0.658417876,-1.097024296,0.997431629,0.829415694,-0.359672602,0.112591892,0.095359083,0.534088949,,,,
604,-0.661219604,-1.090727386,1.009090897,0.831718894,-0.376186877,0.121077941,0.101735959,0.543654658,,,,
605,-0.663793002,-1.08380754,1.019982612,0.833275791,-0.39281761,0.12698753,0.10791408,0.552751247,,,,
606,-0.669441741,-1.076916773,1.030721753,0.834494414,-0.409805773,0.132696611,0.113896934,0.561622587,,,,
607,-0.676215926,-1.070078407,1.04135038,0.835313325,-0.427182073,0.138157082,0.119636723,0.570210824,,,,
608,-0.683261378,-1.063314981,1.051582292,0.835677062,-0.444972764,0.143324717,0.125089485,0.578462776,,,,
609,-0.690599993,-1.056647633,1.061360877,0.835536348,-0.463199396,0.148159538,0.130215408,0.586330233,,,,
610,-0.698250049,-1.050796264,1.070635524,0.83484812,-0.481878691,0.152626029,0.134979102,0.593770154,,,,
