time,Fx,Tx,Fy
604,-6.45184,-0.421918,-8.82759
605,-6.39797,-0.457306,-9.52969
606,-6.34944,-0.490085,-10.1778
607,-6.30876,-0.520061,-10.7684
608,-6.27998,-0.547247,-11.3022
609,-6.27114,-0.571641,-11.7795
610,-6.294,-0.593223,-12.2004
611,-6.35991,-0.612145,-12.5683
612,-6.47551,-0.628896,-12.8928
613,-6.64146,-0.644307,-13.1904
614,-6.85447,-0.659395,-13.4806
615,-7.11051,-0.675146,-13.7825
616,-7.40662,-0.692318,-14.1106
617,-7.74062,-0.711308,-14.4723
618,-8.10985,-0.732178,-14.8686
619,-8.51068,-0.75475,-15.2959
620,-8.9402,-0.778644,-15.7467
621,-9.39884,-0.803246,-16.2093
622,-9.88951,-0.827815,-16.6696
623,-10.4121,-0.851767,-17.1166
624,-10.9594,-0.874894,-17.5462
625,-11.5177,-0.897336,-17.9608
626,-12.0705,-0.919463,-18.3672
627,-12.6005,-0.941834,-18.7755
628,-13.0902,-0.965081,-19.197
629,-13.5226,-0.989636,-19.6396
630,-13.8846,-1.01552,-20.1037
631,-14.1728,-1.0423,-20.5814
632,-14.3956,-1.06915,-21.0582
633,-14.572,-1.09492,-21.5139
634,-14.7263,-1.11843,-21.9279
635,-14.8829,-1.13875,-22.2845
636,-15.0625,-1.15543,-22.576
637,-15.2814,-1.16858,-22.8048
638,-15.5525,-1.17878,-22.9813
639,-15.8834,-1.18688,-23.1207
640,-16.2761,-1.19379,-23.2392
641,-16.7278,-1.20024,-23.3493
642,-17.2306,-1.20657,-23.4571
643,-17.7729,-1.21269,-23.5615
644,-18.3439,-1.21819,-23.6552
645,-18.9383,-1.22238,-23.7264
646,-19.5571,-1.22446,-23.7619
647,-20.2041,-1.22388,-23.7518
648,-20.8818,-1.22054,-23.6946
649,-21.5899,-1.21483,-23.5969
650,-22.3248,-1.20748,-23.4711
651,-23.0808,-1.19933,-23.3316
652,-23.8508,-1.19116,-23.1914
653,-24.628,-1.18346,-23.0593
654,-25.406,-1.17656,-22.9408
655,-26.1783,-1.17054,-22.8372
656,-26.9404,-1.16502,-22.7421
657,-27.6904,-1.15923,-22.6418
658,-28.4262,-1.15236,-22.5225
659,-29.1429,-1.14393,-22.3756
660,-29.8334,-1.13382,-22.1992
661,-30.4912,-1.12226,-21.9971
662,-31.1111,-1.10966,-21.7764
663,-31.6898,-1.09651,-21.5453
664,-32.2245,-1.08319,-21.3108
665,-32.7133,-1.06994,-21.077
666,-33.155,-1.05687,-20.8456
667,-33.5505,-1.04397,-20.6165
668,-33.9033,-1.03102,-20.3858
669,-34.2199,-1.01756,-20.1451
670,-34.5071,-1.00311,-19.8859
671,-34.7705,-0.987398,-19.6029
672,-35.0131,-0.970214,-19.2925
673,-35.2355,-0.951401,-18.9513
674,-35.4377,-0.930861,-18.5772
675,-35.6222,-0.908467,-18.1674
676,-35.7949,-0.883986,-17.7169
677,-35.964,-0.857088,-17.2189
678,-36.1387,-0.827343,-16.6645
679,-36.3268,-0.794259,-16.0435
680,-36.5326,-0.757421,-15.3471
681,-36.755,-0.716613,-14.5701
682,-36.9874,-0.671921,-13.7132
683,-37.2198,-0.623753,-12.7834
684,-37.4425,-0.57277,-11.7927
685,-37.6479,-0.519808,-10.7569
686,-37.8314,-0.465756,-9.69318
687,-37.9912,-0.411347,-8.61599
688,-38.1281,-0.356977,-7.53344
689,-38.2442,-0.302721,-6.4475
690,-38.3408,-0.248558,-5.35849
691,-38.418,-0.194581,-4.2691
692,-38.4755,-0.140994,-3.18433
693,-38.5135,-0.087977,-2.10869
694,-38.5323,-0.035597,-1.04443
695,-38.531,0.0161657,0.00805494
696,-38.5087,0.0673163,1.0481
697,-38.4655,0.117749,2.0729
698,-38.4024,0.167229,3.07708
699,-38.3208,0.215449,4.05398
700,-38.2213,0.262113,4.99722
701,-38.1023,0.30697,5.90148
702,-37.96,0.349824,6.76276
703,-37.7881,0.390542,7.57839
704,-37.5793,0.429011,8.34624
705,-37.3271,0.465067,9.06333
706,-37.0251,0.498501,9.72578
707,-36.6684,0.529157,10.3309
708,-36.2556,0.557062,10.8797
709,-35.7903,0.582423,11.3765
710,-35.279,0.605498,11.827
711,-34.7278,0.626406,12.2339
712,-34.1393,0.64496,12.594
713,-33.5122,0.660674,12.8984
714,-32.8435,0.67298,13.1364
715,-32.1308,0.681464,13.3002
716,-31.372,0.685902,13.3857
717,-30.564,0.686174,13.3907
718,-29.7026,0.682244,13.3145
719,-28.7843,0.67429,13.1606
720,-27.8094,0.662857,12.9393
721,-26.7845,0.648816,12.6673
722,-25.7231,0.633142,12.3633
723,-24.6423,0.61665,12.0429
724,-23.557,0.599799,11.7149
725,-22.475,0.582629,11.3799
726,-21.3995,0.564918,11.0335
727,-20.338,0.546551,10.6734
728,-19.3041,0.527615,10.3011
729,-18.3097,0.50809,9.91617
730,-17.3573,0.487629,9.5116
731,-16.4413,0.465726,9.0773
732,-15.5572,0.442055,8.60672
733,-14.7078,0.416715,8.1018
734,-13.9043,0.390204,7.57243
735,-13.1619,0.363186,7.03184
736,-12.4944,0.336288,6.49259
