time,route1,route2,route3,route4,route5
68,-8.34900230181807,-6.62504195848982,-5.81278578428002,-6.59357446191233,-7.26725628736619
69,-8.26406641477049,-6.5592049953196,-5.73525159221375,-6.5091127514529,-7.1684307881732
70,-8.17888246174467,-6.4940123749838,-5.65799420062681,-6.42492756093237,-7.07052470320455
71,-8.09346520408603,-6.42935389251603,-5.58099419754098,-6.34100324123006,-6.97355833280434
72,-8.00782862164874,-6.36511739031688,-5.50423133192003,-6.25732363899868,-6.87754770075937
73,-7.92198593128303,-6.30118944994509,-5.42768457899555,-6.17387215183578,-6.78250454819499
74,-7.83594960624955,-6.23745608749758,-5.3513322069639,-6.09063178401601,-6.68843634403246
75,-7.74973139652545,-6.17380344836532,-5.27515184493594,-6.00758520268991,-6.59534631195848
76,-7.66334234996503,-6.11011849716332,-5.19912055201941,-5.9247147944548,-6.50323347379491
77,-7.57679283427848,-6.04628969867082,-5.12321488741193,-5.84200272220235,-6.41209270909269
78,-7.49009255978901,-5.98220768568177,-5.04741098138098,-5.75943098214703,-6.32191483071245
79,-7.40325060293125,-5.91776590975499,-4.97168460700529,-5.67698146093975,-6.23268667609211
80,-7.3162754304491,-5.85286127096852,-4.89601125255131,-5.59463599277074,-6.14439121384195
81,-7.22917492425458,-5.78739472292146,-4.8203661943571,-5.51237641636537,-6.05700766524825
82,-7.14195640690497,-5.72127184938958,-4.74472457009507,-5.430184631778,-5.97051164020978
83,-7.05462666765774,-5.65440340922541,-4.66906145228462,-5.34804265688786,-5.88487528707541
84,-6.96719198906055,-5.58670584630056,-4.59335192192486,-5.26593268350271,-5.80006745579792
85,-6.87965817403418,-5.51810176151376,-4.51757114211807,-5.18383713297631,-5.71605387376794
86,-6.79203057340493,-5.44852034413278,-4.44169443155367,-5.10173871124627,-5.632797333643
87,-6.70431411384361,-5.37789776000042,-4.36569733772372,-5.01962046320044,-5.55025789244062
88,-6.6165133261668,-5.30617749441112,-4.28955570974052,-4.93746582628085,-5.46839308112122
89,-6.52863237395781,-5.23331064775551,-4.21324577062809,-4.85525868323541,-5.38715812384602
90,-6.44067508246147,-5.15925618233168,-4.13674418896003,-4.77298341392934,-5.3065061660581
91,-6.35264496770998,-5.08398111903409,-4.06002814971738,-4.69062494612977,-5.22638851050084
92,-6.26454526583517,-5.00746068295,-3.98307542424136,-4.60816880517837,-5.14675486025737
