time,route1,route2,route3,route4,route5,route6,route7,route8,route9
241,-5.19724805515292,-3.82554314975959,-3.02904389717085,-3.6014896997027,-4.20460563704913,-3.78606764903791,-5.64557542079312,-3.77426093919013,-3.70925401499971
242,-5.15912545538745,-3.79108212803819,-2.99401671076957,-3.56514197282981,-4.17105467939861,-3.7466009893654,-5.60456860993209,-3.73923445495499,-3.66444123966735
243,-5.12099576835371,-3.75660539639663,-2.95890712856513,-3.52875507171318,-4.13746297275516,-3.70713688310181,-5.56350529923541,-3.70425456866901,-3.61972226073084
244,-5.08285918582995,-3.72211231438784,-2.92371458276142,-3.49232888047156,-4.10382694034447,-3.66767590185993,-5.5223855922571,-3.66932091760111,-3.57509814132182
245,-5.04471590470939,-3.68760226983128,-2.88843855471786,-3.45586332256509,-4.07014308016214,-3.62821863569733,-5.48120961591371,-3.63443314835865,-3.53056993613818
246,-5.00656612738859,-3.6530746793538,-2.8530785755519,-3.419358361132,-4.03640796824114,-3.58876569336035,-5.43997752075732,-3.59959091723815,-3.48613869163961
247,-4.96841006215306,-3.61852898891927,-2.81763422672542,-3.38281399931176,-4.00261826186286,-3.54931770252036,-5.39868948124097,-3.56479389057177,-3.44180544624221
248,-4.93024792355928,-3.58396467434675,-2.78210514061455,-3.34623028055449,-3.96877070270905,-3.50987531000268,-5.35734569597698,-3.5300417450691,-3.39757123051218
249,-4.89207993281352,-3.54938124181745,-2.74649100106283,-3.309607288917,-3.93486211995269,-3.47043918200838,-5.31594638798763,-3.49533416815443,-3.35343706735837
250,-4.85390631814725,-3.51477822836977,-2.71079154391766,-3.27294514934496,-3.90088943328536,-3.43101000432891,-5.27449180494864,-3.46067085829928,-3.30940397222388
251,-4.81572731518894,-3.48015520238288,-2.67500655754952,-3.23624402794117,-3.86684965587904,-3.39158848255254,-5.23298221942511,-3.42605152535021,-3.26547295327641
252,-4.77754316733208,-3.44551176404837,-2.63913588335418,-3.19950413222007,-3.83273989728028,-3.35217534226405,-5.19141792909999,-3.39147589085187,-3.22164501159745
253,-4.73935412609984,-3.41084754582985,-2.60317941623737,-3.16272571134818,-3.79855736623446,-3.31277132923633,-5.14979925699494,-3.35694368836507,-3.17792114137016
254,-4.70116045150547,-3.37616221291057,-2.56713710508205,-3.12590905637046,-3.76429937343836,-3.27337720961455,-5.10812655168382,-3.32245466378002,-3.13430233006605
255,-4.66296241240903,-3.34145546362888,-2.53100895319787,-3.08905450042263,-3.72996333421885,-3.23399377009251,-5.06640018749837,-3.28800857562451,-3.09078955863016
256,-4.62476028687011,-3.30672702990123,-2.49479501875285,-3.05216241892921,-3.69554677113597,-3.19462181808115,-5.02462056472652,-3.25360519536703,-3.04738380166495
257,-4.58655436249618,-3.27197667763292,-2.45849541518701,-3.0152332297872,-3.66104731650838,-3.15526218186953,-4.98278810980286,-3.21924430771482,-3.00408602761264
258,-4.54834493678715,-3.23720420711634,-2.42211031160784,-2.97826739353582,-3.62646271485941,-3.11591571077766,-4.94090327549165,-3.18492571090664,-2.96089719893607
259,-4.51013231747522,-3.20240945341644,-2.38563993316755,-2.94126541351141,-3.59179082528202,-3.07658327530145,-4.89896654106179,-3.15064921700044,-2.91781827229792
260,-4.4719168228606,-3.16759228674375,-2.34908456142181,-2.90422783598816,-3.55702962372085,-3.03726576724969,-4.85697841245466,-3.11641465215559,-2.87485019873847
261,-4.43369878214281,-3.1327526128144,-2.31244453467,-2.86715525030447,-3.52217720516989,-2.99796409987327,-4.81493942244363,-3.08222185690985,-2.83199392385154
262,-4.39547853574712,-3.09789037319734,-2.27572024827677,-2.83004828897454,-3.48723178578391,-2.95867920798585,-4.77285013078628,-3.04807068645099,-2.78925038795875
263,-4.3572564356468,-3.06300554564875,-2.23891215497484,-2.79290762778567,-3.45219170490253,-2.91941204807689,-4.73071112436854,-3.01396101088279,-2.74662052628207
264,-4.31903284568024,-3.02809814443312,-2.20202076514886,-2.75573398588081,-3.41705542698505,-2.8801635984163,-4.68852301734135,-2.97989271548568,-2.70410526911448
265,-4.28080814186348,-2.99316822063147,-2.16504664710032,-2.71852812582667,-3.38182154345498,-2.84093485915095,-4.64628645124919,-2.94586570097174,-2.66170554198885
266,-4.24258271269787,-2.95821586243634,-2.12799042729333,-2.68129085366717,-3.34648877445269,-2.80172685239313,-4.60400209515119,-2.91187988373421,-2.61942226584489
267,-4.20435695947272,-2.9232411954334,-2.09085279058124,-2.6440230189621,-3.31105597049513,-2.76254062230047,-4.5616706457341,-2.87793519609118,-2.57725635719413
268,-4.16613129656285,-2.88824438286988,-2.05363448041396,-2.60672551481135,-3.27552211404127,-2.72337723514803,-4.51929282741767,-2.84403158652374,-2.53520872828295
269,-4.12790615172118,-2.85322562590966,-2.01633629902597,-2.56939927786449,-3.23988632096218,-2.68423777939158,-4.476869392452,-2.81016901990836,-2.49328028725348
270,-4.08968196636603,-2.81818516387476,-1.97895910760484,-2.53204528831545,-3.20414784191467,-2.64512336572312,-4.43440112100729,-2.77634747774336,-2.45147193830261
271,-4.05145919586312,-2.78312327447354,-1.94150382644031,-2.49466456988272,-3.16830606361755,-2.60603512711757,-4.39188882125554,-2.74256695836973,-2.4097845818387
272,-4.01323830980239,-2.74804027401519,-1.90397143505383,-2.45725818977507,-3.13236051002949,-2.56697421887153,-4.34933332944453,-2.70882747718599,-2.36821911463621
273,-3.97501979226923,-2.7129365176108,-1.86636297230838,-2.41982725864215,-3.09631084342773,-2.52794181863332,-4.30673550996396,-2.67512906685717,-2.32677642998817
274,-3.93680414211033,-2.6778123993608,-1.82867953649878,-2.38237293051093,-3.06015686538672,-2.48893912642495,-4.26409625540358,-2.64147177751786,-2.2854574178563
275,-3.89859187319411,-2.64266835252854,-1.79092228542217,-2.34489640270733,-3.02389851765613,-2.44996736465541,-4.22141648660383,-2.60785567696928,-2.24426296501898
276,-3.86038351466521,-2.60750484970054,-1.75309243642885,-2.30739891576322,-2.98753588293747,-2.4110277781259,-4.1786971526983,-2.57428085087032,-2.20319395521683
277,-3.82217961119367,-2.5723224029327,-1.71519126645324,-2.26988175330896,-2.95106918555879,-2.37212163402619,-4.13593923114849,-2.54074740292254,-2.16225126929597
278,-3.78398072321816,-2.53712156388293,-1.67722011202514,-2.23234624195131,-2.91449879204691,-2.33325022192307,-4.09314372777077,-2.50725545504918,-2.12143578534892
279,-3.74578742718345,-2.50190292393001,-1.63918036926114,-2.19479375113704,-2.8778252115969,-2.2944148537401,-4.0503116767556,-2.47380514756793,-2.08074837885295
280,-3.70760031577205,-2.46666711427862,-1.60107349383618,-2.15722569300181,-2.84104909643825,-2.2556168637289,-4.00744414067866,-2.44039663935767,-2.04018992280619
281,-3.66941999812993,-2.43141480605066,-1.56290100093527,-2.11964352220486,-2.80417124209765,-2.21685760843233,-3.96454221050458,-2.40703010801898,-1.99976128786109
282,-3.63124710008622,-2.39614671036261,-1.52466446518546,-2.08204873574929,-2.76719258755797,-2.17813846663888,-3.9216070055825,-2.37370575002858,-1.95946334245542
283,-3.5930822643669,-2.36086357838935,-1.48636552056786,-2.04444287278797,-2.73011421531352,-2.13946083932895,-3.87863967363427,-2.34042378088737,-1.91929695294072
284,-3.55492615080245,-2.32556620141374,-1.44800586030992,-2.00682751441527,-2.69293735132129,-2.10082614961275,-3.83564139073442,-2.30718443526245,-1.87926298370808
285,-3.51677943652931,-2.29025541086297,-1.40958723675791,-1.96920428344457,-2.65566336484849,-2.06223584265953,-3.79261336128293,-2.27398796712269,-1.83936229731156
286,-3.47864281618515,-2.2549320783305,-1.37111146122958,-1.9315748441718,-2.61829376821614,-2.02369138561883,-3.74955681796978,-2.24083464986826,-1.79959575458862
287,-3.44051700209788,-2.2195971155847,-1.33258040384711,-1.8939409021246,-2.58083021643915,-1.98519426753319,-3.70647302173221,-2.20772477645353,-1.7599642147782
