time,x_degree,y_degree,z_degree
4.62,1.131595195,0,0
4.63,1.128730164,0,0
4.64,1.124398576,0,0
4.65,1.118601754,0,0
4.66,1.111341312,0,0
4.67,1.10261916,0,0
4.68,1.092437504,0,0
4.69,1.080798844,0,0
4.7,1.067705972,0,0
4.71,1.053161974,0,0
4.72,1.03717023,0,0
4.73,1.01973441,0,0
4.74,1.000858475,0,0
4.75,0.980546679,0,0
4.76,0.958803563,0,0
4.77,0.935633957,0,0
4.78,0.911042978,0,0
4.79,0.885036031,0,0
4.8,0.857618805,0,0
4.81,0.828797276,0,0
4.82,0.798577698,0,0
4.83,0.766966613,0,0
4.84,0.733970838,0,0
4.85,0.699597473,0,0
4.86,0.663853894,0,0
4.87,0.626747754,0,0
4.88,0.588286978,0,0
4.89,0.548479769,0,0
4.9,0.507334596,0,0
4.91,0.464860202,0,0
4.92,0.421065597,0,0
4.93,0.375960054,0,0
4.94,0.329553114,0,0
4.95,0.281854578,0,0
4.96,0.23287451,0,0
4.97,0.182623229,0,0
4.98,0.131111312,0,0
4.99,0.07834959,0,0
5,0.024349146,0,0
5.01,-0.030878688,0,0
5.02,-0.087322332,0,0
5.03,-0.144969961,0,0
5.04,-0.203809508,0,0
5.05,-0.263828665,0,0
5.06,-0.325014887,0,0
5.07,-0.387355392,0,0
5.08,-0.450837169,0,0
5.09,-0.515446974,0,0
5.1,-0.581171336,0,0
5.11,-0.64799656,0,0
5.12,-0.715908729,0,0
5.13,-0.784893708,0,0
5.14,-0.854937144,0,0
5.15,-0.926024472,0,0
5.16,-0.998140916,0,0
5.17,-1.071271494,0,0
5.18,-1.145401018,0,0
5.19,-1.220514099,0,0
5.2,-1.296595151,0,0
5.21,-1.373628392,0,0
5.22,-1.451597848,0,0
5.23,-1.530487358,0,0
5.24,-1.610280575,0,0
5.25,-1.690960968,0,0
5.26,-1.772511829,0,0
5.27,-1.854916276,0,0
5.28,-1.938157253,0,0
5.29,-2.022217536,0,0
5.3,-2.107079737,0,0
5.31,-2.192726305,0,0
5.32,-2.279139532,0,0
5.33,-2.366301556,0,0
5.34,-2.454194364,0,0
5.35,-2.542799795,0,0
5.36,-2.632099545,0,0
5.37,-2.722075172,0,0
5.38,-2.812708095,0,0
5.39,-2.903979604,0,0
5.4,-2.995870857,0,0
5.41,-3.08836289,0,0
5.42,-3.181436617,0,0
5.43,-3.275072835,0,0
5.44,-3.369252229,0,0
5.45,-3.463955373,0,0
5.46,-3.559162737,0,0
5.47,-3.654854689,0,0
5.48,-3.751011501,0,0
5.49,-3.847613349,0,0
5.5,-3.944640322,0,0
5.51,-4.042072422,0,0
5.52,-4.13988957,0,0
5.53,-4.238071611,0,0
5.54,-4.336598316,0,0
5.55,-4.435449386,0,0
5.56,-4.534604457,0,0
5.57,-4.634043106,0,0
5.58,-4.733744852,0,0
5.59,-4.833689159,0,0
5.6,-4.933855448,0,0
5.61,-5.034223089,0,0
5.62,-5.134771418,0,0
5.63,-5.23547973,0,0
5.64,-5.336327292,0,0
5.65,-5.43729334,0,0
5.66,-5.538357089,0,0
5.67,-5.639497733,0,0
5.68,-5.740694453,0,0
5.69,-5.841926418,0,0
5.7,-5.943172789,0,0
5.71,-6.044412727,0,0
5.72,-6.145625392,0,0
5.73,-6.246789953,0,0
5.74,-6.347885587,0,0
5.75,-6.448891486,0,0
5.76,-6.549786861,0,0
5.77,-6.650550945,0,0
5.78,-6.751162999,0,0
5.79,-6.851602314,0,0
5.8,-6.951848217,0,0
5.81,-7.051880074,0,0
5.82,-7.151677295,0,0
5.83,-7.251219338,0,0
5.84,-7.350485713,0,0
5.85,-7.449455986,0,0
5.86,-7.548109783,0,0
5.87,-7.646426795,0,0
5.88,-7.74438678,0,0
5.89,-7.84196957,0,0
5.9,-7.939155073,0,0
5.91,-8.035923279,0,0
5.92,-8.13225426,0,0
5.93,-8.228128179,0,0
5.94,-8.32352529,0,0
5.95,-8.418425947,0,0
5.96,-8.5128106,0,0
5.97,-8.606659807,0,0
5.98,-8.699954234,0,0
5.99,-8.792674659,0,0
6,-8.884801976,0,0
6.01,-8.976317201,0,0
6.02,-9.06720147,0,0
6.03,-9.157436052,0,0
6.04,-9.247002345,0,0
6.05,-9.335881882,0,0
6.06,-9.424056335,0,0
6.07,-9.51150752,0,0
6.08,-9.5982174,0,0
6.09,-9.684168087,0,0
6.1,-9.769341846,0,0
6.11,-9.8537211,0,0
6.12,-9.937288434,0,0
6.13,-10.0200266,0,0
6.14,-10.1019185,0,0
6.15,-10.18294724,0,0
6.16,-10.26309608,0,0
6.17,-10.34234845,0,0
6.18,-10.42068797,0,0
6.19,-10.49809846,0,0
6.2,-10.57456391,0,0
6.21,-10.65006851,0,0
6.22,-10.72459663,0,0
6.23,-10.79813285,0,0
6.24,-10.87066196,0,0
6.25,-10.94216893,0,0
6.26,-11.01263895,0,0
6.27,-11.08205744,0,0
6.28,-11.15040998,0,0
6.29,-11.21768242,0,0
6.3,-11.2838608,0,0
6.31,-11.34893139,0,0
6.32,-11.41288068,0,0
6.33,-11.47569539,0,0
6.34,-11.53736247,0,0
6.35,-11.59786909,0,0
6.36,-11.65720268,0,0
6.37,-11.71535088,0,0
6.38,-11.77230159,0,0
6.39,-11.82804294,0,0
6.4,-11.88256331,0,0
6.41,-11.93585133,0,0
6.42,-11.98789587,0,0
6.43,-12.03868607,0,0
6.44,-12.08821129,0,0
6.45,-12.13646118,0,0
6.46,-12.18342563,0,0
6.47,-12.2290948,0,0
6.48,-12.27345909,0,0
6.49,-12.31650921,0,0
6.5,-12.35823608,0,0
6.51,-12.39863092,0,0
6.52,-12.43768522,0,0
6.53,-12.47539074,0,0
6.54,-12.51173948,0,0
6.55,-12.54672377,0,0
6.56,-12.58033618,0,0
6.57,-12.61256956,0,0
6.58,-12.64341704,0,0
6.59,-12.67287204,0,0
6.6,-12.70092826,0,0
6.61,-12.72757968,0,0
6.62,-12.75282055,0,0
6.63,-12.77664542,0,0
6.64,-12.79904914,0,0
6.65,-12.82002682,0,0
6.66,-12.83957387,0,0
6.67,-12.85768598,0,0
6.68,-12.87435916,0,0
6.69,-12.88958969,0,0
6.7,-12.90337412,0,0
6.71,-12.91570934,0,0
6.72,-12.92659249,0,0
6.73,-12.93602102,0,0
6.74,-12.94399269,0,0
6.75,-12.95050554,0,0
6.76,-12.95555789,0,0
6.77,-12.95914839,0,0
6.78,-12.96127595,0,0
6.79,-12.9619398,0,0
6.8,-12.96113945,0,0
6.81,-12.95887473,0,0
6.82,-12.95514574,0,0
6.83,-12.94995288,0,0
6.84,-12.94329686,0,0
6.85,-12.93517868,0,0
6.86,-12.92559964,0,0
6.87,-12.91456131,0,0
6.88,-12.90206559,0,0
6.89,-12.88811465,0,0
6.9,-12.87271098,0,0
6.91,-12.85585732,0,0
6.92,-12.83755676,0,0
6.93,-12.81781263,0,0
6.94,-12.79662859,0,0
6.95,-12.77400857,0,0
6.96,-12.7499568,0,0
6.97,-12.72447778,0,0
6.98,-12.69757634,0,0
6.99,-12.66925756,0,0
7,-12.63952681,0,0
7.01,-12.60838977,0,0
7.02,-12.57585238,0,0
7.03,-12.54192088,0,0
7.04,-12.50660177,0,0
7.05,-12.46990186,0,0
7.06,-12.43182822,0,0
7.07,-12.39238819,0,0
7.08,-12.35158941,0,0
7.09,-12.30943978,0,0
7.1,-12.26594748,0,0
7.11,-12.22112095,0,0
7.12,-12.17496891,0,0
7.13,-12.12750035,0,0
7.14,-12.07872452,0,0
7.15,-12.02865093,0,0
7.16,-11.97728937,0,0
7.17,-11.92464986,0,0
7.18,-11.87074272,0,0
7.19,-11.81557849,0,0
7.2,-11.75916799,0,0
7.21,-11.70152226,0,0
7.22,-11.64265263,0,0
7.23,-11.58257065,0,0
7.24,-11.52128813,0,0
7.25,-11.4588171,0,0
7.26,-11.39516986,0,0
7.27,-11.33035893,0,0
7.28,-11.26439707,0,0
7.29,-11.19729727,0,0
7.3,-11.12907276,0,0
7.31,-11.05973698,0,0
7.32,-10.98930361,0,0
7.33,-10.91778655,0,0
7.34,-10.84519991,0,0
7.35,-10.77155803,0,0
7.36,-10.69687545,0,0
7.37,-10.62116693,0,0
7.38,-10.54444743,0,0
7.39,-10.46673213,0,0
7.4,-10.38803638,0,0
7.41,-10.30837577,0,0
7.42,-10.22776606,0,0
7.43,-10.14622319,0,0
7.44,-10.06376332,0,0
7.45,-9.980402782,0,0
7.46,-9.896158081,0,0
7.47,-9.811045912,0,0
7.48,-9.725083142,0,0
7.49,-9.638286811,0,0
7.5,-9.550674127,0,0
7.51,-9.462262464,0,0
7.52,-9.373069357,0,0
7.53,-9.283112499,0,0
7.54,-9.192409739,0,0
7.55,-9.100979077,0,0
7.56,-9.008838658,0,0
7.57,-8.916006773,0,0
7.58,-8.822501853,0,0
7.59,-8.728342464,0,0
7.6,-8.633547306,0,0
7.61,-8.538135207,0,0
7.62,-8.442125119,0,0
7.63,-8.345536118,0,0
7.64,-8.248387394,0,0
7.65,-8.150698254,0,0
7.66,-8.052488111,0,0
7.67,-7.953776485,0,0
7.68,-7.854582999,0,0
7.69,-7.754927373,0,0
7.7,-7.654829419,0,0
7.71,-7.55430904,0,0
7.72,-7.453386226,0,0
7.73,-7.352081048,0,0
7.74,-7.250413652,0,0
7.75,-7.148404262,0,0
7.76,-7.046073167,0,0
7.77,-6.943440725,0,0
7.78,-6.840527353,0,0
7.79,-6.737353527,0,0
7.8,-6.633939775,0,0
7.81,-6.530306672,0,0
7.82,-6.426474841,0,0
7.83,-6.322464945,0,0
7.84,-6.21829768,0,0
7.85,-6.113993779,0,0
7.86,-6.009574,0,0
7.87,-5.905059124,0,0
7.88,-5.800469956,0,0
7.89,-5.695827311,0,0
7.9,-5.591152019,0,0
7.91,-5.486464915,0,0
7.92,-5.381786839,0,0
7.93,-5.277138626,0,0
7.94,-5.17254111,0,0
7.95,-5.068015111,0,0
