Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
671,-20.32877147,-21.45444124,-22.89782272,-20.47775475,-24.6045048,-23.46784565,-21.74401241,-24.06217928,-18.16818198
672,-20.36343934,-21.41808488,-22.85717007,-20.45977678,-24.55020601,-23.42705706,-21.71844885,-23.9831991,-18.14447748
673,-20.39810721,-21.38172853,-22.81651742,-20.4417988,-24.49590721,-23.3864006,-21.69397838,-23.90421892,-18.1233982
674,-20.43693594,-21.34537217,-22.78054945,-20.42382082,-24.44160841,-23.34685626,-21.67870811,-23.83341882,-18.10326456
675,-20.47722202,-21.30901582,-22.74485175,-20.40584284,-24.3879978,-23.30731191,-21.66343784,-23.76393103,-18.08313093
676,-20.51750811,-21.27660541,-22.70915405,-20.39244595,-24.33638919,-23.26776757,-21.64816757,-23.69444324,-18.0629973
677,-20.55779419,-21.24609489,-22.67345636,-20.38125475,-24.28478058,-23.22822322,-21.6328973,-23.62495546,-18.04595125
678,-20.60361401,-21.21558438,-22.64017297,-20.37006356,-24.23317197,-23.19004424,-21.62507447,-23.55763704,-18.02974304
679,-20.64951832,-21.18507387,-22.61044324,-20.35887237,-24.18156336,-23.15249069,-21.62066306,-23.49655556,-18.01353483
680,-20.69542262,-21.15456336,-22.58071351,-20.34768118,-24.13179059,-23.11493714,-21.61625165,-23.43547407,-17.99732663
681,-20.7427008,-21.12816416,-22.55098378,-20.34137728,-24.08319499,-23.07738358,-21.61184024,-23.37439259,-17.98474725
682,-20.7945961,-21.1036997,-22.52125405,-20.33737327,-24.0345994,-23.04066486,-21.61035375,-23.31331111,-17.97286967
683,-20.84649139,-21.07923524,-22.49745826,-20.33336927,-23.9860038,-23.00625586,-21.61695956,-23.25662182,-17.96099209
684,-20.89838669,-21.05477077,-22.4745994,-20.32936527,-23.93740821,-22.97184685,-21.62356537,-23.20225235,-17.94911451
685,-20.95372523,-21.03030631,-22.45174054,-20.32536126,-23.89214865,-22.93743784,-21.63017117,-23.14788288,-17.94167387
686,-21.01288959,-21.01006567,-22.42888168,-20.32626677,-23.84701802,-22.90302883,-21.63677698,-23.09351341,-17.93478539
687,-21.07205395,-20.99176737,-22.4083966,-20.32942993,-23.80188739,-22.87230981,-21.65246436,-23.03938949,-17.9278969
688,-21.13121832,-20.97346907,-22.39289309,-20.33259309,-23.75675676,-22.84226697,-21.66981592,-22.98986396,-17.92100841
689,-21.1965008,-20.95517077,-22.37738959,-20.33575626,-23.71283093,-22.81222412,-21.68716747,-22.94033844,-17.91993293
690,-21.26418569,-20.93687247,-22.36188609,-20.33891942,-23.67150961,-22.78218128,-21.70451902,-22.89081291,-17.91922382
691,-21.33187057,-20.92306366,-22.34638258,-20.34682072,-23.63018829,-22.7543967,-21.72619489,-22.84128739,-17.91851471
692,-21.39955546,-20.91127187,-22.3366985,-20.35685075,-23.58886697,-22.72967017,-21.75372663,-22.79323774,-17.91780561
693,-21.4756968,-20.89948008,-22.32863844,-20.36688078,-23.54754565,-22.70494364,-21.78125836,-22.74701391,-17.92443303
694,-21.55216847,-20.88768829,-22.32057838,-20.37691081,-23.50907838,-22.68021712,-21.80879009,-22.70079009,-17.93111892
695,-21.62864014,-20.8758965,-22.31251832,-20.38694084,-23.47201832,-22.65551592,-21.83636346,-22.65456627,-17.9378048
696,-21.70676897,-20.86886326,-22.30616126,-20.40133984,-23.43495826,-22.63651291,-21.87330621,-22.60834244,-17.94485405
697,-21.79125526,-20.86391832,-22.30517027,-20.41765616,-23.3978982,-22.61750991,-21.91024895,-22.56398709,-17.9598973
698,-21.87574154,-20.85897337,-22.30417928,-20.43397247,-23.36094825,-22.59850691,-21.94719169,-22.51997888,-17.97494054
699,-21.96022783,-20.85402843,-22.30318829,-20.45028879,-23.32862292,-22.5795039,-21.98413443,-22.47597067,-17.98998378
700,-22.04762102,-20.84908348,-22.3021973,-20.46660511,-23.2962976,-22.5638967,-22.02596607,-22.43196246,-18.00587748
701,-22.13855095,-20.8491976,-22.30576927,-20.48685936,-23.26397227,-22.55070771,-22.07127918,-22.38837588,-18.02988589
702,-22.22948088,-20.85147988,-22.3112968,-20.5088013,-23.23164695,-22.53751872,-22.11659229,-22.34612713,-18.05389429
703,-22.32041081,-20.85376216,-22.31682432,-20.53074324,-23.20124324,-22.52432973,-22.16190541,-22.30387838,-18.0779027
704,-22.41435926,-20.85604444,-22.32235185,-20.55268519,-23.17401852,-22.51209259,-22.20834815,-22.26162963,-18.10322963
705,-22.50962933,-20.85832673,-22.32882883,-20.57462713,-23.14679379,-22.50471762,-22.26056116,-22.21938088,-18.13625385
706,-22.6048994,-20.86587357,-22.34032432,-20.60012583,-23.11956907,-22.49734264,-22.31277417,-22.17829249,-18.16927808
707,-22.70016947,-20.87562332,-22.35181982,-20.62711281,-23.09234434,-22.48996767,-22.36498719,-22.13786837,-18.2023023
708,-22.79724134,-20.88537307,-22.36331532,-20.6540998,-23.0690957,-22.48259269,-22.4172002,-22.09744424,-18.23706326
709,-22.89442853,-20.89512282,-22.37481081,-20.68108679,-23.04731592,-22.47960691,-22.47328108,-22.05702012,-18.27887538
710,-22.99161572,-20.90487257,-22.38965526,-20.70807377,-23.02553614,-22.47813644,-22.5306973,-22.01667097,-18.32068749
711,-23.08874895,-20.91995265,-22.40656817,-20.73835846,-23.00375636,-22.47666597,-22.58811351,-21.97857107,-18.3624996
712,-23.18564324,-20.93720991,-22.42348108,-20.76999009,-22.98245225,-22.4751955,-22.64552973,-21.94047117,-18.40638018
713,-23.28253754,-20.95446717,-22.44039399,-20.80162172,-22.96635415,-22.47566877,-22.70402012,-21.90237127,-18.456499
714,-23.37943183,-20.97172442,-22.45768639,-20.83325335,-22.95025606,-22.48021592,-22.76476186,-21.86427137,-18.50661782
715,-23.47541321,-20.98898168,-22.47951021,-20.86488498,-22.93415796,-22.48476306,-22.8255036,-21.82745616,-18.55673664
716,-23.57017738,-21.01163544,-22.50133403,-20.89968008,-22.91805986,-22.48931021,-22.88624535,-21.79235385,-18.60919099
717,-23.66494154,-21.03644024,-22.52315786,-20.93573614,-22.90447407,-22.49385736,-22.94698709,-21.75725155,-18.66708468
718,-23.75970571,-21.06124505,-22.54498168,-20.97179219,-22.89412222,-22.50418348,-23.00905616,-21.72214925,-18.72497838
719,-23.85235556,-21.08604985,-22.56915606,-21.00784825,-22.88377037,-22.51513283,-23.07126837,-21.68704695,-18.78287207
720,-23.94397778,-21.11085465,-22.59536226,-21.0439043,-22.87341852,-22.52608218,-23.13348058,-21.65484735,-18.8432959
721,-24.0356,-21.14115135,-22.62156847,-21.08318919,-22.86306667,-22.53703153,-23.19569279,-21.62326396,-18.90838198
722,-24.12722222,-21.17358378,-22.64777467,-21.12372973,-22.85708819,-22.55126507,-23.2576977,-21.59168058,-18.97346807
723,-24.21552272,-21.20601622,-22.67398088,-21.16427027,-22.85226737,-22.56902382,-23.31948008,-21.5600972,-19.03855415
724,-24.30352372,-21.23844865,-22.7041988,-21.20481081,-22.84744655,-22.58678258,-23.38126246,-21.52937868,-19.10624384
725,-24.39152472,-21.27088108,-22.73443504,-21.24535135,-22.84262573,-22.60454134,-23.44304484,-21.50170521,-19.17778789
726,-24.47888438,-21.30891612,-22.76467127,-21.28934635,-22.83851241,-22.62274995,-23.50468148,-21.47403173,-19.24933193
727,-24.56291802,-21.34907628,-22.79490751,-21.33465165,-22.8385985,-22.64777057,-23.56411111,-21.44635826,-19.32087598
728,-24.64695165,-21.38923644,-22.82685546,-21.37995696,-22.83868458,-22.67279119,-23.62354074,-21.41868478,-19.39501011
729,-24.73098529,-21.4293966,-22.86085746,-21.42526226,-22.83877067,-22.69781181,-23.68297037,-21.39361351,-19.47225235
730,-24.81333243,-21.46955676,-22.89485946,-21.47056757,-22.83885676,-22.72283243,-23.7424,-21.37015405,-19.54949459
731,-24.89321231,-21.51531431,-22.92886146,-21.51968729,-22.8410957,-22.7524977,-23.79937668,-21.34669459,-19.62673684
732,-24.97309219,-21.56314214,-22.96286346,-21.57021782,-22.84550761,-22.78475756,-23.85498308,-21.32323514,-19.70655445
733,-25.05297207,-21.61096997,-23.00028589,-21.62074835,-22.84991952,-22.81701742,-23.91058949,-21.29983934,-19.78888709
734,-25.13006386,-21.6587978,-23.03803163,-21.67127888,-22.85433143,-22.84927728,-23.9661959,-21.28098488,-19.87121972
735,-25.20565686,-21.70662563,-23.07577738,-21.72180941,-22.85874334,-22.88302362,-24.02081131,-21.26213043,-19.95355235
736,-25.28124985,-21.75995676,-23.11352312,-21.77635706,-22.86634264,-22.9220024,-24.07193844,-21.24327598,-20.03858078
737,-25.35684284,-21.81527207,-23.15271351,-21.83235305,-22.8744993,-22.96098118,-24.12306557,-21.22442152,-20.12575055
738,-25.42843343,-21.87058739,-23.19433514,-21.88834905,-22.88265596,-22.99995996,-24.17419269,-21.20772302,-20.21292032
739,-25.49955315,-21.9259027,-23.23595676,-21.94434505,-22.89081261,-23.03893874,-24.22531982,-21.19412523,-20.30009009
740,-25.57067287,-21.98121802,-23.27757838,-22.00034104,-22.899696,-23.08221151,-24.27298639,-21.18052743,-20.38998839
741,-25.64114815,-22.04167407,-23.3192,-22.06026296,-22.9114037,-23.12655185,-24.31979259,-21.16692963,-20.48164074
742,-25.70763483,-22.10393634,-23.36441201,-22.12156426,-22.92311141,-23.17089219,-24.3665988,-21.15333183,-20.57329309
743,-25.77412152,-22.1661986,-23.41034995,-22.18286557,-22.93481912,-23.21523253,-24.41340501,-21.1444988,-20.66494545
744,-25.84060821,-22.22846086,-23.45628789,-22.24416687,-22.94652683,-23.26095025,-24.45874775,-21.13680931,-20.75928919
745,-25.90523664,-22.29072312,-23.50222583,-22.30546817,-22.96034865,-23.30891021,-24.50170811,-21.12911982,-20.85501892
746,-25.96687728,-22.35737037,-23.54963083,-22.37018498,-22.97584414,-23.35687017,-24.54466847,-21.12143033,-20.95074865
747,-26.02851792,-22.42551852,-23.60061181,-22.43607087,-22.99133964,-23.40483013,-24.58762883,-21.11506216,-21.04647838
748,-26.09015856,-22.49366667,-23.65159279,-22.50195676,-23.00683514,-23.45279009,-24.63058919,-21.11388919,-21.14465856
749,-26.14877347,-22.56181481,-23.70257377,-22.56784264,-23.02233063,-23.50277017,-24.67042162,-21.11271622,-21.24383253
750,-26.20559469,-22.62996296,-23.75355475,-22.63372853,-23.04171081,-23.55283403,-24.71012432,-21.11154324,-21.34300651
751,-26.26241592,-22.70151952,-23.80883003,-22.70227207,-23.06146757,-23.6028979,-24.74982703,-21.11037027,-21.44218048
752,-26.31923714,-22.77421221,-23.86553674,-22.7717015,-23.08122432,-23.65296176,-24.78952973,-21.11324434,-21.5435955
753,-26.37215686,-22.8469049,-23.92224344,-22.84113093,-23.10098108,-23.70392933,-24.82784024,-21.11882683,-21.64570721
754,-26.4245048,-22.9195976,-23.97895015,-22.91056036,-23.12197598,-23.75566727,-24.86496396,-21.12440931,-21.74781892
755,-26.47685275,-22.99229029,-24.03694154,-22.97998979,-23.1464029,-23.80740521,-24.90208769,-21.12999179,-21.84993063
756,-26.52877868,-23.06750721,-24.09979239,-23.05117257,-23.17082983,-23.85914314,-24.93921141,-21.13557427,-21.95396006
757,-26.57750541,-23.14354324,-24.16264324,-23.12292432,-23.19525676,-23.91120811,-24.97611081,-21.14779459,-22.05842703
758,-26.62623213,-23.21957928,-24.22549409,-23.19467608,-23.21968368,-23.96568338,-25.01135686,-21.16004565,-22.16289399
759,-26.67495886,-23.29561532,-24.28834494,-23.26642783,-23.24721261,-24.02015866,-25.0466029,-21.1722967,-22.26736096
760,-26.72270541,-23.37165135,-24.35533063,-23.33817958,-23.27665405,-24.07463393,-25.08184895,-21.18454775,-22.37336246
761,-26.76871622,-23.44968058,-24.42436967,-23.41049429,-23.3060955,-24.12910921,-25.11709499,-21.19925776,-22.4796022
762,-26.81472703,-23.52833924,-24.49340871,-23.48298679,-23.33553694,-24.18671602,-25.1515028,-21.21778639,-22.58584194
763,-26.86073784,-23.6069979,-24.56244775,-23.55547928,-23.36497838,-24.24567057,-25.18554985,-21.23631502,-22.69208168
764,-26.90537878,-23.68565656,-24.63221552,-23.62797177,-23.39956637,-24.30462513,-25.2195969,-21.25484364,-22.79945936
765,-26.94912633,-23.76431522,-24.70698028,-23.70046426,-23.4343021,-24.36357968,-25.25364394,-21.27337227,-22.90694004
766,-26.99287387,-23.84465856,-24.78174505,-23.77214505,-23.46903784,-24.42418018,-25.28750811,-21.29633423,-23.01442072
767,-27.03662142,-23.92551942,-24.85650981,-23.84357648,-23.50377357,-24.48903924,-25.3208991,-21.32048879,-23.1219014
768,-27.07853654,-24.00638028,-24.93127457,-23.91500791,-23.54025405,-24.5538983,-25.35429009,-21.34464334,-23.23014234
769,-27.12012733,-24.08724114,-25.00903514,-23.98643934,-23.58034865,-24.61875736,-25.38768108,-21.3687979,-23.33840811
770,-27.16171812,-24.168102,-25.08890901,-24.05787077,-23.62044324,-24.68361642,-25.42107207,-21.39382132,-23.44667387
771,-27.20312372,-24.25021151,-25.16878288,-24.12719029,-23.66053784,-24.75362162,-25.45438539,-21.42268949,-23.55494915
772,-27.24274414,-24.33269399,-25.24865676,-24.19587898,-23.70063243,-24.82447568,-25.48768589,-21.45155766,-23.6636961
773,-27.28236456,-24.41517648,-25.32872583,-24.26456767,-23.74438068,-24.89532973,-25.52098639,-21.48042583,-23.77244304
774,-27.32198498,-24.49765896,-25.41289399,-24.33325636,-23.78985566,-24.96618378,-25.55428689,-21.50929399,-23.88118999
775,-27.36107387,-24.58014144,-25.49706216,-24.40194505,-23.83533063,-25.03901982,-25.58794414,-21.54038198,-23.98996216
776,-27.39912332,-24.66312042,-25.58123033,-24.46745305,-23.88080561,-25.1143984,-25.62205906,-21.57307317,-24.09906366
777,-27.43717277,-24.74624354,-25.6653985,-24.53203764,-23.92645786,-25.18977698,-25.65617397,-21.60576436,-24.20816517
778,-27.47522222,-24.82936667,-25.75117778,-24.59662222,-23.97737778,-25.26515556,-25.69028889,-21.63845556,-24.31726667
779,-27.51275966,-24.91248979,-25.83853914,-24.66120681,-24.0282977,-25.34056817,-25.72443744,-21.67114675,-24.42639299
780,-27.54993043,-24.99561291,-25.9259005,-24.72579139,-24.07921762,-25.41786967,-25.76045265,-21.70695746,-24.5356971
781,-27.5871012,-25.07834565,-26.01326186,-24.78655015,-24.13013754,-25.49517117,-25.79646787,-21.74284174,-24.6450012
782,-27.62427197,-25.16096827,-26.10062322,-24.84622983,-24.18316777,-25.57247267,-25.83248308,-21.77872603,-24.75430531
783,-27.66117848,-25.24359089,-26.1897035,-24.90590951,-24.23955415,-25.64977417,-25.8684983,-21.81461031,-24.8636006
784,-27.69802973,-25.32621351,-26.27884865,-24.96558919,-24.29594054,-25.72652162,-25.90636486,-21.85167838,-24.97285405
785,-27.73488098,-25.40883614,-26.36799379,-25.02526887,-24.35232693,-25.8028956,-25.94547938,-21.89073403,-25.08210751
786,-27.77173984,-25.49042152,-26.45713894,-25.08078388,-24.40871331,-25.87926957,-25.98459389,-21.92978969,-25.19136096
787,-27.8086976,-25.57172282,-26.54642372,-25.13515826,-24.46901502,-25.95564354,-26.02370841,-21.96884535,-25.30052883
788,-27.84565536,-25.65302412,-26.6358992,-25.18953263,-24.5306957,-26.03145295,-26.06357167,-22.007901,-25.4094024
789,-27.88261311,-25.73432543,-26.72537467,-25.24390701,-24.59237638,-26.10463714,-26.10691662,-22.05003253,-25.51827598
790,-27.91975586,-25.81562673,-26.81485015,-25.29828138,-24.65405706,-26.17782132,-26.15026156,-22.09308498,-25.62714955
791,-27.9572994,-25.89536226,-26.90432563,-25.34852783,-24.71619219,-26.25100551,-26.19360651,-22.13613744,-25.73574284
792,-27.99484294,-25.97468158,-26.99286897,-25.39767698,-24.78275826,-26.32418969,-26.23695145,-22.17918989,-25.8436034
793,-28.03238649,-26.0540009,-27.08128739,-25.44682613,-24.84932432,-26.39386486,-26.2841991,-22.22318288,-25.95146396
794,-28.07046697,-26.13332022,-27.16970581,-25.49597528,-24.91589039,-26.46241141,-26.332702,-22.2719047,-26.05932452
795,-28.10896907,-26.21263954,-27.25812422,-25.54512442,-24.98245646,-26.53095796,-26.3812049,-22.32062653,-26.1665952
796,-28.14747117,-26.28982613,-27.34576937,-25.590597,-25.05101171,-26.5995045,-26.42970781,-22.36934835,-26.27265766
797,-28.18597327,-26.36646276,-27.43191952,-25.63512152,-25.12203273,-26.66628609,-26.4801963,-22.41807017,-26.37872012
798,-28.22558929,-26.4430994,-27.51806967,-25.67964605,-25.19305375,-26.72958418,-26.5346037,-22.47104184,-26.48478258
799,-28.26547598,-26.51973604,-27.60421982,-25.72417057,-25.26407477,-26.79288228,-26.58901111,-22.52732282,-26.58971111
800,-28.30536266,-26.59637267,-27.69036997,-25.7686951,-25.3350958,-26.85618038,-26.64341852,-22.5836038,-26.69278519
801,-28.34532482,-26.67031862,-27.77387748,-25.81033674,-25.40926757,-26.91947848,-26.69782593,-22.63988478,-26.79585926
802,-28.38675586,-26.74359189,-27.85672432,-25.85125766,-25.48422703,-26.97801081,-26.75824234,-22.69616577,-26.89893333
803,-28.42818689,-26.81686517,-27.93957117,-25.89217858,-25.55918649,-27.03610571,-26.81921031,-22.76131642,-27.00032713
804,-28.46961792,-26.89013844,-28.02241802,-25.9330995,-25.63414595,-27.0942006,-26.88017828,-22.82685085,-27.0995011
805,-28.51154084,-26.96341171,-28.10420931,-25.97402042,-25.7096042,-27.1522955,-26.94114625,-22.89238529,-27.19867508
806,-28.55464935,-27.03378408,-28.18298208,-26.0131041,-25.78781341,-27.20823784,-27.00547758,-22.95791972,-27.29784905
807,-28.59775786,-27.10345375,-28.26175485,-26.05174274,-25.86602262,-27.26198919,-27.07323233,-23.02709219,-27.39495916
808,-28.64086637,-27.17312342,-28.34052763,-26.09038138,-25.94423183,-27.31574054,-27.14098709,-23.10287928,-27.48985315
809,-28.68486236,-27.24279309,-28.4193004,-26.12902002,-26.02244104,-27.36949189,-27.20874184,-23.17866637,-27.58474715
810,-28.72962172,-27.31246276,-28.49483093,-26.16765866,-26.10177407,-27.42304414,-27.27698498,-23.25445345,-27.67964114
811,-28.77438108,-27.37945676,-28.56908919,-26.20563243,-26.1822,-27.47414865,-27.35123243,-23.33024054,-27.77256216
