time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,,,,,,,,,,
62,-1.869833333,-1.958753353,-1.665349449,-1.628121722,-1.828471071,-1.856195796,-1.588846647,-1.699193493,-2.049548649,-1.943997497,,,,,,,,,,
63,-1.861666667,-1.987864064,-1.646271572,-1.659076176,-1.828460761,-1.852622222,-1.572535936,-1.716745846,-2.046918218,-1.922925325,,,,,,,,,,
64,-1.8535,-1.988917117,-1.627193694,-1.690030631,-1.82845045,-1.8598,-1.580174775,-1.734298198,-2.033076577,-1.901853153,,,,,,,,,,
65,-1.845333333,-1.968147548,-1.608115816,-1.720985085,-1.82844014,-1.866977778,-1.606441041,-1.751850551,-2.019234935,-1.880780981,,,,,,,,,,
66,-1.837166667,-1.947377978,-1.589037938,-1.75193954,-1.82842983,-1.874155556,-1.632707307,-1.769402903,-2.005393293,-1.859708809,,,,,,,,,,
67,-1.829,-1.926608408,-1.57103003,-1.782893994,-1.82841952,-1.881333333,-1.658973574,-1.786955255,-1.991551652,-1.838636637,,,,,,,,,,
68,-1.821707808,-1.905838839,-1.589757758,-1.813848448,-1.828409209,-1.888511111,-1.68523984,-1.804507608,-1.97771001,-1.817564464,,,,,,,,,,
69,-1.815727327,-1.885069269,-1.608485485,-1.844802903,-1.827311011,-1.895688889,-1.711506106,-1.817543443,-1.963868368,-1.835381181,,,,,,,,,,
70,-1.809746847,-1.8642997,-1.627213213,-1.875757357,-1.817114114,-1.902866667,-1.737772372,-1.818441141,-1.950026727,-1.860586787,,,,,,,,,,
71,-1.803766366,-1.84353013,-1.645940941,-1.883308609,-1.806917217,-1.910044444,-1.764038639,-1.819338839,-1.936185085,-1.885792392,,,,,,,,,,
72,-1.797785886,-1.856783383,-1.664668669,-1.86786016,-1.79672032,-1.908574174,-1.784071271,-1.820236537,-1.922343443,-1.910997998,,,,,,,,,,
73,-1.791805405,-1.88090991,-1.683396396,-1.852411712,-1.786523423,-1.906086486,-1.802111712,-1.821134234,-1.923208108,-1.936203604,,,,,,,,,,
74,-1.785824925,-1.905036436,-1.702124124,-1.836963263,-1.776326527,-1.903598799,-1.820152152,-1.822031932,-1.932242943,-1.961409209,,,,,,,,,,
75,-1.779844444,-1.929162963,-1.720851852,-1.821514815,-1.76612963,-1.901111111,-1.838192593,-1.82292963,-1.941277778,-1.986614815,,,,,,,,,,
76,-1.773863964,-1.953289489,-1.73957958,-1.806066366,-1.755932733,-1.898623423,-1.856233033,-1.823827327,-1.950312613,-2.01182042,,,,,,,,,,
77,-1.767883483,-1.977416016,-1.771613413,-1.790617918,-1.745735836,-1.896135736,-1.874273473,-1.824725025,-1.959347447,-2.012987688,,,,,,,,,,
78,-1.782392793,-2.001542543,-1.812379379,-1.775169469,-1.735538939,-1.893648048,-1.892313914,-1.83362973,-1.968382282,-1.98422042,,,,,,,,,,
79,-1.799545946,-2.025669069,-1.853145345,-1.759721021,-1.738450751,-1.89116036,-1.910354354,-1.844472973,-1.977417117,-1.955453153,,,,,,,,,,
80,-1.816699099,-2.011998799,-1.893911311,-1.752214114,-1.760401401,-1.886963964,-1.910284084,-1.855316216,-1.986451952,-1.926685886,,,,,,,,,,
81,-1.833852252,-1.99646967,-1.934677277,-1.746481381,-1.782352052,-1.87149009,-1.909323123,-1.866159459,-1.995486787,-1.897918619,,,,,,,,,,
