time,force_data,sigup,sigdown
19.9,0.505961547,0.600912863,0.411010232
20,0.502920133,0.599283262,0.406557004
20.1,0.499901973,0.597728793,0.402075153
20.2,0.496910699,0.596247826,0.397573571
20.3,0.493949989,0.594838427,0.393061551
20.4,0.491023531,0.593498343,0.388548718
20.5,0.488134975,0.592224979,0.384044971
20.6,0.485287893,0.591015361,0.379560425
20.7,0.482485728,0.589866099,0.375105356
20.8,0.479731748,0.588773335,0.370690162
20.9,0.477029005,0.587732686,0.366325325
21,0.474380283,0.586739175,0.362021391
21.1,0.471788062,0.585787169,0.357788956
21.2,0.469254477,0.5848703,0.353638654
21.3,0.466781281,0.583981402,0.349581159
21.4,0.464369817,0.583112457,0.345627176
21.5,0.462020994,0.582448594,0.341593393
21.6,0.459735263,0.581905409,0.337565116
21.7,0.457512606,0.581389532,0.333635679
21.8,0.455352526,0.580890254,0.329814798
21.9,0.453254048,0.580395871,0.326112224
22,0.451215715,0.579893912,0.322537519
22.1,0.449235606,0.579371488,0.319099724
22.2,0.447311342,0.578815782,0.315806903
22.3,0.445440109,0.578214641,0.312665576
22.4,0.443618677,0.577557263,0.309680091
22.5,0.44184343,0.577128908,0.306557952
22.6,0.440110394,0.576917047,0.303303741
22.7,0.438415269,0.576641445,0.300189092
22.8,0.436753462,0.576295363,0.29721156
22.9,0.435120125,0.575875198,0.294365053
23,0.433510195,0.575380412,0.291639978
23.1,0.431918425,0.574813191,0.289023659
23.2,0.43033943,0.574177891,0.28650097
23.3,0.428767725,0.573480358,0.284055092
23.4,0.427197761,0.573100307,0.281295214
23.5,0.425623969,0.57271613,0.278531807
23.6,0.424040797,0.572252859,0.275828735
23.7,0.422442752,0.571714047,0.273171458
23.8,0.420824437,0.571102808,0.270546066
23.9,0.419180588,0.570421559,0.267939618
24,0.417506117,0.569671875,0.26534036
24.1,0.415796146,0.568854433,0.262737858
24.2,0.414046042,0.567969028,0.260123057
24.3,0.412251461,0.567014639,0.257488283
24.4,0.410408372,0.565989529,0.254827214
24.5,0.408513097,0.564891365,0.25213483
24.6,0.406562344,0.563717346,0.249407343
24.7,0.404553231,0.562464332,0.246642129
24.8,0.402483314,0.561128973,0.243837655
24.9,0.400350615,0.559707823,0.240993408
25,0.39815364,0.558197455,0.238109825
25.1,0.395891391,0.556594558,0.235188225
25.2,0.393563386,0.554896027,0.232230746
25.3,0.391169659,0.553099039,0.229240278
25.4,0.388710762,0.551201123,0.226220401
25.5,0.386187763,0.549200212,0.223175314
25.6,0.383602234,0.547094693,0.220109775
25.7,0.380956231,0.54488344,0.217029022
25.8,0.378252274,0.54256584,0.213938707
25.9,0.375493312,0.540141811,0.210844812
26,0.372682691,0.537811762,0.207553619
26.1,0.36982411,0.535558985,0.204089234
26.2,0.366921574,0.533217601,0.200625546
26.3,0.363979341,0.530788148,0.197170534
26.4,0.361001871,0.528271614,0.193732129
26.5,0.357993764,0.525669412,0.190318117
26.6,0.354959703,0.522983358,0.186936048
26.7,0.351904396,0.520215643,0.183593148
26.8,0.348832515,0.517368802,0.180296228
26.9,0.345748645,0.514445687,0.177051603
27,0.342657225,0.511449442,0.173865008
27.1,0.339562503,0.508383472,0.170741534
27.2,0.336468493,0.505251423,0.167685564
27.3,0.333378935,0.502177951,0.164579919
27.4,0.330297262,0.499377063,0.161217461
27.5,0.327226578,0.496516747,0.157936409
27.6,0.324169637,0.493599461,0.154739814
27.7,0.321128834,0.490627784,0.151629885
27.8,0.318106196,0.487604394,0.148607998
27.9,0.315103385,0.484532047,0.145674724
28,0.312121706,0.481413545,0.142829868
28.1,0.309162117,0.478251707,0.140072526
28.2,0.306225245,0.47504933,0.137401159
28.3,0.303311409,0.471809149,0.134813669
28.4,0.300420641,0.46853379,0.132307493
28.5,0.297552716,0.465225731,0.129879701
28.6,0.294707173,0.461887256,0.12752709
28.7,0.291883351,0.458520414,0.125246289
28.8,0.289080415,0.455126985,0.123033846
28.9,0.286297385,0.451852487,0.120742282
29,0.283533166,0.448621499,0.118444832
29.1,0.280786576,0.445346393,0.116226759
29.2,0.278056372,0.442028021,0.114084724
29.3,0.275341277,0.438667106,0.112015448
29.4,0.272639998,0.435264253,0.110015743
29.5,0.269951253,0.43181996,0.108082545
29.6,0.267273787,0.42833464,0.106212934
29.7,0.264606391,0.424808643,0.104404139
29.8,0.261947913,0.421242281,0.102653545
29.9,0.259297275,0.41763586,0.100958691
30,0.256653482,0.413989705,0.099317259
30.1,0.25401563,0.410304188,0.097727072
30.2,0.251382912,0.406579751,0.096186072
30.3,0.248754625,0.40281693,0.09469232
30.4,0.246130174,0.399016376,0.093243972
30.5,0.24350907,0.395178864,0.091839275
30.6,0.240890932,0.391305311,0.090476553
30.7,0.238275487,0.387396778,0.089154196
30.8,0.235662569,0.383454481,0.087870656
30.9,0.233052109,0.379479787,0.086624432
31,0.230444141,0.375474215,0.085414068
31.1,0.227838788,0.371439431,0.084238146
31.2,0.225236262,0.367377244,0.083095281
31.3,0.222636855,0.363289597,0.081984114
31.4,0.220040934,0.359178557,0.080903311
31.5,0.217448932,0.355046308,0.079851555
31.6,0.214861343,0.350895139,0.078827547
31.7,0.212278713,0.34672743,0.077829997
31.8,0.209701634,0.342545643,0.076857625
31.9,0.207130734,0.338352313,0.075909156
32,0.204566672,0.334150027,0.074983317
32.1,0.202010128,0.329941422,0.074078833
32.2,0.199461797,0.325729166,0.073194429
32.3,0.196922385,0.32151595,0.072328819
32.4,0.194392595,0.317304474,0.071480716
32.5,0.191873128,0.313097438,0.070648818
32.6,0.189364673,0.308897529,0.069831817
32.7,0.186867902,0.304707414,0.069028391
32.8,0.184383466,0.300529724,0.068237208
32.9,0.181911987,0.296367052,0.067456923
33,0.179454059,0.292221937,0.06668618
33.1,0.177010237,0.28809686,0.065923615
33.2,0.174581042,0.283994233,0.065167851
33.3,0.172166951,0.279916396,0.064417507
33.4,0.169768399,0.275865603,0.063671195
33.5,0.167385774,0.271844024,0.062927523
33.6,0.165019418,0.267853734,0.062185102
33.7,0.162669626,0.263896708,0.061442544
33.8,0.160336642,0.259974819,0.060698465
33.9,0.158020663,0.256089833,0.059951494
34,0.155721839,0.252243406,0.059200272
34.1,0.153440268,0.24843708,0.058443456
34.2,0.151176004,0.244672283,0.057679725
34.3,0.148929055,0.240950326,0.056907784
34.4,0.146699383,0.237272401,0.056126365
34.5,0.144486908,0.233639582,0.055334234
34.6,0.14229151,0.230052825,0.054530195
34.7,0.140113028,0.226512967,0.05371309
34.8,0.137951266,0.223020725,0.052881808
34.9,0.135805993,0.219576702,0.052035284
35,0.133676945,0.216181384,0.051172506
35.1,0.13156383,0.212835144,0.050292516
35.2,0.129466327,0.209538243,0.049394412
35.3,0.127384093,0.206290833,0.048477352
35.4,0.125316759,0.203092959,0.047540558
35.5,0.123263938,0.199944563,0.046583314
35.6,0.121225228,0.196845488,0.045604968
35.7,0.119200209,0.193795479,0.044604938
35.8,0.117188448,0.19079419,0.043582706
35.9,0.115189505,0.187841186,0.042537824
36,0.113202928,0.184935946,0.041469909
36.1,0.11122826,0.182077874,0.040378647
36.2,0.109265043,0.179266294,0.039263791
36.3,0.107312811,0.176500466,0.038125156
36.4,0.105371103,0.173779582,0.036962623
36.5,0.103439455,0.171102775,0.035776135
36.6,0.101517409,0.168469128,0.034565691
36.7,0.099604511,0.165877671,0.033331351
36.8,0.097700312,0.163327398,0.032073226
36.9,0.095804371,0.160817263,0.030791479
37,0.093916256,0.15834619,0.029486322
37.1,0.092035545,0.155689366,0.028381725
37.2,0.090161828,0.153516821,0.026806836
37.3,0.088294707,0.151156277,0.025433138
37.4,0.086433798,0.148647691,0.024219905
37.5,0.084578732,0.146537795,0.022619669
37.6,0.082729156,0.14411985,0.021338462
37.7,0.080884735,0.142048576,0.019720894
37.8,0.079045151,0.139849648,0.018240655
37.9,0.077210107,0.137555784,0.016864431
38,0.075379326,0.135537737,0.015220915
38.1,0.073552552,0.133422666,0.013682438
38.2,0.071729554,0.131333517,0.01212559
38.3,0.069910123,0.129269334,0.010550911
38.4,0.068094077,0.127229207,0.008958947
38.5,0.066281261,0.125212273,0.00735025
38.6,0.064471548,0.123217718,0.005725378
38.7,0.062664839,0.121244783,0.004084895
38.8,0.060861069,0.119292767,0.002429371
38.9,0.059060203,0.117361027,0.000759379
39,0.057262242,0.115417478,-0.000892995
39.1,0.055467222,0.11355612,-0.002621677
