Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
75,7.491851852,3.063438222,3.348676741,3.46828563,1.884375704,3.151708444,2.675434667,1.808393481,2.408886519,0.487168
76,7.517684853,3.08663236,3.352923291,3.480704192,1.903076132,3.181678126,2.680906378,1.820671231,2.437286823,0.507907459
77,7.543221558,3.109826498,3.357818619,3.493122755,1.921776561,3.211647808,2.68637809,1.833957606,2.465687127,0.528646919
78,7.568758262,3.133057538,3.362729706,3.505541317,1.940476989,3.241617489,2.69204776,1.84790589,2.494087431,0.549386378
79,7.594294967,3.156299532,3.367640793,3.518611027,1.959193562,3.271587171,2.698806198,1.861854174,2.522487736,0.570402979
80,7.619831672,3.179541526,3.372585962,3.53262645,1.978061582,3.301556853,2.705564637,1.875802458,2.550654847,0.594019427
81,7.64437628,3.20278352,3.378728873,3.546641874,1.996929602,3.33180957,2.712323075,1.889750743,2.578626883,0.617635876
82,7.668647784,3.225468541,3.384871784,3.560657297,2.015797622,3.362309189,2.719081514,1.905139892,2.606598919,0.641252324
83,7.692919287,3.247976745,3.391014695,3.574672721,2.034665642,3.392808809,2.725876084,1.920704384,2.634570955,0.664868773
84,7.717190791,3.270484949,3.397313922,3.589579596,2.053827844,3.423308428,2.733808817,1.936268877,2.662542991,0.690027884
85,7.740810186,3.292993153,3.405434234,3.60519188,2.073268468,3.453808048,2.74174155,1.951833369,2.69028824,0.716647015
86,7.763380212,3.31450042,3.413554547,3.620804164,2.092709093,3.484307668,2.749674282,1.967658346,2.717538338,0.743266146
87,7.785950238,3.335668661,3.421674859,3.636416448,2.112149718,3.515436076,2.757607015,1.984676068,2.744788436,0.769885277
88,7.808520264,3.356836901,3.430133429,3.652028733,2.131590342,3.546668589,2.765539748,2.00169379,2.772038535,0.796504408
89,7.83109029,3.378005141,3.440847055,3.668697946,2.151980332,3.577901101,2.774356949,2.018711512,2.799288633,0.825633506
90,7.851974535,3.398024456,3.451560681,3.685801514,2.172440472,3.609133614,2.783264096,2.035729233,2.826475179,0.854948068
