Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
15,-7.80966038,-7.292559049,-8.638439249,-8.219263964,-8.287688799,-8.268647197,-7.704967477,-8.17132,-7.500909459,-7.872723974
16,-7.80928,-7.278562553,-8.63577991,-8.219455676,-8.287465856,-8.270086997,-7.704627297,-8.17096,-7.503585135,-7.872273544
17,-7.80928,-7.264566056,-8.633120571,-8.219647387,-8.287242913,-8.271526797,-7.704287117,-8.1706,-7.506260811,-7.871823113
18,-7.80928,-7.25056956,-8.630461231,-8.219839099,-8.28701997,-8.272966597,-7.703946937,-8.17024,-7.508936486,-7.871372683
19,-7.80928,-7.253986577,-8.627801892,-8.219070811,-8.287388919,-8.274406396,-7.703606757,-8.16988,-7.511612162,-7.870922252
20,-7.80928,-7.259907497,-8.625142553,-8.213289189,-8.287928859,-8.275846196,-7.703266577,-8.169618108,-7.513797297,-7.870471822
21,-7.80928,-7.265828418,-8.618476787,-8.207507568,-8.288468799,-8.275242983,-7.702926396,-8.169454324,-7.515491892,-7.869928609
22,-7.80928,-7.271749339,-8.610736126,-8.201725946,-8.289008739,-8.272892132,-7.702719459,-8.169290541,-7.517186486,-7.868869039
23,-7.809268939,-7.27767026,-8.602995465,-8.195944324,-8.289548679,-8.270541281,-7.70308991,-8.169126757,-7.518881081,-7.867809469
24,-7.8091798,-7.282992312,-8.595254805,-8.190162703,-8.290042072,-8.26819043,-7.70346036,-8.168962973,-7.520575676,-7.8667499
25,-7.809090661,-7.285299369,-8.587514144,-8.185567748,-8.289232162,-8.26583958,-7.703830811,-8.168799189,-7.52227027,-7.86569033
26,-7.809001522,-7.287606426,-8.579773483,-8.185323904,-8.288422252,-8.263488729,-7.704201261,-8.167496486,-7.524442162,-7.864630761
27,-7.808912382,-7.289913483,-8.573557748,-8.18508006,-8.287612342,-8.261225806,-7.704571712,-8.163915946,-7.527568649,-7.863571191
28,-7.808823243,-7.292220541,-8.569781892,-8.184836216,-8.286802432,-8.260567568,-7.704942162,-8.160335405,-7.530695135,-7.862732162
29,-7.808734104,-7.294527598,-8.566006036,-8.184592372,-8.285992523,-8.259909329,-7.704940721,-8.156754865,-7.533821622,-7.862083724
30,-7.808644965,-7.294885506,-8.56223018,-8.184348529,-8.284817598,-8.259251091,-7.703823604,-8.153174324,-7.536948108,-7.861435285
31,-7.807503694,-7.292928799,-8.558454324,-8.18542991,-8.282762342,-8.258592853,-7.702706486,-8.149593784,-7.540074595,-7.860786847
32,-7.80615015,-7.290972092,-8.554678468,-8.190133574,-8.280707087,-8.257934615,-7.701589369,-8.146431622,-7.542955676,-7.860138408
33,-7.804796607,-7.289015385,-8.550902613,-8.194837237,-8.278651832,-8.257276376,-7.700472252,-8.145361351,-7.54460973,-7.85948997
34,-7.803443063,-7.287058679,-8.545723874,-8.199540901,-8.276596577,-8.25554,-7.699355135,-8.144291081,-7.546263784,-7.858841532
35,-7.80208952,-7.285101972,-8.540517628,-8.204244565,-8.274541321,-8.252973333,-7.698238018,-8.143220811,-7.547917838,-7.859999119
36,-7.800735976,-7.282021471,-8.535311381,-8.208948228,-8.271601982,-8.250406667,-7.697424955,-8.142150541,-7.549571892,-7.861312623
37,-7.799382432,-7.278563514,-8.530105135,-8.211494595,-8.267944324,-8.24784,-7.697280811,-8.14108027,-7.551225946,-7.862626126
38,-7.798064444,-7.275105556,-8.524898889,-8.209486667,-8.264286667,-8.245273333,-7.697136667,-8.14001,-7.55288,-7.86393963
39,-7.796776727,-7.271647598,-8.519692643,-8.207478739,-8.260629009,-8.242706667,-7.696992523,-8.137040811,-7.553484865,-7.865253133
40,-7.795489009,-7.26818964,-8.515415225,-8.205470811,-8.256971351,-8.240061922,-7.696848378,-8.134071622,-7.55408973,-7.866566637
41,-7.794201291,-7.264748148,-8.511818949,-8.203462883,-8.253313694,-8.236493253,-7.696704234,-8.131102432,-7.554694595,-7.867503483
42,-7.792913574,-7.261701852,-8.508222673,-8.201454955,-8.251523333,-8.232924585,-7.69656009,-8.128133243,-7.555299459,-7.867580571
43,-7.791625856,-7.258655556,-8.504626396,-8.200087748,-8.25017,-8.229355916,-7.696517568,-8.125164054,-7.555904324,-7.867657658
44,-7.790338138,-7.255609259,-8.50103012,-8.199788408,-8.248816667,-8.225787247,-7.696644414,-8.122194865,-7.556509189,-7.867734745
