Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
75,-14.06456667,-23.1431,-16.19403333,-14.91254444,-13.79598889,-12.6490963,-14.09546667,-13.0111,-14.2407,-13.81854444
76,-14.09184324,-23.15092673,-16.26186757,-14.93541532,-13.82194324,-12.67524084,-14.11628108,-13.01902973,-14.24906757,-13.82706937
77,-14.11911982,-23.15894975,-16.3297018,-14.95828619,-13.86431982,-12.70138539,-14.1370955,-13.02695946,-14.25743514,-13.83559429
78,-14.1463964,-23.16697277,-16.40038288,-14.98115706,-13.9066964,-12.72752993,-14.16194324,-13.03488919,-14.2658027,-13.84411922
79,-14.17367297,-23.1749958,-16.48672162,-15.00878288,-13.94907297,-12.75338619,-14.18862432,-13.04281892,-14.27417027,-13.85264414
80,-14.20094955,-23.18301882,-16.57306036,-15.03848138,-13.99144955,-12.77768088,-14.21530541,-13.05074865,-14.28253784,-13.86116907
81,-14.22822613,-23.1902963,-16.6593991,-15.06817988,-14.03382613,-12.80197558,-14.24198649,-13.05867838,-14.29090541,-13.87048599
82,-14.25469189,-23.189,-16.74573784,-15.09787838,-14.06276486,-12.82627027,-14.26866757,-13.07078378,-14.29467838,-13.88031081
83,-14.28093994,-23.1877037,-16.83207658,-15.12757688,-14.08349159,-12.85056496,-14.29534865,-13.08372432,-14.29753243,-13.89013564
84,-14.30718799,-23.18640741,-16.91841532,-15.15727538,-14.10421832,-12.87485966,-14.32202973,-13.09666486,-14.30038649,-13.89996046
85,-14.33343604,-23.18511111,-17.00272793,-15.1900009,-14.12494505,-12.89915435,-14.34822432,-13.10960541,-14.30324054,-13.90978529
86,-14.35968408,-23.18381481,-17.08636517,-15.22373544,-14.14567177,-12.92662462,-14.37425676,-13.12254595,-14.30609459,-13.91961011
87,-14.38593213,-23.18434034,-17.1700024,-15.25746997,-14.1663985,-12.95566727,-14.40028919,-13.13548649,-14.30894865,-13.92943493
88,-14.41218018,-23.18794895,-17.25363964,-15.2912045,-14.19300631,-12.98470991,-14.42632162,-13.14661081,-14.31241892,-13.94292342
89,-14.43193453,-23.19155756,-17.33727688,-15.32493904,-14.22042132,-13.01375255,-14.45235405,-13.15682703,-14.3161973,-13.95643634
90,-14.4450997,-23.19516617,-17.42091411,-15.35867357,-14.24783634,-13.0427952,-14.47838649,-13.16704324,-14.31997568,-13.96994925
91,-14.45826486,-23.19877477,-17.51203784,-15.42120541,-14.27525135,-13.07183784,-14.50441892,-13.17725946,-14.32375405,-13.98346216
92,-14.47143003,-23.20238338,-17.6173027,-15.49077658,-14.30266637,-13.10201842,-14.53428108,-13.18747568,-14.32753243,-13.99697508
93,-14.4845952,-23.20553914,-17.72256757,-15.56034775,-14.33264474,-13.13731972,-14.56502703,-13.19769189,-14.33131081,-14.01048799
94,-14.49776036,-23.20846456,-17.82783243,-15.62991892,-14.37864414,-13.17262102,-14.59577297,-13.20862973,-14.33540541,-14.01808408
95,-14.51092553,-23.21138999,-17.9330973,-15.69949009,-14.42464354,-13.20792232,-14.62651892,-13.22028919,-14.33981622,-14.01592262
96,-14.52608068,-23.21431542,-18.03836216,-15.76906126,-14.47064294,-13.24322362,-14.65726486,-13.23194865,-14.34422703,-14.01376116
97,-14.54898258,-23.21724084,-18.14362703,-15.79655676,-14.51664234,-13.27852492,-14.68801081,-13.24360811,-14.34863784,-14.0115997
98,-14.57188448,-23.22016627,-18.24802372,-15.81703964,-14.56264174,-13.31382623,-14.71875676,-13.25526757,-14.35304865,-14.00943824
99,-14.59478639,-23.22315856,-18.35236727,-15.83752252,-14.60130601,-13.34652482,-14.74594595,-13.26692703,-14.35745946,-14.00727678
100,-14.61768829,-23.22615405,-18.45671081,-15.85800541,-14.62880811,-13.37808018,-14.77262703,-13.28384054,-14.36336216,-14.00511532
101,-14.64059019,-23.22914955,-18.56105435,-15.87848829,-14.65631021,-13.40963554,-14.79930811,-13.31126216,-14.37224865,-14.00527918
102,-14.66349209,-23.23214505,-18.6653979,-15.89897117,-14.68381231,-13.44119089,-14.82598919,-13.33868378,-14.38113514,-14.00617097
103,-14.68639399,-23.23514054,-18.76974144,-15.93911892,-14.71131441,-13.47274625,-14.85267027,-13.36610541,-14.39002162,-14.00706276
104,-14.7105972,-23.23787347,-18.87318529,-15.98119459,-14.73881652,-13.5043016,-14.87935135,-13.39352703,-14.39890811,-14.00795455
105,-14.73492533,-23.2398004,-18.97585796,-16.02327027,-14.78283093,-13.53836507,-14.90603243,-13.42094865,-14.40779459,-14.00884635
106,-14.75925345,-23.24172733,-19.07853063,-16.06534595,-14.83553604,-13.58199069,-14.93414595,-13.44617568,-14.41615676,-14.00973814
107,-14.78358158,-23.24365425,-19.1812033,-16.10742162,-14.88824114,-13.62561632,-14.96235495,-13.46042973,-14.4218973,-14.0119953
108,-14.80790971,-23.24558118,-19.28387598,-16.1494973,-14.94094625,-13.66924194,-14.99056396,-13.47468378,-14.42763784,-14.02225846
109,-14.83223784,-23.24750811,-19.38654865,-16.20031351,-14.99365135,-13.71286757,-15.01877297,-13.48893784,-14.43337838,-14.03252162
110,-14.85656597,-23.25413033,-19.48603243,-16.25145345,-15.04635646,-13.75649319,-15.04698198,-13.50319189,-14.43911892,-14.04278478
111,-14.88774344,-23.2647985,-19.56501622,-16.30259339,-15.08219069,-13.80011882,-15.07519099,-13.51744595,-14.44485946,-14.05304795
112,-14.92311111,-23.27546667,-19.644,-16.35373333,-15.11643333,-13.8455,-15.1034,-13.5317,-14.4506,-14.06331111
113,-14.95847878,-23.28613483,-19.72298378,-16.40487327,-15.15067598,-13.89156126,-15.13346847,-13.55377027,-14.45572432,-14.07357427
114,-14.99384645,-23.296803,-19.80196757,-16.45618408,-15.18491862,-13.93762252,-15.16353694,-13.57584054,-14.46084865,-14.08303664
115,-15.02921411,-23.30747117,-19.88095135,-16.51689279,-15.21916126,-13.98368378,-15.19360541,-13.59791081,-14.46597297,-14.09178829
116,-15.06458178,-23.31803774,-19.95993514,-16.5776015,-15.25549399,-14.02974505,-15.22367387,-13.61998108,-14.4710973,-14.10053994
117,-15.09994945,-23.32858328,-20.0551003,-16.63831021,-15.30185916,-14.07580631,-15.25374234,-13.64205135,-14.47622162,-14.10929159
118,-15.13333063,-23.33912883,-20.15622703,-16.69901892,-15.34822432,-14.11846577,-15.28381081,-13.66412162,-14.48134595,-14.11804324
119,-15.16265055,-23.34967437,-20.25735375,-16.75972763,-15.39458949,-14.14997487,-15.31341892,-13.68528649,-14.49192973,-14.12679489
120,-15.19197047,-23.36021992,-20.35848048,-16.82033303,-15.44095465,-14.18148398,-15.33612162,-13.70627027,-14.50360541,-14.13554655
121,-15.22129039,-23.36945586,-20.45960721,-16.8795955,-15.48731982,-14.21299309,-15.35882432,-13.72725405,-14.51528108,-14.15160571
122,-15.25061031,-23.36908799,-20.56073393,-16.93885796,-15.53264895,-14.2445022,-15.38152703,-13.74823784,-14.52695676,-14.16835325
123,-15.27993023,-23.36872012,-20.65362102,-16.99812042,-15.57661051,-14.27601131,-15.40422973,-13.76922162,-14.53863243,-14.1851008
124,-15.30925015,-23.36835225,-20.72954414,-17.05738288,-15.62057207,-14.30752042,-15.42693243,-13.79020541,-14.55030811,-14.20184835
125,-15.33905606,-23.36798438,-20.80546727,-17.11664535,-15.66453363,-14.34097497,-15.44963514,-13.81029189,-14.56704324,-14.2185959
126,-15.38169199,-23.36761652,-20.88139039,-17.17529189,-15.7084952,-14.37508929,-15.47355946,-13.82992973,-14.58630811,-14.23534344
127,-15.42432793,-23.37024685,-20.95731351,-17.22962703,-15.75245676,-14.4092036,-15.50603514,-13.84956757,-14.60557297,-14.25235225
128,-15.46696386,-23.37716627,-21.03323664,-17.28396216,-15.80099489,-14.44331792,-15.53851081,-13.86920541,-14.62483784,-14.26997648
129,-15.5095998,-23.38408569,-21.10915976,-17.3382973,-15.85159249,-14.47743223,-15.57098649,-13.88884324,-14.6441027,-14.2876007
130,-15.55223574,-23.39100511,-21.21608829,-17.39263243,-15.90219009,-14.51154655,-15.60346216,-13.90848108,-14.66336757,-14.30522492
131,-15.59487167,-23.39792452,-21.3256006,-17.44696757,-15.95278769,-14.54946466,-15.63593784,-13.93356757,-14.68458649,-14.32284915
132,-15.63750761,-23.40484394,-21.43511291,-17.5055009,-16.00338529,-14.59822362,-15.66841351,-13.9641027,-14.70775946,-14.34047337
133,-15.67110751,-23.41385646,-21.54462523,-17.58334595,-16.05398288,-14.64698258,-15.70141351,-13.99463784,-14.73093243,-14.3580976
134,-15.70160681,-23.42375385,-21.65413754,-17.66119099,-16.11191381,-14.69574154,-15.73668559,-14.02517297,-14.75410541,-14.38172242
135,-15.73210611,-23.43365125,-21.76364985,-17.73903604,-16.17024474,-14.7445005,-15.77195766,-14.05570811,-14.77727838,-14.40814364
136,-15.76260541,-23.44354865,-21.85808919,-17.81688108,-16.22857568,-14.79325946,-15.80722973,-14.08624324,-14.80045135,-14.43456486
137,-15.7931047,-23.45344605,-21.93857207,-17.89472613,-16.28690661,-14.84201842,-15.8425018,-14.11531892,-14.82442973,-14.46098609
138,-15.823604,-23.46334344,-22.01905495,-17.96681291,-16.34523754,-14.89572082,-15.87777387,-14.14147568,-14.85001892,-14.48740731
139,-15.8541033,-23.47210871,-22.09953784,-18.01985315,-16.40256667,-14.95087718,-15.91304595,-14.16763243,-14.87560811,-14.51382853
140,-15.88938138,-23.48086747,-22.18002072,-18.07289339,-16.45605556,-15.00603353,-15.94898108,-14.19378919,-14.9011973,-14.54032683
141,-15.93044024,-23.48962623,-22.2605036,-18.12593363,-16.50954444,-15.06118989,-15.98690541,-14.21994595,-14.92678649,-14.56791191
142,-15.9714991,-23.49838498,-22.34019189,-18.17897387,-16.56303333,-15.11634625,-16.02482973,-14.2461027,-14.95237568,-14.595497
143,-16.01255796,-23.50714374,-22.41378829,-18.23201411,-16.61652222,-15.1715026,-16.06275405,-14.27315405,-14.97977297,-14.62308208
144,-16.05361682,-23.51537197,-22.48738468,-18.28556366,-16.67001111,-15.22384454,-16.10067838,-14.30467838,-15.01621081,-14.65066717
145,-16.09467568,-23.52227387,-22.56098108,-18.34038649,-16.7274,-15.26915045,-16.1386027,-14.3362027,-15.05264865,-14.67825225
146,-16.13573453,-23.52917578,-22.63457748,-18.39520931,-16.78926667,-15.31445636,-16.17652703,-14.36772703,-15.08908649,-14.70583734
147,-16.17787467,-23.53607768,-22.70817387,-18.45003213,-16.85113333,-15.35976226,-16.21414505,-14.39925135,-15.12552432,-14.71438378
148,-16.22566697,-23.54297958,-22.78177027,-18.50485495,-16.913,-15.40506817,-16.25108919,-14.43077568,-15.16196216,-14.69969189
149,-16.27345926,-23.54988148,-22.85832222,-18.55967778,-16.97486667,-15.45037407,-16.28803333,-14.4623,-15.1984,-14.685
150,-16.32125155,-23.56818759,-22.93607237,-18.61147087,-17.03673333,-15.49567998,-16.32497748,-14.49314324,-15.23240541,-14.67030811
151,-16.36904384,-23.59484925,-23.01382252,-18.65736396,-17.09791892,-15.55486186,-16.36192162,-14.52398649,-15.26641081,-14.65561622
152,-16.41683614,-23.62151091,-23.09157267,-18.70325706,-17.15884505,-15.61754094,-16.39886577,-14.55482973,-15.30041622,-14.64092432
153,-16.46462843,-23.64817257,-23.16932282,-18.74915015,-17.21977117,-15.68022002,-16.43580991,-14.58567297,-15.33442162,-14.62623243
154,-16.51242072,-23.67483423,-23.24707297,-18.79504324,-17.2806973,-15.7428991,-16.47727838,-14.61651622,-15.36842703,-14.65248108
155,-16.55342322,-23.7014959,-23.32478468,-18.84093634,-17.34162342,-15.80557818,-16.52628739,-14.64735946,-15.40243243,-14.68685285
156,-16.5933987,-23.71822202,-23.40240991,-18.89235255,-17.40254955,-15.86825726,-16.5752964,-14.68022973,-15.43950541,-14.72122462
157,-16.63337417,-23.73344474,-23.48003514,-18.9523045,-17.46647117,-15.92790931,-16.62430541,-14.71350541,-15.47719189,-14.7555964
158,-16.67334965,-23.74866747,-23.55766036,-19.01225646,-17.53044535,-15.98087668,-16.67331441,-14.74678108,-15.51487838,-14.78996817
159,-16.71332513,-23.76389019,-23.63528559,-19.07220841,-17.59441952,-16.03384404,-16.72232342,-14.78005676,-15.55256486,-14.82433994
160,-16.7533006,-23.77911291,-23.71291081,-19.13216036,-17.65839369,-16.08681141,-16.77133243,-14.81333243,-15.59025135,-14.85888348
161,-16.79327608,-23.79424034,-23.79053604,-19.19211231,-17.72236787,-16.13977878,-16.82326757,-14.84660811,-15.62793784,-14.89404124
162,-16.8348015,-23.80886747,-23.86618529,-19.24602072,-17.78534985,-16.19274615,-16.87896486,-14.88266216,-15.65959189,-14.929199
163,-16.87746486,-23.82349459,-23.94162432,-19.29243514,-17.84521351,-16.24571351,-16.93466216,-14.92010541,-15.68822973,-14.96435676
164,-16.92012823,-23.83812172,-24.01706336,-19.33884955,-17.90507718,-16.30816456,-16.99035946,-14.95754865,-15.71686757,-14.99951451
165,-16.96279159,-23.85274885,-24.0925024,-19.38526396,-17.96494084,-16.37263183,-17.04605676,-14.99499189,-15.74550541,-15.03467227
166,-17.00545495,-23.86737598,-24.16794144,-19.43167838,-18.0248045,-16.4370991,-17.10175405,-15.03243514,-15.77414324,-15.06983003
167,-17.04811832,-23.88621802,-24.24338048,-19.47809279,-18.08466817,-16.50156637,-17.15745135,-15.06987838,-15.80278108,-15.11557257
168,-17.09078168,-23.91018198,-24.31127718,-19.52669339,-18.13597117,-16.56603363,-17.2125,-15.10691622,-15.83269189,-15.16829409
169,-17.13233243,-23.93414595,-24.37163153,-19.57748018,-18.17871351,-16.6305009,-17.2669,-15.14354865,-15.86387568,-15.22101562
170,-17.17108739,-23.95810991,-24.43198589,-19.62826697,-18.22145586,-16.69310991,-17.3213,-15.18018108,-15.89505946,-15.27373714
171,-17.20984234,-23.98207387,-24.49234024,-19.67905375,-18.2641982,-16.75207387,-17.3757,-15.21681351,-15.92624324,-15.32645866
172,-17.2485973,-24.00603784,-24.55269459,-19.72984054,-18.30694054,-16.81103784,-17.4301,-15.25344595,-15.95742703,-15.37918018
173,-17.28735225,-24.03024905,-24.61304895,-19.78062733,-18.34968288,-16.8700018,-17.4845,-15.29007838,-15.98861081,-15.4319017
174,-17.32610721,-24.05454585,-24.67332673,-19.82936607,-18.40513634,-16.92896577,-17.5389,-15.32692162,-16.02048649,-15.48647267
175,-17.36486216,-24.07884264,-24.73288468,-19.87645315,-18.46463423,-16.98792973,-17.59661622,-15.36418649,-16.05374595,-15.54106847
176,-17.40361712,-24.10313944,-24.79244264,-19.92354024,-18.52413213,-17.04689369,-17.65691171,-15.40145135,-16.08700541,-15.59566426
177,-17.45376667,-24.12743624,-24.8520006,-19.97062733,-18.58363003,-17.10664444,-17.71720721,-15.43871622,-16.12026486,-15.65026006
178,-17.504,-24.15185976,-24.91155856,-20.01771441,-18.64312793,-17.16653333,-17.7775027,-15.47598108,-16.15352432,-15.70485586
179,-17.55423333,-24.17985275,-24.97111652,-20.0648015,-18.70275646,-17.22642222,-17.8377982,-15.51324595,-16.18678378,-15.75945165
180,-17.60446667,-24.20784575,-25.03067447,-20.10837628,-18.76983093,-17.28631111,-17.89809369,-15.55008378,-16.21968649,-15.80934995
181,-17.6547,-24.23583874,-25.08488108,-20.14967838,-18.83690541,-17.3462,-17.95838919,-15.58478649,-16.25080541,-15.85127928
182,-17.70493333,-24.26383173,-25.13670931,-20.19098048,-18.90397988,-17.40608889,-18.02469369,-15.61948919,-16.28192432,-15.89320861
183,-17.75516667,-24.29182472,-25.18853754,-20.23228258,-18.97105435,-17.46265365,-18.0946036,-15.65419189,-16.31304324,-15.93513794
184,-17.80655315,-24.31954384,-25.24036577,-20.27358468,-19.03812883,-17.5134012,-18.16451351,-15.68889459,-16.34416216,-15.97706727
185,-17.85843213,-24.346696,-25.29219399,-20.31488679,-19.09583393,-17.56414875,-18.23442342,-15.7235973,-16.37528108,-16.0189966
186,-17.91031111,-24.37384815,-25.34402222,-20.35435556,-19.12894444,-17.6148963,-18.30433333,-15.7583,-16.4064,-16.06092593
187,-17.96219009,-24.4010003,-25.39665225,-20.39288288,-19.16205495,-17.66564384,-18.37424324,-15.78784595,-16.43539459,-16.10805886
188,-18.01406907,-24.42815245,-25.45126006,-20.43141021,-19.19516547,-17.71639139,-18.44415315,-15.81739189,-16.46438919,-16.15688068
189,-18.06594805,-24.4553046,-25.50586787,-20.46993754,-19.22827598,-17.76713894,-18.50811712,-15.84693784,-16.49338378,-16.2057025
190,-18.11782703,-24.48502973,-25.56047568,-20.50846486,-19.26138649,-17.81977838,-18.56937838,-15.87648378,-16.52237838,-16.25452432
191,-18.17055245,-24.51635105,-25.61508348,-20.54699219,-19.31095586,-17.87268408,-18.63063964,-15.90602973,-16.55137297,-16.30334615
192,-18.2245022,-24.54767237,-25.66969129,-20.5865045,-19.37486036,-17.92558979,-18.6919009,-15.93557568,-16.58036757,-16.35216797
193,-18.27845195,-24.57899369,-25.7242991,-20.62641081,-19.43876486,-17.9784955,-18.75316216,-15.97271622,-16.61428108,-16.40303934
