time,Fx,Tx,Fy
357,-22.7847,-1.41383,-26.9078
358,-22.0693,-1.41779,-26.9717
359,-21.3401,-1.42039,-27.0137
360,-20.5962,-1.42134,-27.0291
361,-19.8487,-1.41989,-27.0056
362,-19.1145,-1.41525,-26.9305
363,-18.407,-1.40704,-26.7972
364,-17.7326,-1.39537,-26.607
365,-17.0933,-1.38058,-26.3651
366,-16.4916,-1.36299,-26.0764
367,-15.9324,-1.34297,-25.7463
368,-15.4189,-1.32111,-25.3845
369,-14.9474,-1.29823,-25.0038
370,-14.5061,-1.2751,-24.617
371,-14.0779,-1.2523,-24.2336
372,-13.6476,-1.22996,-23.8554
373,-13.2109,-1.20768,-23.4757
374,-12.7747,-1.18484,-23.0834
375,-12.3522,-1.16096,-22.6707
376,-11.9558,-1.13608,-22.238
377,-11.5923,-1.11063,-21.7929
378,-11.2602,-1.08516,-21.345
379,-10.9523,-1.06,-20.9
380,-10.6603,-1.03505,-20.4561
381,-10.3795,-1.01001,-20.0077
382,-10.1091,-0.984766,-19.5532
383,-9.8515,-0.959498,-19.0955
384,-9.61055,-0.934267,-18.6359
385,-9.38858,-0.908928,-18.1718
386,-9.18489,-0.883412,-17.7019
387,-8.9966,-0.857899,-17.2298
388,-8.82185,-0.832718,-16.7617
389,-8.66154,-0.808206,-16.3041
390,-8.51762,-0.784662,-15.8627
391,-8.39051,-0.762224,-15.4401
392,-8.27836,-0.740726,-15.0333
393,-8.17862,-0.719681,-14.6332
394,-8.09114,-0.698361,-14.2259
395,-8.01941,-0.675945,-13.7957
396,-7.96663,-0.651877,-13.332
397,-7.92953,-0.626281,-12.8374
398,-7.89746,-0.600002,-12.3281
399,-7.8599,-0.574053,-11.8238
400,-7.81516,-0.548967,-11.3348
401,-7.76959,-0.524742,-10.8609
402,-7.73118,-0.501173,-10.3984
403,-7.70633,-0.478029,-9.94258
404,-7.7,-0.455079,-9.48918
405,-7.71609,-0.432094,-9.03368
406,-7.75761,-0.40884,-8.57156
407,-7.82726,-0.385126,-8.09906
408,-7.92826,-0.360855,-7.61431
409,-8.06445,-0.336022,-7.11723
410,-8.23905,-0.310707,-6.60946
411,-8.45337,-0.285084,-6.09456
412,-8.70643,-0.259409,-5.57772
413,-8.99519,-0.234005,-5.06554
414,-9.31445,-0.209281,-4.56637
415,-9.65822,-0.185685,-4.08939
416,-10.0232,-0.163588,-3.64218
417,-10.4116,-0.14312,-3.22747
418,-10.831,-0.124024,-2.84014
419,-11.2926,-0.105619,-2.46645
420,-11.8085,-0.0869336,-2.08676
421,-12.3905,-0.0669254,-1.67995
422,-13.0472,-0.0446764,-1.22744
423,-13.7834,-0.0195448,-0.716267
424,-14.599,0.00875061,-0.140825
425,-15.488,0.0400898,0.496323
426,-16.4383,0.0739395,1.1842
427,-17.4332,0.109412,1.90461
428,-18.4539,0.145428,2.6355
429,-19.4809,0.180886,3.35442
430,-20.4953,0.214705,4.03944
431,-21.4788,0.245806,4.66873
432,-22.4136,0.273162,5.22165
433,-23.2836,0.2959,5.68074
434,-24.0753,0.313424,6.03419
435,-24.7828,0.325613,6.2798
436,-25.4116,0.332912,6.42666
437,-25.9763,0.336091,6.49051
438,-26.4937,0.335969,6.48786
439,-26.9781,0.333369,6.4354
440,-27.4415,0.329209,6.3516
441,-27.8949,0.324446,6.25573
442,-28.3465,0.319845,6.16316
443,-28.7992,0.315785,6.08149
444,-29.2502,0.31225,6.0104
445,-29.6925,0.308895,5.94292
446,-30.117,0.305124,5.86704
447,-30.5162,0.300318,5.77027
448,-30.8863,0.294079,5.64463
449,-31.228,0.28631,5.48809
450,-31.5451,0.27715,5.30344
451,-31.8435,0.26685,5.09571
452,-32.1287,0.255598,4.86864
453,-32.4045,0.243411,4.62248
454,-32.6732,0.230094,4.35326
455,-32.9358,0.215267,4.05319
456,-33.1918,0.198405,3.71155
457,-33.4397,0.178878,3.31549
458,-33.6777,0.156046,2.85196
459,-33.9053,0.129466,2.31193
460,-34.1253,0.0990981,1.69456
461,-34.3449,0.0652659,1.0065
462,-34.5726,0.0284193,0.256998
463,-34.8159,-0.0110195,-0.545147
464,-35.0788,-0.052651,-1.3915
465,-35.3595,-0.0961358,-2.27478
466,-35.6501,-0.14128,-3.19054
467,-35.9386,-0.187906,-4.13464
468,-36.2144,-0.235625,-5.09862
469,-36.4696,-0.283911,-6.07119
470,-36.699,-0.332358,-7.04345
471,-36.8992,-0.380819,-8.01179
472,-37.0689,-0.429361,-8.97689
473,-37.2093,-0.47809,-9.94031
474,-37.3241,-0.527019,-10.9019
475,-37.4171,-0.576046,-11.8593
476,-37.4894,-0.624894,-12.8071
477,-37.5396,-0.672995,-13.7343
478,-37.5654,-0.719552,-14.6258
479,-37.5644,-0.763853,-15.4684
480,-37.5336,-0.805548,-16.2556
481,-37.4689,-0.844706,-16.9893
482,-37.3647,-0.881724,-17.6771
483,-37.2126,-0.917249,-18.3313
484,-37.0018,-0.952144,-18.9679
485,-36.7203,-0.9874,-19.605
486,-36.3573,-1.02385,-20.2576
487,-35.9066,-1.0618,-20.931
488,-35.3677,-1.10101,-21.6208
489,-34.7444,-1.14104,-22.3186
490,-34.0441,-1.18143,-23.0164
491,-33.2779,-1.22163,-23.7047
492,-32.4599,-1.26082,-24.3699
493,-31.6065,-1.29803,-24.9962
494,-30.7338,-1.33244,-25.5705
495,-29.8569,-1.36336,-26.0826
496,-28.9876,-1.3902,-26.5237
497,-28.1333,-1.41247,-26.8872
498,-27.296,-1.43008,-27.1728
499,-26.4738,-1.44351,-27.3889
500,-25.6631,-1.45362,-27.5507
501,-24.8586,-1.46136,-27.6735
502,-24.0528,-1.46748,-27.7702
503,-23.2348,-1.47262,-27.8512
504,-22.3905,-1.47734,-27.9257
505,-21.5048,-1.48196,-27.9986
506,-20.567,-1.48628,-28.0669
507,-19.5761,-1.48955,-28.1188
508,-18.5415,-1.49078,-28.1382
509,-17.4848,-1.4889,-28.1082
510,-16.4455,-1.48297,-28.0133
511,-15.4778,-1.47217,-27.8405
512,-14.6287,-1.45639,-27.5874
513,-13.9119,-1.43653,-27.268
514,-13.3103,-1.41402,-26.9043
515,-12.7961,-1.38987,-26.512
516,-12.347,-1.36449,-26.097
517,-11.9463,-1.33816,-25.664
518,-11.5759,-1.31162,-25.2248
519,-11.2149,-1.28598,-24.7981
520,-10.8481,-1.26216,-24.3994
521,-10.4741,-1.24032,-24.0314
522,-10.1037,-1.21988,-23.6847
523,-9.74979,-1.20012,-23.3472
524,-9.41952,-1.1807,-23.0138
525,-9.11093,-1.1618,-22.6876
526,-8.81535,-1.14356,-22.3711
527,-8.52299,-1.12552,-22.0565
528,-8.22752,-1.10675,-21.7272
529,-7.92769,-1.08652,-21.3707
530,-7.63078,-1.0646,-20.9822
531,-7.35352,-1.04087,-20.5596
532,-7.1093,-1.0154,-20.1036
533,-6.89582,-0.988595,-19.6215
534,-6.70349,-0.960976,-19.1219
535,-6.52811,-0.932732,-18.6078
536,-6.36981,-0.903765,-18.0771
537,-6.22697,-0.87392,-17.5266
538,-6.0938,-0.843133,-16.9549
539,-5.96302,-0.811408,-16.3619
540,-5.83064,-0.778759,-15.7478
541,-5.698,-0.74527,-15.1142
542,-5.56972,-0.711245,-14.4669
543,-5.44954,-0.677338,-13.8188
544,-5.33609,-0.644558,-13.1894
545,-5.22204,-0.614011,-12.6006
546,-5.09869,-0.586464,-12.0676
547,-4.96131,-0.562079,-11.5938
548,-4.81111,-0.540471,-11.1723
549,-4.65642,-0.520813,-10.7871
550,-4.51348,-0.501878,-10.4145
551,-4.4018,-0.482288,-10.0276
552,-4.33595,-0.461047,-9.60699
553,-4.32247,-0.43794,-9.14846
554,-4.36203,-0.413503,-8.66265
555,-4.45019,-0.388579,-8.16631
556,-4.57661,-0.363876,-7.67346
557,-4.72781,-0.339839,-7.19301
558,-4.89316,-0.316775,-6.73116
559,-5.06859,-0.294922,-6.29275
560,-5.25631,-0.274408,-5.88052
561,-5.46287,-0.255244,-5.49478
562,-5.6975,-0.237324,-5.13353
563,-5.97028,-0.22041,-4.79211
564,-6.29047,-0.204145,-4.46336
565,-6.66653,-0.188133,-4.13941
566,-7.10689,-0.17208,-3.81432
567,-7.61973,-0.155846,-3.48531
568,-8.21186,-0.139341,-3.15058
569,-8.88842,-0.122357,-2.80589
570,-9.65331,-0.10451,-2.44347
571,-10.5089,-0.0853469,-2.0541
572,-11.4543,-0.0644688,-1.62971
573,-12.4847,-0.0415504,-1.16373
574,-13.591,-0.0162672,-0.649626
575,-14.7621,0.0116775,-0.0814404
576,-15.9843,0.0423768,0.542611
